sentence,monetary_topic
"However , given the unevenness of the recovery across economies , challenges faced by central banks are different",
"In Japan , the implementation of the Bank of Japan 's BoJ October announcement of expanded Quantitative and Qualitative Monetary Easing QQE framework by accelerating purchases of JGBs and extending their maturity and tripling the purchases of private assets remains critical to support domestic demand",
"In Japan , the introduction of negative deposit rates by the BoJ underscores its commitment to maintain inflation momentum",
"It is important , however , to consider macroeconomic conditions",
when implementing reforms,
"Ultimately , in some European cases , this may well entail the use of pooled euro area resources , including EFSF funds",
"The adverse feedback loops between low growth , deteriorating public finances , and banking sector stress could lead to a prolong period of asset and consumer price deflation",
"In economies where monetary policy is still very accommodative and inflation above target , some monetary policy tightening may be needed to bring inflation back to target",1
"The recent large expansion of central bank balance sheets is mirrored in the growth of bank reserves ,",
which will need to be mopped up,
as interest rates are raised to ensure the transmission of policy rate changes to the real economy,
Policy priorities have taken on more urgency compared to the February Surveillance Note,
"Finally , to the extent that fiscal and monetary policies are adjusted to make growth more balanced and reduce vulnerabilities, they will also decrease the risk of crisis , and thereby , make growth more lasting and sustainable .",
The quality of fiscal consolidation in India should be improved through a comprehensive tax reform such as introducing the goods and services tax and improving tax administration and measures to further reduce subsidies,
"In some emerging markets , the task is to avoid overheating and prevent the of financial imbalances",
It will create greater scope to pursue supportive monetary policy without triggering concern about central bank independence or a resurgence of inflation,
"However , where financing conditions are easing and exchange rates have appreciated",
there may be scope for with limited policy easing to support a resumption of growth,
central banks will need eventually to unwind their extraordinary liquidity support and withdraw conventional and unconventional monetary accommodation,
Unwinding should be tractable and central,
"banks have the tools needed to tighten policy , but there will be challenges",
"However , the global financial safety net remains underused during periods of turbulence , with uneven access and a multilayered structure for example , regional financing arrangements , bilateral swap lines , and Fund financing",
Accommodative monetary policy does not have such automatic consequences and can be reversed quickly,
"The new government should complement the proposed cap on federal noninterest spending with tax measures and address spending rigidities and unsustainable mandates , including in the pension system",
"Following the IMF 's Article IV policy advice , countries with negative output gaps",
"which have fiscal space should support growth with all available tools ,",
while those with closed output gaps should withdraw fiscal stimulus and calibrate monetary policy to inflation developments,
"In most advanced economies , output gaps are still substantial , inflation is below target , and monetary policy remains",
constrained by the zero lower bound,
Sustaining the recovery will require structural reforms to raise potential growth along with demand support .,
"In a number of emerging economies , by contrast , monetary policy may have to tighten sooner and might therefore be more synchronous with or even lead fiscal consolidation",1
"if there are signs of rising inflation or incipient financial vulnerabilities , including credit booms",
"In emerging economies , there remains scope to cut policy rates",1
"if needed to support demand , but rising asset prices and a vigorous turnaround in economic activity suggest",
that policy tightening may be needed in some countries,1
"In the euro area building on OMT and ESM activation , further action is also needed to strengthen banks , address structural shortcomings and complete EMU",
Authorities can afford to be more accommodative in those economies,1
where the credibility of monetary policy is high,
"this objective will require meeting the onerous challenges to fiscal sustainability , normalizing monetary policy carefully withdrawing financial sector support , and avoiding policy inconsistencies across countries , as well as in the policy mix",
"Continued demand rebalancing from deficit to surplus economies would strengthen global growth and ,",
"if done properly , would help resolve their internal imbalances",
"Broadly speaking , monetary policy accommodation should continue to play its supportive role , given low inflation and still large output gaps , and fiscal adjustment should be measured , while being anchored by a credible roadmap for sustainability",1
The pace and composition of fiscal adjustment should be attuned to supporting both the recovery and growth,
"Also , the ECB should continue to provide liquidity and stay fully engaged in securities purchases to help improve the prospects for financial stability",1
The strengthening of activity in advanced economies and looming normalization of monetary policy in some implies,
that external financial conditions both availability of capital flows and borrowing costs will eventually tighten,
"Additionally , to sustain recovery in these countries some of the consolidation planned for 2011 might also have to be temporarily postponed",
"In the United Kingdom , a range of recent monetary and other policy measures by the Bank of England will support the economy and thereby mitigate downside risks",
The recent forward guidance provided by the ECB to anchor interest rate expectations was a welcome step,
Monetary policy should continue to aid recovery,
"Completing the reform of financial regulation and deploying tools as a first line of defense ,",
"as needed , are essential to limit financial risks",
"Circumstances vary across emerging markets , but many should act to restore fiscal buffers over time , use monetary policy to guard against downside risks , and rely on measures to safeguard financial stability",
Emerging economies need to rebuild policy space and,
in some cases address domestic imbalances and vulnerabilities to prepare for tighter financial conditions,
To facilitate rebalanced global growth : advanced economies with large current account deficits should transition towards measures to raise savings,
"Episodes of volatile capital flows and exchange rates , along with continuing precautionary reserve accumulation , also suggest the need for further collective efforts to strengthen the IMS",
"More fiscal stimulus in advanced surplus economies with fiscal space , continuing monetary support and fiscal rebalancing in deficit economies , and structural reforms would contribute to external rebalancing",
"Concern about asset values and risky exposures should be addressed by forcing banks to build capital buffers ,",
while unviable business models need to be unwound,
The recent Council agreement on the SRM is a step forward,
"but the process appears complex , and may cause delays in decision making",
"In many advanced economies , insufficient progress with repair and reform is weighing on credit growth , and slowing the normalization of monetary and fiscal policies , with adverse spillovers on emerging economies , through large and volatile capital flows",
"Better central bank communications may help bring down real interest rates and provide added support to demand , including by reassuring markets against premature tightening",
"Exiting from public support policies should be viewed in the context of bridging towards strong , sustained and balanced growth with price stability",
"To ensure transmission of tighter monetary conditions to the real economy , central banks will also need to withdraw excess bank reserves created by their exceptional liquidity provision and unconventional measures",1
advanced and emerging economies can start tightening policies now,1
and greater confidence in policymakers ' ability to act decisively,
"There is a clear case for the Fed to proceed along a very gradual upward path for the fed funds rate , conscious of global disinflationary trends and confirming along the way",
that wage and price inflation are indeed maintaining their steady upward momentum,
"It would also be beneficial to reorient spending notably , to protect vulnerable sections of society against commodity price increases",
"At the same time , however , policymakers should be mindful of the impact of such action on other economies , notably through large and volatile capital flows",
"Furthermore , fiscal policy adjustment typically has a long lead time relative to monetary policy",
It should also consider providing stronger guidance to markets by moving to more monetary policy communication to increase the transparency of its assessment of inflation prospects and strengthen the signal of its commitment to the inflation target,
"For instance , streamlining service or product sector regulations in surplus economies for example , in Japan , Korea , and Germany will encourage domestic demand and relative price adjustments",
"It will also make systemic institutions more resilient , help contain asset price and credit dynamics , and cushion",
the consequences of liquidity squeezes if volatility spikes,
"A tightening cycle has begun in other advanced economies for example , Australia , Canada , Korea , but these central banks have signaled caution in further tightening given",
increased downside risks to the global economy,
Policymakers should employ appropriate macro and tools to mitigate such outcomes,
"At the same time , progress on other fronts is crucial",
The problems facing the global economy are complex and joint action can help,
"Over the medium run , priority should be given to completing the banking union , strengthening the single market , and moving closer to a fiscal union",
"Depending on country needs , comprehensive action will combine structural reforms with demand support , anchored by coherent and policy frameworks",
"This is becoming increasingly relevant for many emerging economies , notably in Asia ,",
that are already witnessing relatively vigorous rebounds of activity,
Fiscal tightening should also be the priority,
"where stimulus measures have contributed directly to a strong rebound in domestic demand , or",
where market concerns regarding public debt sustainability are high or rising,
Monetary easing can be the first line of defense against liquidity pressures and downside risks,
"where inflation is firmly anchored ,",
"although capital flow reversals , external financing needs , and financial stability risks might constrain scope for action in some countries",
"In the United States , improving the transmission of the monetary easing",
would require resolution of the household debt overhang,
Prudential authorities will need to be watchful of risks flowing from low interest rates,
In some advanced economies that have fiscal space and are operating at or close to capacity ,
additional spending could boost potential growth and create positive transitional spillovers for others,
"In the United States and the United Kingdom , where the recovery is stronger",
the challenge is to manage exit from exceptionally accommodative monetary policies,
as output gaps shrink,
"In the United States , agreement on a credible fiscal roadmap could help create some policy space , mitigate risks of excessive consolidation , and ease the burden currently placed on monetary policy",
"A key to addressing this challenge is to expeditiously reform and repair financial sectors in the major advanced economies ,",
"which would both help catalyze a sustained private recovery in these economies , allow for interest rates increases and limit spillovers to emerging economies .",
"Following substantial easing in the first half of 2009 , several emerging economies including in Brazil , Indonesia , and South Africa have paused in their monetary easing cycles on account of inflation concerns",
"Specifically : In Brazil , slowing economic conditions will make it difficult to achieve the original budget targets for 2014",
"There is scope for better cooperation on withdrawal of UMP , especially through wider central bank discussions of exit plans",
"In Japan , the BoJ 's objective to raise inflation to 2 percent and the sweeping enhancements to the monetary framework are welcome",
"If the economy is not at risk of overheating , the appropriate policy response would be to lower interest rates and to tighten fiscal policy , thus reducing currency appreciation pressures",1
"The scale of fiscal adjustment required to ensure fiscal sustainability will be large , particularly in advanced economies",
With the exception of the ECB which cut its refinancing rate further by 25 basis points to one percent in early May,
major advanced country central banks are now effectively at the lower bound for policy rates,
"The crisis compelled central banks to employ a wide range of measures , in many cases unprecedented",
"that the current aggressive pace of monetary easing may need to be maintained for an extended period , providing more information about asset purchases beyond could further enhance transparency",
These monetary measures need to be supplemented by progress on ` third arrow ' structural reforms,
"In general , policy responses should be anchored by sound and credible monetary policy frameworks",
These economies may have to consider tightening their fiscal stance more quickly,
while maintaining measures aimed at mitigating the social impact of the crisis,
"Following a long period of low rates , excessive may have built in some sectors credit booms in a number of smaller advanced economies and the underpricing of risks in certain segments of United States financial markets",
"monetary policy accommodation is thus the right policy from a domestic perspective , considering also",1
that the recovery is expected to remain sluggish going forward,
"These monetary policy efforts should be supported by measures to strengthen bank balance sheets ,",
which would help to improve monetary policy transmission and credit market conditions,
"Building bank capital buffers will help to achieve this by breaking the adverse feedback loop between rising sovereign spreads , deteriorating bank funding , and flagging activity",
Excessive may have built in some sectors credit booms in a number of smaller advanced economies and the underpricing of risks in certain segments of United States financial markets after more than five years of exceptionally low rates,
This will take pressure off monetary and prudential policies and create fiscal space to respond to future shocks,
Macroeconomic policies are most effective,
when deployed within coherent frameworks,
"To benefit most from the additional easing , it should be supported with fiscal , structural , and ambitious incomes policies",
Sustainably lowering inflation will also require further increases in the policy rate and a simpler monetary framework with clear objectives and operational autonomy for the RBI .,
It will be important to have clarity on the process and objectives,
that will guide discussions between the United Kingdom and the E.U,
"Finally , communication should focus on the overarching goal of achieving the inflation target in a stable manner through a more transparent presentation of the BoJ 's forecast and underlying assumptions",
"In case actual or expected inflation stagnate or growth disappoints , the Bank of Japan should act swiftly through further and/or asset purchases",
A strong commitment to fully implement the asset purchase program and adjust the program,
if needed will help meet ECB 's price stability objective,
But this must be accompanied by macro prudential measures and enhanced financial supervision,
where there are risks of overheating in some sectors such as real estate .,
"In many emerging markets , financial market reforms have the potential to assist the effective transmission of monetary policies while allowing for sustainable credit expansions",
"Monetary policy can remain accommodative in the major advanced countries , but monetary tightening may be considered in some emerging economies facing risks of overheating",1
"Hence , plans for fiscal consolidation should generally take priority , all else given",
Some emerging economies should consider prudential actions to limit excessive credit creation,
"Notwithstanding recent rate hikes in some emerging economies , real interest rates remain far below precrisis levels and hence too low",1
that may impede this rebalancing would need to be addressed,
"In the United States , monetary policy should continue to gradually normalize and remain data dependent , and plans for the Fed 's balance sheet should be",1
"Fiscal consolidation should proceed gradually , anchored in credible plans ,",
which are lacking in some countries notably Japan and the United States,
"Also , authorities will need to remain vigilant against the prospect of deteriorating credit quality emerging as a result of the monetary policy easing undertaken so far",
There is a need to put the global financial system on a more resilient footing,
"High unemployment and large output gaps are keeping wages and inflation expectations in the major advanced economies in check , notwithstanding large increases in food and energy prices",
"The government should articulate structural measures to underpin the consolidation path , including subsidy reform and progress on the Goods and Services Tax",
"While monetary policy should continue supporting the recovery , challenges are increasingly different across countries",
"Under some circumstances , reserve accumulation , restrictions on capital inflows and measures could also form part of the policy mix",
"For oil exporters , the need to adjust fiscal stance would depend on the scope of savings from past higher prices of oil and exchange rate regimes",
"More recently however , inflation expectations have reversed , and the euro has strengthened ,",
which could put downward pressure on prices,
"The expected boost in economic activity from lower oil prices has not materialized , and lower energy costs are keeping inflation low",
"Finally , the pace of fiscal withdrawal in 2014 15 is broadly appropriate in Japan , but a consolidation plan remains needed",
"needs to be done in the euro area ,",
"where the growth outlook is very weak , unemployment is high , and inflation is projected well below the 2 percent target",
"Where public debt is elevated , fiscal space should be through consolidation Brazil , India , Mexico",
"In the United States , monetary policy should continue to remain ,",
while downside risks to the outlook confirm the case for a very gradual upward path for the federal funds rate,
"As recent turbulences have shown , economies with deteriorating macroeconomic imbalances , larger external funding requirements relative to reserves and lower policy credibility see more volatility",
"In particular , maintaining accommodative monetary policy through 2011 , including through an expansion of central bank balance sheets , can counteract some of the contractionary effects of fiscal consolidation",1
Monetary authorities have instruments to maintain control over interest rate policy,
"However , fiscal policies need to urgently deliver measures",
that lower deficits over the medium-term,
Targeted programs to ease,
credit constraints would be also useful,
where the transmission mechanism is impaired,
"With inflation still elevated , monetary tightening may have to be stepped up",1
should inflation expectations worsen,
"In an environment of ongoing but incomplete transition to financial stability , changing growth dynamics and concerns about slow growth and high unemployment , achieving a better policy mix is important",
"The Fed 's employment and inflation objectives should guide policy decisions and the beginning of normalization of the monetary policy stance ,",
which is currently expected around,
Central banks should be mindful,
"that further declines in inflation , even if temporary , may lead to additional downdraft in inflation expectations and rising real interest rates",
"While net commodity importers benefit from reduced inflation pressures and external vulnerabilities , the scope for monetary policy easing could be limited in a context tighter external financing conditions",
"Large international reserves have provided scope , in some cases , to counter exchange rate volatility and sustain the availability of foreign currency funding , for example for trade finance",
"In the euro area , the ECB 's expanded asset purchase program has improved confidence and financial conditions , and raised inflation expectations initially",
"Given the nature of the turnaround in global activity and financial markets , ",
"the paramount objectives for monetary , fiscal , and financial sector policies are continued support for the recovery , fully restoring the financial sector to health , and limiting downside risks",
"In the euro area , the ECB 's expanded asset purchase program has supported confidence and eased financial conditions , but inflation remains low",
But public capital injections may also be necessary,
"Current projections are for a limited decline in budget deficits of emerging economies in 2011 and 2012 ,",
even though output growth and capacity utilization would continue to be above trend,
"and pursue structural reforms to boost jobs and growth , with the appropriate policy mix depending on their respective circumstances",
"In the United States , the main policy issue is the appropriate timing and pace of monetary policy normalization",1
"Where demand is still lacking , there is scope for macroeconomic policies to help growth while advancing the impact of structural reforms",
"In the meantime , there is some room for a lower policy rate",1
"With prospects improving , it will be critical to avoid a premature withdrawal of monetary policy accommodation , including in the United States",1
an expansionary fiscal stance has a direct impact,
on the build up of debt,
Joint efforts by deficit and surplus economies to rebalance global demand would reduce excess external imbalances while sustaining growth,
"Moreover , some of these economies are again seeing significant asset price increases and credit growth in response to low interest rates , raising the specter of renewed equity or real estate booms",
Conventional monetary tightening will need to be accompanied by steps to offset the impact of large central bank balance sheets,1
Policymakers should also address structural obstacles to continued high growth while rebuilding fiscal policy buffers,
"In particular : Monetary policy responses , more generally , to external pressures will depend on country conditions and frameworks",
"In countries with credit growth , supervisory and macro prudential measures should be deployed to curb sectoral excesses .",
There is also room to expand the Loan Support Program,
in order to further enhance the monetary policy transmission,
"that there is space , a supportive fiscal stance can help offset adverse effects of structural reforms on aggregate demand , bringing forward the growth benefits",
The breathing space provided by exceptionally accommodative monetary policies should be used by authorities to tackle underlying issues,
that prevent a solid return to growth,
The principles laid out below are intended to establish common ground for the design and implementation of policies during the exit from extraordinary support measures taken during the crisis,
"Nevertheless , there is a concern about diminishing effectiveness of unconventional actions , their side effects for example , volatile capital flows , and potential difficulties related to unwinding them",
Recovery in advanced economies will need readily available credit to allow easy monetary conditions to pass through,
"For example , some labor market reforms benefit employment more",
when demand is already strong,
as this helps,
job seekers find work faster or,
when fiscal and monetary policies can provide support,
"This risk is limited over the near term ,",
as weak balance sheets and confidence are likely to weigh on credit availability,
The three requirements for a more resilient recovery are : sustained but gradual fiscal adjustment,
"Monetary policy should have some leeway to ease in emerging Asia , especially in 2014 ,",1
"as the output gap , core inflation falls , and inflation expectations are well anchored",
"Minimal room remains to lower policy rates in key advanced economies , except the euro area , and monetary transmission may be hindered by the state of the financial sector",1
"In the euro area , more monetary easing",1
"is needed to raise the prospects of achieving the ECB 's inflation objective , including by supporting demand , given the weak and fragile growth , large output gaps and very low inflation",1
There are incipient signs of rising exposure to both interest rate and credit risk in regional banks,
"that require increased vigilance ,",
as low interest rates squeeze interest margins,
These monetary policy efforts should be supported by measures to strengthen bank balance sheets and thereby improve monetary policy transmission and credit market conditions,
"Further action is needed to recapitalize , restructure , or resolve weak banks and improve the flow of credit to the economy , particularly in Europe",
"For countries with less policy space , exchange rate flexibility will be a critical buffer to the shock",
This is advisable considering both the relative scales of policy adjustment required and managing risks to both economic and financial recovery,
"For most countries , the risks presented by keeping stimulus in place too long suggest",
that adjustment is a key priority,
"In Europe , the resolution of loans should be accelerated through a combination of stricter supervision , insolvency reform , and the facilitation of secondary markets in distressed debt",
Monetary policy : maintain accommodation,1
"Cyclical weakening calls for monetary policy easing , or less tightening , for those economies",1
where inflation and expectations are well anchored to provide room for maneuver,
"At the same time , a prolonged period of very low interest rates could fuel excessive risk taking",1
"In the euro area , bank balance sheet repair remain essential to restore confidence and revive credit growth , and policymakers should make further progress on banking union through a Single Supervisory Mechanism and a Single Resolution Mechanism , and advance structural reforms",
The United Kingdom faces similar challenges :,
"while monetary policy should stay accommodative for now , it might , however , have to be tightened quickly",1
if costs run ahead of productivity growth or,
"slack is absorbed , or",
Tightening could also be considered,1
if macroprudential tools prove insufficient to deal with financial stability risks with due consideration to the tradeoffs involved the real economy,
"Commercial paper rates are falling in advanced economies , driven in part by major central banks ' direct purchases and liquidity operations targeted at corporate financing",
Buffers should be rebuilt to create space for action,
should downside risks materialize,
"In such economies which include Brazil , India and Turkey there is room for further consolidation",
"In Brazil , the room for monetary policy easing is limited by underlying inflationary pressures and fiscal consolidation should continue to reduce large deficits",1
"Although policy requirements remain paramount ,",
"as signs of an economic turnaround in the global economy become more prevalent , markets have begun to express their concern about the future ramifications of unprecedented policy actions and massive public intervention",
"Greater exchange rate appreciation would dampen inflationary pressures , including from world commodity prices , introduce more risk for capital inflows , and facilitate external rebalancing in surplus economies",
"Fiscal policy should be growth friendly , with the pace and composition of fiscal adjustment",
where needed attuned to supporting the recovery,
"Excessive may be building in some sectors United States corporate credit and insurance markets , housing price booms in a number of smaller advanced economies after more than five years of exceptionally low rates see annex",
"Taking advantage of the current low interest rate environment and depending on the availability of fiscal space , there is a case for more public investment",
and more efforts to better anchor expectations may be required,
where strong nominal anchors are not well established .,
"In Japan , the recent fiscal stimulus makes developing a credible fiscal plan",
that stabilizes and reduces debt even more urgent,
This would allow for monetary policy to be tightened more gradually or by less than otherwise required,1
"National authorities should commit to provide sufficient national backstops ,",
while the establishment of a common backstop ESM direct recapitalization remains crucial to sever links in countries,
where debt dynamics are a concern and fiscal space is limited,
"Central bank purchases of assets , refinancing operations , and other interventions in financial markets are helping to reduce funding costs and strengthen confidence , but there may be worsening tradeoffs , including credit misallocation",
National backstops should be used,
where fiscal space exists,
"In some economies Brazil , India , Turkey , maintaining the course of fiscal consolidation is critical , given large fiscal deficits and high inflation in some cases , and high external borrowing",
that has increased exposure to external funding risks in others,
"Term repo rates have declined in major advanced economies , as a result of both policy rate cuts and central bank operations",
that aided the functioning of repo markets,
"Capital controls can be used in some cases , but they should not substitute for necessary macroeconomic and prudential policies",
"At the same time , economies such as the United States and the United Kingdom should embark on fiscal consolidation",
"In the euro area , improving the effectiveness of monetary policy will require the broad range of policies discussed above to reverse financial fragmentation",
"While advanced economy central banks can likely address short term issues related to policy normalization given their large balance sheets , they should continue to monitor any unintended consequences of their policies on linkages , corporate leverage , financial innovation , international capital flows , and asset price bubbles",1
"Given a fragile recovery , an accommodative monetary policy stance remains appropriate in advanced economies , but negative spillovers to other economies , in particular emerging economies , need to be closely watched and managed carefully",2
fiscal stimulus longer than needed has obvious and immediate consequences for debt accumulation,
There is evidence,
"that forceful monetary easing , alongside enhanced credit and liquidity support , has helped ease financial stress Figure 3",
"Policy rates in major advanced economies are exceptionally low , and markets expect them to remain low for an extended period",
Sustainably higher and inclusive growth requires more forceful and comprehensive policies,
"Accordingly , unemployment is not forecast to be much higher in 2010 than before the crisis ,",
which suggests that inflation pressures would be less subdued than in the advanced economies,
"Developing clear and effective exit strategies from exceptional policy actions will be central to ensure a smooth return to normal market functioning , to safeguard the sustainability of public finances , and to contain concerns about inflation",
Policymakers must remain alert to overheating risks as well as rising domestic financial vulnerabilities,
"If downside risks to global growth materialize , threatening to slow growth appreciably more than expected , monetary policy should be the first line of defense ,",
although this line has become thin,
"With inflationary expectations well anchored , accommodative monetary policy in major advanced economies remains appropriate for now",1
"Other measures , such as lowering barriers for new firms to enter product and services markets , tend to have immediate demand benefits by raising investment and are , therefore , less dependent on the state of the business cycle",
Central banks should also carefully monitor unintended consequences,
"their policies might have , for instance on linkages , corporate leverage , and financial innovation as well as external spillovers",
"In advanced economies , central banks can afford to maintain low interest rates for an extended period ,",1
as underlying inflation is expected to remain very low,
Policymakers in many emerging economies face a growth slowdown accompanied by a more challenging environment,
"Where required and feasible , more supportive macroeconomic policies can reduce the impact on growth",
"Most emerging economies need to bolster their financial stability frameworks to cope with volatile capital flows , including notably from sharp swings in global risk aversion .",
"First , where fiscal policy directly supports infrastructure investment for example , Germany , ",
"it will raise productivity and the growth potential in the future , enhancing sustainability",
"In this context , the new round of stress test should be transparent , sufficiently stringent , and accompanied by contingent plans for quick recapitalization or resolution of banks to reassure markets",
"In most advanced economies , monetary policy is expected to remain appropriately accommodative ,",
while the pace of normalization in the United States,
"which is reaching full employment should continue to be gradual and , alongside well communicated plans for the Federal Reserve 's balance sheet",
The matter is more pressing in Europe due to sovereign contagion risks,
"Several countries have already cut policy rates in response to the recent weakness in activity for example , India , Korea",
While many emerging market and developing economies,
"are already raising policy rates , real rates still remain low or even negative",
"In some emerging economies , lower oil prices may alleviate inflationary pressures and reduce vulnerabilities",
"Fiscal consolidation should continue , underpinned by comprehensive tax reform and further reductions in subsidies",
Monetary policy needs to remain accommodative,1
"until the recovery is well established , while containing potentially adverse side effects",
"At the same time , the design of fiscal policy should better support",
"the growth potential of the economy , including by enhancing infrastructure investment , provided",
"that infrastructure needs have been identified , there is slack in the economy , monetary policy is accommodative , investment processes are relatively efficient , and ratios are not already high",
"Moving expeditiously to address the legacies of the crisis including bank funding concerns , the resolution of weak banks , and the restructuring of balance sheets for distressed households as well as to alleviate",
regulatory uncertainty will strengthen financial systems and help catalyze rapid growth,
major advanced economy central banks have reduced policy interest rates to close to the zero interest floor,
"In the euro area , robust action and are required on multiple fronts",
"Accordingly , in countries with fiscal room , automatic stabilizers should be allowed to play freely , and",
"where stabilizers are small , temporary support , such as extended unemployment benefits or wage subsidies , could be continued",
"External and financial vulnerabilities have risen , and could be exacerbated",
"if capital flow reversals materialize ,",
"as private sector leverage has increased significantly , and current account positions have deteriorated",
Other helpful measures include adjusting the composition of spending toward public investment and moving the revenue structure toward indirect and other taxes relatively less detrimental to growth,
More coordination is necessary to avoid fragmentation,
Consistent implementation and international cooperation is also critical for a level playing field and reducing fragmentation,
"Building on recent achievements , the authorities should aim for sustained wage inflation , supported by higher public sector and minimum wages , alongside labor market reforms",
that reduce duality,
"The key objective will be to maintain price stability , but",
"where financial stability remains fragile , or key markets are not yet functioning , central banks may need to maintain measures or possibly introduce new targeted ones , even within the context of an overall tightening of the monetary policy stance",
"In the United States , Federal Reserve policy should remain data dependent",
"When there is economic slack and monetary accommodation , demand effects are stronger , and the boost in output can lead to a decline in the ratio",
tools should be the first line of defense against financial stability risks,
"As a result , central banks have also taken a number of unconventional measures , including direct intervention in credit markets",
"Some reforms have more potential to boost demand in the short term , such as those",
that lower barriers for new firms to enter product and services markets,
"Looking forward , the appreciation of exchange rates since the first quarter will help support domestic demand , consistent with broader need to rebalance the global economy towards higher consumption in those economies",
that had accumulated reserves before the financial crisis,
"But it would be critical to repair bank balance sheets to reduce financial fragmentation , improve the monetary transmission mechanism , and allow for a sustained recovery in investment",
Capital inflows may require adjustments to the policy mix,
