sentence,monetary_topic
"A key to addressing this challenge is to expeditiously reform and repair financial sectors in the major advanced economies ,",0.0
"which would both help catalyze a sustained private recovery in these economies , allow for interest rates increases and limit spillovers to emerging economies .",0.0
"Following substantial easing in the first half of 2009 , several emerging economies including in Brazil , Indonesia , and South Africa have paused in their monetary easing cycles on account of inflation concerns",0.0
"Specifically : In Brazil , slowing economic conditions will make it difficult to achieve the original budget targets for 2014",0.0
"There is scope for better cooperation on withdrawal of UMP , especially through wider central bank discussions of exit plans",0.0
"In Japan , the BoJ 's objective to raise inflation to 2 percent and the sweeping enhancements to the monetary framework are welcome",0.0
"If the economy is not at risk of overheating , the appropriate policy response would be to lower interest rates and to tighten fiscal policy , thus reducing currency appreciation pressures",1.0
"The scale of fiscal adjustment required to ensure fiscal sustainability will be large , particularly in advanced economies",0.0
With the exception of the ECB which cut its refinancing rate further by 25 basis points to one percent in early May,0.0
major advanced country central banks are now effectively at the lower bound for policy rates,0.0
"The crisis compelled central banks to employ a wide range of measures , in many cases unprecedented",0.0
"that the current aggressive pace of monetary easing may need to be maintained for an extended period , providing more information about asset purchases beyond could further enhance transparency",0.0
These monetary measures need to be supplemented by progress on ` third arrow ' structural reforms,0.0
"In general , policy responses should be anchored by sound and credible monetary policy frameworks",0.0
These economies may have to consider tightening their fiscal stance more quickly,0.0
while maintaining measures aimed at mitigating the social impact of the crisis,0.0
"Following a long period of low rates , excessive may have built in some sectors credit booms in a number of smaller advanced economies and the underpricing of risks in certain segments of United States financial markets",0.0
"monetary policy accommodation is thus the right policy from a domestic perspective , considering also",1.0
that the recovery is expected to remain sluggish going forward,0.0
"These monetary policy efforts should be supported by measures to strengthen bank balance sheets ,",0.0
which would help to improve monetary policy transmission and credit market conditions,0.0
"Building bank capital buffers will help to achieve this by breaking the adverse feedback loop between rising sovereign spreads , deteriorating bank funding , and flagging activity",0.0
Excessive may have built in some sectors credit booms in a number of smaller advanced economies and the underpricing of risks in certain segments of United States financial markets after more than five years of exceptionally low rates,0.0
This will take pressure off monetary and prudential policies and create fiscal space to respond to future shocks,0.0
Macroeconomic policies are most effective,0.0
when deployed within coherent frameworks,0.0
"To benefit most from the additional easing , it should be supported with fiscal , structural , and ambitious incomes policies",0.0
Sustainably lowering inflation will also require further increases in the policy rate and a simpler monetary framework with clear objectives and operational autonomy for the RBI .,0.0
It will be important to have clarity on the process and objectives,0.0
that will guide discussions between the United Kingdom and the E.U,0.0
"Finally , communication should focus on the overarching goal of achieving the inflation target in a stable manner through a more transparent presentation of the BoJ 's forecast and underlying assumptions",0.0
"In case actual or expected inflation stagnate or growth disappoints , the Bank of Japan should act swiftly through further and/or asset purchases",0.0
A strong commitment to fully implement the asset purchase program and adjust the program,0.0
if needed will help meet ECB 's price stability objective,0.0
But this must be accompanied by macro prudential measures and enhanced financial supervision,0.0
where there are risks of overheating in some sectors such as real estate .,0.0
"In many emerging markets , financial market reforms have the potential to assist the effective transmission of monetary policies while allowing for sustainable credit expansions",0.0
"Monetary policy can remain accommodative in the major advanced countries , but monetary tightening may be considered in some emerging economies facing risks of overheating",1.0
"Hence , plans for fiscal consolidation should generally take priority , all else given",0.0
Some emerging economies should consider prudential actions to limit excessive credit creation,0.0
"Notwithstanding recent rate hikes in some emerging economies , real interest rates remain far below precrisis levels and hence too low",1.0
that may impede this rebalancing would need to be addressed,0.0
"In the United States , monetary policy should continue to gradually normalize and remain data dependent , and plans for the Fed 's balance sheet should be",1.0
"Fiscal consolidation should proceed gradually , anchored in credible plans ,",0.0
which are lacking in some countries notably Japan and the United States,0.0
"Also , authorities will need to remain vigilant against the prospect of deteriorating credit quality emerging as a result of the monetary policy easing undertaken so far",0.0
There is a need to put the global financial system on a more resilient footing,0.0
"High unemployment and large output gaps are keeping wages and inflation expectations in the major advanced economies in check , notwithstanding large increases in food and energy prices",0.0
"The government should articulate structural measures to underpin the consolidation path , including subsidy reform and progress on the Goods and Services Tax",0.0
"While monetary policy should continue supporting the recovery , challenges are increasingly different across countries",0.0
"Under some circumstances , reserve accumulation , restrictions on capital inflows and measures could also form part of the policy mix",0.0
"For oil exporters , the need to adjust fiscal stance would depend on the scope of savings from past higher prices of oil and exchange rate regimes",0.0
"More recently however , inflation expectations have reversed , and the euro has strengthened ,",0.0
which could put downward pressure on prices,0.0
"The expected boost in economic activity from lower oil prices has not materialized , and lower energy costs are keeping inflation low",0.0
"Finally , the pace of fiscal withdrawal in 2014 15 is broadly appropriate in Japan , but a consolidation plan remains needed",0.0
"needs to be done in the euro area ,",0.0
"where the growth outlook is very weak , unemployment is high , and inflation is projected well below the 2 percent target",0.0
"Where public debt is elevated , fiscal space should be through consolidation Brazil , India , Mexico",0.0
"In the United States , monetary policy should continue to remain ,",0.0
while downside risks to the outlook confirm the case for a very gradual upward path for the federal funds rate,0.0
"As recent turbulences have shown , economies with deteriorating macroeconomic imbalances , larger external funding requirements relative to reserves and lower policy credibility see more volatility",0.0
"In particular , maintaining accommodative monetary policy through 2011 , including through an expansion of central bank balance sheets , can counteract some of the contractionary effects of fiscal consolidation",1.0
Monetary authorities have instruments to maintain control over interest rate policy,0.0
"However , fiscal policies need to urgently deliver measures",0.0
that lower deficits over the medium-term,0.0
Targeted programs to ease,0.0
credit constraints would be also useful,0.0
where the transmission mechanism is impaired,0.0
"With inflation still elevated , monetary tightening may have to be stepped up",1.0
should inflation expectations worsen,0.0
"In an environment of ongoing but incomplete transition to financial stability , changing growth dynamics and concerns about slow growth and high unemployment , achieving a better policy mix is important",0.0
"The Fed 's employment and inflation objectives should guide policy decisions and the beginning of normalization of the monetary policy stance ,",0.0
which is currently expected around,0.0
Central banks should be mindful,0.0
"that further declines in inflation , even if temporary , may lead to additional downdraft in inflation expectations and rising real interest rates",0.0
"While net commodity importers benefit from reduced inflation pressures and external vulnerabilities , the scope for monetary policy easing could be limited in a context tighter external financing conditions",0.0
"Large international reserves have provided scope , in some cases , to counter exchange rate volatility and sustain the availability of foreign currency funding , for example for trade finance",0.0
"In the euro area , the ECB 's expanded asset purchase program has improved confidence and financial conditions , and raised inflation expectations initially",0.0
"Given the nature of the turnaround in global activity and financial markets , ",0.0
"the paramount objectives for monetary , fiscal , and financial sector policies are continued support for the recovery , fully restoring the financial sector to health , and limiting downside risks",0.0
"In the euro area , the ECB 's expanded asset purchase program has supported confidence and eased financial conditions , but inflation remains low",0.0
But public capital injections may also be necessary,0.0
"Current projections are for a limited decline in budget deficits of emerging economies in 2011 and 2012 ,",0.0
even though output growth and capacity utilization would continue to be above trend,0.0
"and pursue structural reforms to boost jobs and growth , with the appropriate policy mix depending on their respective circumstances",0.0
"In the United States , the main policy issue is the appropriate timing and pace of monetary policy normalization",1.0
"Where demand is still lacking , there is scope for macroeconomic policies to help growth while advancing the impact of structural reforms",0.0
"In the meantime , there is some room for a lower policy rate",1.0
"With prospects improving , it will be critical to avoid a premature withdrawal of monetary policy accommodation , including in the United States",1.0
an expansionary fiscal stance has a direct impact,0.0
on the build up of debt,0.0
Joint efforts by deficit and surplus economies to rebalance global demand would reduce excess external imbalances while sustaining growth,0.0
"Moreover , some of these economies are again seeing significant asset price increases and credit growth in response to low interest rates , raising the specter of renewed equity or real estate booms",0.0
Conventional monetary tightening will need to be accompanied by steps to offset the impact of large central bank balance sheets,1.0
Policymakers should also address structural obstacles to continued high growth while rebuilding fiscal policy buffers,0.0
"In particular : Monetary policy responses , more generally , to external pressures will depend on country conditions and frameworks",0.0
"In countries with credit growth , supervisory and macro prudential measures should be deployed to curb sectoral excesses .",0.0
There is also room to expand the Loan Support Program,0.0
in order to further enhance the monetary policy transmission,0.0
"that there is space , a supportive fiscal stance can help offset adverse effects of structural reforms on aggregate demand , bringing forward the growth benefits",0.0
The breathing space provided by exceptionally accommodative monetary policies should be used by authorities to tackle underlying issues,0.0
that prevent a solid return to growth,0.0
The principles laid out below are intended to establish common ground for the design and implementation of policies during the exit from extraordinary support measures taken during the crisis,0.0
"Nevertheless , there is a concern about diminishing effectiveness of unconventional actions , their side effects for example , volatile capital flows , and potential difficulties related to unwinding them",0.0
Recovery in advanced economies will need readily available credit to allow easy monetary conditions to pass through,0.0
"For example , some labor market reforms benefit employment more",0.0
when demand is already strong,0.0
as this helps,0.0
job seekers find work faster or,0.0
when fiscal and monetary policies can provide support,0.0
"This risk is limited over the near term ,",0.0
as weak balance sheets and confidence are likely to weigh on credit availability,0.0
The three requirements for a more resilient recovery are : sustained but gradual fiscal adjustment,0.0
"Monetary policy should have some leeway to ease in emerging Asia , especially in 2014 ,",1.0
"as the output gap , core inflation falls , and inflation expectations are well anchored",0.0
"Minimal room remains to lower policy rates in key advanced economies , except the euro area , and monetary transmission may be hindered by the state of the financial sector",1.0
"In the euro area , more monetary easing",1.0
"is needed to raise the prospects of achieving the ECB 's inflation objective , including by supporting demand , given the weak and fragile growth , large output gaps and very low inflation",1.0
There are incipient signs of rising exposure to both interest rate and credit risk in regional banks,0.0
"that require increased vigilance ,",0.0
as low interest rates squeeze interest margins,0.0
These monetary policy efforts should be supported by measures to strengthen bank balance sheets and thereby improve monetary policy transmission and credit market conditions,0.0
"Further action is needed to recapitalize , restructure , or resolve weak banks and improve the flow of credit to the economy , particularly in Europe",0.0
"For countries with less policy space , exchange rate flexibility will be a critical buffer to the shock",0.0
This is advisable considering both the relative scales of policy adjustment required and managing risks to both economic and financial recovery,0.0
"For most countries , the risks presented by keeping stimulus in place too long suggest",0.0
that adjustment is a key priority,0.0
"In Europe , the resolution of loans should be accelerated through a combination of stricter supervision , insolvency reform , and the facilitation of secondary markets in distressed debt",0.0
Monetary policy : maintain accommodation,1.0
"Cyclical weakening calls for monetary policy easing , or less tightening , for those economies",1.0
where inflation and expectations are well anchored to provide room for maneuver,0.0
"At the same time , a prolonged period of very low interest rates could fuel excessive risk taking",1.0
"In the euro area , bank balance sheet repair remain essential to restore confidence and revive credit growth , and policymakers should make further progress on banking union through a Single Supervisory Mechanism and a Single Resolution Mechanism , and advance structural reforms",0.0
The United Kingdom faces similar challenges :,0.0
"while monetary policy should stay accommodative for now , it might , however , have to be tightened quickly",1.0
if costs run ahead of productivity growth or,0.0
"slack is absorbed , or",0.0
Tightening could also be considered,1.0
if macroprudential tools prove insufficient to deal with financial stability risks with due consideration to the tradeoffs involved the real economy,0.0
"Commercial paper rates are falling in advanced economies , driven in part by major central banks ' direct purchases and liquidity operations targeted at corporate financing",0.0
Buffers should be rebuilt to create space for action,0.0
should downside risks materialize,0.0
"In such economies which include Brazil , India and Turkey there is room for further consolidation",0.0
"In Brazil , the room for monetary policy easing is limited by underlying inflationary pressures and fiscal consolidation should continue to reduce large deficits",1.0
"Although policy requirements remain paramount ,",0.0
"as signs of an economic turnaround in the global economy become more prevalent , markets have begun to express their concern about the future ramifications of unprecedented policy actions and massive public intervention",0.0
"Greater exchange rate appreciation would dampen inflationary pressures , including from world commodity prices , introduce more risk for capital inflows , and facilitate external rebalancing in surplus economies",0.0
"Fiscal policy should be growth friendly , with the pace and composition of fiscal adjustment",0.0
where needed attuned to supporting the recovery,0.0
"Excessive may be building in some sectors United States corporate credit and insurance markets , housing price booms in a number of smaller advanced economies after more than five years of exceptionally low rates see annex",0.0
"Taking advantage of the current low interest rate environment and depending on the availability of fiscal space , there is a case for more public investment",0.0
and more efforts to better anchor expectations may be required,0.0
where strong nominal anchors are not well established .,0.0
"In Japan , the recent fiscal stimulus makes developing a credible fiscal plan",0.0
that stabilizes and reduces debt even more urgent,0.0
This would allow for monetary policy to be tightened more gradually or by less than otherwise required,1.0
"National authorities should commit to provide sufficient national backstops ,",0.0
while the establishment of a common backstop ESM direct recapitalization remains crucial to sever links in countries,0.0
where debt dynamics are a concern and fiscal space is limited,0.0
"Central bank purchases of assets , refinancing operations , and other interventions in financial markets are helping to reduce funding costs and strengthen confidence , but there may be worsening tradeoffs , including credit misallocation",0.0
National backstops should be used,0.0
where fiscal space exists,0.0
"In some economies Brazil , India , Turkey , maintaining the course of fiscal consolidation is critical , given large fiscal deficits and high inflation in some cases , and high external borrowing",0.0
that has increased exposure to external funding risks in others,0.0
"Term repo rates have declined in major advanced economies , as a result of both policy rate cuts and central bank operations",0.0
that aided the functioning of repo markets,0.0
"Capital controls can be used in some cases , but they should not substitute for necessary macroeconomic and prudential policies",0.0
"At the same time , economies such as the United States and the United Kingdom should embark on fiscal consolidation",0.0
"In the euro area , improving the effectiveness of monetary policy will require the broad range of policies discussed above to reverse financial fragmentation",0.0
"While advanced economy central banks can likely address short term issues related to policy normalization given their large balance sheets , they should continue to monitor any unintended consequences of their policies on linkages , corporate leverage , financial innovation , international capital flows , and asset price bubbles",1.0
"Given a fragile recovery , an accommodative monetary policy stance remains appropriate in advanced economies , but negative spillovers to other economies , in particular emerging economies , need to be closely watched and managed carefully",1.0
fiscal stimulus longer than needed has obvious and immediate consequences for debt accumulation,0.0
There is evidence,0.0
"that forceful monetary easing , alongside enhanced credit and liquidity support , has helped ease financial stress Figure 3",0.0
"Policy rates in major advanced economies are exceptionally low , and markets expect them to remain low for an extended period",0.0
Sustainably higher and inclusive growth requires more forceful and comprehensive policies,0.0
"Accordingly , unemployment is not forecast to be much higher in 2010 than before the crisis ,",0.0
which suggests that inflation pressures would be less subdued than in the advanced economies,0.0
"Developing clear and effective exit strategies from exceptional policy actions will be central to ensure a smooth return to normal market functioning , to safeguard the sustainability of public finances , and to contain concerns about inflation",0.0
Policymakers must remain alert to overheating risks as well as rising domestic financial vulnerabilities,0.0
"If downside risks to global growth materialize , threatening to slow growth appreciably more than expected , monetary policy should be the first line of defense ,",0.0
although this line has become thin,0.0
"With inflationary expectations well anchored , accommodative monetary policy in major advanced economies remains appropriate for now",1.0
"Other measures , such as lowering barriers for new firms to enter product and services markets , tend to have immediate demand benefits by raising investment and are , therefore , less dependent on the state of the business cycle",0.0
Central banks should also carefully monitor unintended consequences,0.0
"their policies might have , for instance on linkages , corporate leverage , and financial innovation as well as external spillovers",0.0
"In advanced economies , central banks can afford to maintain low interest rates for an extended period ,",1.0
as underlying inflation is expected to remain very low,0.0
Policymakers in many emerging economies face a growth slowdown accompanied by a more challenging environment,0.0
"Where required and feasible , more supportive macroeconomic policies can reduce the impact on growth",0.0
"Most emerging economies need to bolster their financial stability frameworks to cope with volatile capital flows , including notably from sharp swings in global risk aversion .",0.0
"First , where fiscal policy directly supports infrastructure investment for example , Germany , ",0.0
"it will raise productivity and the growth potential in the future , enhancing sustainability",0.0
"In this context , the new round of stress test should be transparent , sufficiently stringent , and accompanied by contingent plans for quick recapitalization or resolution of banks to reassure markets",0.0
"In most advanced economies , monetary policy is expected to remain appropriately accommodative ,",0.0
while the pace of normalization in the United States,0.0
"which is reaching full employment should continue to be gradual and , alongside well communicated plans for the Federal Reserve 's balance sheet",0.0
The matter is more pressing in Europe due to sovereign contagion risks,0.0
"Several countries have already cut policy rates in response to the recent weakness in activity for example , India , Korea",0.0
While many emerging market and developing economies,0.0
"are already raising policy rates , real rates still remain low or even negative",0.0
"In some emerging economies , lower oil prices may alleviate inflationary pressures and reduce vulnerabilities",0.0
