index,sentence,subsentence_detail,score_detail,fiscal_stance,fiscal_analysis,economic_condition,monetary_policy,other_policies,risk,no_topic,fiscal_stance_dum
20160901_1_4,"Where interest rates are at or near their effective lower bounds, fiscal policy must play a larger role","└── play 0.0 0.0 fiscal_analysis
    ├── bound 0.0 0.0 other_policies//
    │   └── near 0 0.0 fiscal_analysis//
    └── play 0 0.0 //
","{'polarity': [], 'degree': [('larger', 2.0)]}",0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
20160901_1_22,"In the United States, monetary policy should continue to remain data-dependent, while downside risks to the outlook confirm the case for a very gradual upward path for the federal funds rate","└── continue 0.0 0.0 monetary_policy
    └── confirm 0 0.0 //
","{'polarity': [('downside', -1), ('upward', 1)], 'degree': [('gradual', 0.5)]}",0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
20160901_1_17,Safeguarding banking system stability is also a priority,"└── safeguard 0.0 0.0 other_policies
    └── priority 0 0.0 
","{'polarity': [], 'degree': [('priority', 2.0)]}",0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
20160901_1_26,Other helpful measures include adjusting the composition of spending toward public investment and moving the revenue structure toward indirect and other taxes relatively less detrimental to growth,"└── include 0.0 0.0 fiscal_analysis
    └── adjust 0.0 0.0 fiscal_analysis
        └── move 0 0.0 fiscal_analysis//
","{'polarity': [('spending', 1), ('investment', 1), ('tax', -1)], 'degree': []}",0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
20160901_1_13,Several policies can be deployed now to support reforms and contain risks,"└── deploy 0.0 0.0 other_policies
    └── contain 0 0.0 economic_condition//
","{'polarity': [('support', 1), ('contain', -1), ('reform', -1)], 'degree': []}",0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
20160901_1_1,Sustainably higher and inclusive growth requires more forceful and comprehensive policies,"└── require 0 0.0 other_policies
","{'polarity': [('higher', 1)], 'degree': []}",0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
20160901_1_8,"Recent IMF research shows that structural reforms are most effective when they directly address an economy’s known structural policy gaps and take account of its level of development, its position in the business cycle, and the available macroeconomic policy space","└── show 0.0 0.0 other_policies
    └── effective 0.0 0.0 other_policies
        └── address 0.0 0.0 
            ├── known 0 0.0 other_policies
            └── take 0.0 0.0 //
                ├── position 0 0.0 fiscal_analysis,other_policies//
                └── space 0 0.0 other_policies//
","{'polarity': [('reform', -1)], 'degree': []}",0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
20160901_1_24,"Indeed, a strategy of deploying all available tools can counter damaging perceptions that the policy space to use individual instruments might be limited","└── limit 0 0.0 other_policies
","{'polarity': [('limit', -1)], 'degree': []}",0.0,0.0,0.0,0.0,0.0,0.0,0,1.0
20160901_1_10,"Other measures, such as lowering barriers for new firms to enter product and services markets, tend to have immediate demand benefits by raising investment and are, therefore, less dependent on the state of the business cycle","└── tend 0.0 0.0 fiscal_analysis
    ├── enter 0 0.0 //
    ├── raise 0 0.0 //
    └── dependent 0 0.0 other_policies//
","{'polarity': [('lower', -1), ('raise', 1), ('investment', 1)], 'degree': [('less', 0.5)]}",0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
20160901_1_32,"Where inflation targeting frameworks are already established, improving the transparency of instruments and policy objectives can provide further assurance that contractionary shocks will be absorbed.","└── improve -0.5 0.0 fiscal_analysis,other_policies
    ├── establish 0 0.0 //
    └── provide -0.5 0.0 other_policies//
        └── absorb 0 -1 fiscal_stance
","{'polarity': [('improve', 1), ('shock', -1)], 'degree': [('further', 2.0)]}",0.0,-0.5,0.0,0.0,-0.5,0.0,0,0.0
20160901_1_6,"Efforts to advance global trade integration, lower financial stability risks, and address geopolitical spillovers remain vital","└── remain 0.0 0.0 other_policies
    └── address 0 0.0 //
","{'polarity': [('advance', 1)], 'degree': []}",0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
20160901_1_28,Macroeconomic policies are most effective when deployed within coherent frameworks,"└── effective 0.0 0.0 other_policies
    └── deploy 0 0.0 
","{'polarity': [], 'degree': []}",0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
20160901_1_20,"Where inflation is still well below targets, monetary policy should remain expansionary, using all available instruments—for example, in Japan and the euro area","└── remain 0.0 0.0 monetary_policy
    ├── target 0 0.0 monetary_policy//
    └── area 0 0.0 other_policies//
","{'polarity': [('below', -1)], 'degree': []}",0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
20160901_1_12,5 A combination of structural reforms and more expansionary demand policies in surplus economies can also help reduce global external imbalances,"└── help 0 0.0 other_policies
","{'polarity': [('reform', -1), ('reduce', -1), ('imbalance', -1)], 'degree': []}",0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
20160901_1_29,"It is crucial that fiscal frameworks limit long-run public sector balance sheet risks, while allowing for counter-cyclical demand support and rising deficits when the economy is weak, but ensuring that fiscal space is rebuilt when growth is robust","├── limit 0 0.0 fiscal_analysis
└── rebuild 0.0 0.0 //
    ├── weak 0 0.0 //
    └── robust 0 0.0 economic_condition//
","{'polarity': [('limit', -1), ('support', 1), ('rise', 1), ('deficit', 1)], 'degree': [('robust', 2.0)]}",0.0,0.0,0.0,0.0,0.0,0.0,0,1.0
20160901_1_23,"Where monetary policy operates near or at the lower bound, growth-friendly fiscal policy has an important role to play","└── operate 0.0 0.0 monetary_policy//
    └── bind 0 0.0 other_policies//
","{'polarity': [('growth-friendly', 1)], 'degree': []}",0.0,0.0,0.0,0.0,0.0,0.0,0,1.0
20160901_1_15,"In Europe, the resolution of non-performing loans should be accelerated through a combination of stricter supervision, insolvency reform, and the facilitation of secondary markets in distressed debt","└── accelerate 0.0 0.0 other_policies
    ├── reform 0 0.0 other_policies//
    └── facilitation 0 0.0 fiscal_analysis//
","{'polarity': [('accelerate', 1), ('reform', -1)], 'degree': []}",0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
20160901_1_18,"In Japan, the recently announced additional fiscal stimulus is set to boost demand (along with expansionary monetary policy), but it also provides an opportunity to accelerate the impact of much-needed structural reforms, in particular in the labor market","└── provide 0 0.0 fiscal_analysis,other_policies//
","{'polarity': [('stimulus', 1), ('boost', 1), ('opportunity', 1), ('accelerate', 1), ('reform', -1)], 'degree': []}",0.0,0.0,0.0,0.0,0.0,0.0,0,1.0
20160901_1_30,Credible monetary frameworks that anchor long-run inflation expectations can accommodate spikes in inflation rates over the short to medium-term,,"{'polarity': [], 'degree': [('medium-term', 0.5)]}",0.0,0.0,0.0,0.0,0.0,0.0,0,1.0
20160901_1_11,The IMF prepared detailed country-by-county recommendations along these lines on the occasion of the Finance Ministers and Central Bank Governors’ Meetings in July 2016,"└── imf 0.0 0.0 fiscal_analysis
    └── meeting 0 0.0 monetary_policy//
","{'polarity': [], 'degree': []}",0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
20160901_1_9,"For example, some labor market reforms benefit employment more when demand is already strong—as this helps job seekers find work faster—or when fiscal and monetary policies can provide support","└── benefit 0.0 0.0 other_policies
    ├── help 0.0 0.0 //
    │   └── find 0 0.0 fiscal_analysis,other_policies
    └── provide 0 0.0 monetary_policy//
","{'polarity': [('reform', -1), ('strong', 1), ('support', 1)], 'degree': [('faster', 2.0)]}",0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
20160901_1_2,"With multiple interdependent factors holding back growth, policymakers have to work all necessary levers— structural policies (including to promote financial stability and trade), fiscal policies, and monetary policy","└── have 0.0 0.0 other_policies
    ├── trade 0 0.0 //
    ├── policy 0 0.0 //
    └── policy 0 0.0 monetary_policy//
","{'polarity': [], 'degree': []}",0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
20120120_1_10,"This could be achieved by lower ECB monetary policy interest rates, for which room exists, and, as needed, further unconventional measures","└── achieve 0.0 0.0 monetary_policy,other_policies
    └── exist 0 0.0 fiscal_analysis
        └── need 0 0 fiscal_stance,other_policies//
","{'polarity': [], 'degree': [('further', 2.0)]}",0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
20120120_1_5,"Countries with relatively strong fiscal and external positions, for example, should not adjust to the same extent as countries facing market pressures","└── position 0 0.0 other_policies//
","{'polarity': [('strong', 1)], 'degree': []}",0.0,0.0,0.0,0.0,0.0,0.0,0,1.0
20120120_1_2,"ample liquidity and easy monetary policy, mainly in advanced economies","└── liquidity 0.0 0.0 fiscal_analysis
    └── policy 0 0.0 monetary_policy//
","{'polarity': [('ample', 1)], 'degree': []}",0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
20120120_1_6,"A successful resolution of the current crisis will thus require a cohesive, comprehensive, and cooperative package of policies across the G-20","└── require 0 0.0 fiscal_analysis,other_policies
","{'polarity': [('crisis', -1)], 'degree': []}",0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
20120120_1_4,"Importantly, not all countries should adjust in the same way, to the same extent, or at the same time, lest their efforts become self-defeating","└── adjust 0.0 0.0 fiscal_analysis
    ├── adjust 0 0.0 //
    └── adjust 0.0 0.0 fiscal_analysis//
        └── become 0 0.0 other_policies
","{'polarity': [], 'degree': [('importantly', 2.0)]}",0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
20120120_1_1,The three requirements for a more resilient recovery are sustained but gradual adjustment,,"{'polarity': [('adjustment', -1)], 'degree': [('gradual', 0.5)]}",0.0,0.0,0.0,0.0,0.0,0.0,0,1.0
20120120_1_9,"To forestall this adverse circuit, the ECB’s monetary policy should be highly accommodative, consistent with its mandate of ensuring price stability","└── forestall 0 0.0 monetary_policy
","{'polarity': [('adverse', -1), ('accommodative', 1)], 'degree': [('highly', 2.0)]}",0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
20120120_1_3,and more confidence in policymakers’ ability to act decisively,,"{'polarity': [('confidence', 1)], 'degree': []}",0.0,0.0,0.0,0.0,0.0,0.0,0,1.0
20120120_1_7,Easier monetary policy,"└── policy 0 0.0 monetary_policy
","{'polarity': [], 'degree': []}",0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
20120120_1_11,Monetary policies in other G-20 advanced economies should remain highly accommodative,"└── remain 0 0.0 monetary_policy
","{'polarity': [('advance', 1), ('accommodative', 1)], 'degree': [('highly', 2.0)]}",0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
20120120_1_14,"Monetary policies can be eased in economies with diminishing inflationary pressure but weaker fiscal fundamentals (for example, various economies in Latin America)","└── ease 0.0 0.0 monetary_policy
    └── diminish 0 0.0 //
","{'polarity': [('ease', -1), ('diminish', -1), ('weaker', -1)], 'degree': []}",0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
20120120_1_15,But this must be accompanied by macro- prudential measures and enhanced financial supervision where there are risks of overheating in some sectors (such as real estate).,"└── enhance 0.0 0.0 other_policies//
    └── be 0 0.0 //
","{'polarity': [], 'degree': []}",0.0,0.0,0.0,0.0,0.0,0.0,0,1.0
20120120_1_12,"The Federal Reserve, Bank of England, and Bank of Japan should stand ready to continue or expand their deployment of unconventional measures, if needed","├── bank 0 0.0 //
└── expand 0 0.0 fiscal_analysis//
","{'polarity': [('expand', 1)], 'degree': []}",0.0,0.0,0.0,0.0,0.0,0.0,0,1.0
20120120_1_8,"The adverse feedback loops between low growth, deteriorating public finances, and banking sector stress could lead to a prolong period of asset and consumer price deflation","└── lead 0.0 0.0 fiscal_analysis
    └── stress 0 0.0 other_policies//
","{'polarity': [('adverse', -1), ('deteriorate', -1), ('deflation', -1)], 'degree': []}",0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
20120120_1_13,"In particular, to ensure that the transmission mechanism for monetary policy remains effective, efforts should be directed at devising targeted schemes that help ease credit constraints on firms and households","└── particular 0.0 0.0 fiscal_analysis
    ├── ensure 0.0 0.0 //
    │   └── remain 0 0.0 monetary_policy
    └── direct 0.0 0 fiscal_stance//
        └── devise 0.0 0.0 //
            └── help 0.0 0.0 
                └── household 0 0.0 other_policies//
","{'polarity': [('ease', -1)], 'degree': []}",0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
20090924_1_4,A number of distortions keep saving high in key surplus countries,"└── keep 0 0.0 fiscal_analysis,other_policies
","{'polarity': [], 'degree': []}",0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
20090924_1_2,"Global imbalances have narrowed sharply after the crisis, reflecting some painful corrections and cyclical factors (see chart)","└── narrow 0.0 0.0 fiscal_analysis,other_policies
    ├── factor 0 0.0 other_policies//
    └── see 0 0.0 fiscal_analysis//
","{'polarity': [('narrow', -1), ('imbalance', -1), ('crisis', -1)], 'degree': [('sharply', 2.0)]}",0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
20090924_1_1,Factors that may impede this rebalancing would need to be addressed,"└── need 0 0 fiscal_stance
","{'polarity': [], 'degree': []}",0.0,0.0,0.0,0.0,0.0,0.0,0,1.0
20090924_1_5,"and problems with the international monetary system continue to prompt self insurance in some countries through large reserve accumulation, especially after the crisis.","└── continue 0.0 0.0 monetary_policy
    └── accumulation 0 0.0 fiscal_analysis//
","{'polarity': [('problem', -1), ('crisis', -1)], 'degree': []}",0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
20090924_1_3,"However, imbalances—based on current policy trajectories—are projected to widen again, signaling the need for further underlying adjustment","└── project 0 0.0 other_policies
","{'polarity': [('imbalance', -1), ('widen', 1), ('adjustment', -1)], 'degree': [('further', 2.0)]}",0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
20170314_1_10,"2 In countries where fiscal adjustment is needed, consolidation should be gradual and as growth-friendly as possible, while structural reforms should prioritize lower-cost measures that could have a beneficial impact on public finances over the medium-term","└── need -0.5 -1 fiscal_stance
    ├── gradual 0.0 -0.5 fiscal_stance//
    │   └── possible 0 0.0 other_policies//
    └── prioritize 0.0 0.0 fiscal_analysis,other_policies//
        └── have 0 0.0 fiscal_analysis
","{'polarity': [('adjustment', -1), ('consolidation', -1), ('reform', -1)], 'degree': [('gradual', 0.5), ('possible', 0.5), ('medium-term', 0.5)]}",-2.5,0.0,0.0,0.0,0.0,0.0,0,1.0
20170314_1_6,"In economies with insufficient demand but available fiscal space, fiscal policy can support short-term growth while also focusing on boosting the supply potential of the economy","└── support 0.0 0.0 fiscal_analysis
    └── focus 0.0 0.0 other_policies//
        └── boost 0 0.0 other_policies//
","{'polarity': [('support', 1), ('boost', 1)], 'degree': []}",0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
20170314_1_9,In such cases the combination of temporary macroeconomic support—well-anchored by credible medium-term policy frameworks—with growth-enhancing structural reforms can deliver more than the sum of its parts,"└── case 0.0 0.0 fiscal_analysis
    └── deliver 0 0.0 other_policies
","{'polarity': [('support', 1), ('reform', -1)], 'degree': [('medium-term', 0.5)]}",0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
20170314_1_11,"It is important, however, to consider macroeconomic conditions when implementing reforms","└── implement 0 0.0 other_policies//
","{'polarity': [('reform', -1)], 'degree': []}",0.0,0.0,0.0,0.0,0.0,0.0,0,1.0
20170314_1_8,Exploiting synergies between short-term support and structural reforms is even more crucial where fiscal space is limited and monetary policy operates close to the effective lower bound,"└── exploit 0.0 0.0 other_policies
    └── crucial 0.0 0.0 other_policies//
        └── limited 0.0 0.0 fiscal_analysis//
            └── operate 0 0.0 monetary_policy,other_policies//
","{'polarity': [('support', 1), ('reform', -1)], 'degree': []}",0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
20170314_1_2,"In those advanced economies where inflation remains below target, a supportive monetary policy stance should be maintained, relying on unconventional measures, as needed—for example in the euro area and Japan","└── maintain 0.0 0.0 monetary_policy
    ├── remain 0 0.0 economic_condition
    ├── need 0 0 fiscal_stance,other_policies//
    └── example 0.0 0.0 other_policies//
        └── japan 0 0.0 fiscal_analysis//
","{'polarity': [('advance', 1), ('below', -1), ('supportive', 1)], 'degree': []}",0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
20170314_1_1,Reinforcing the growth momentum requires the right mix of demand support and supply reforms,"└── reinforce 0.0 0.0 other_policies
    └── reform 0 0.0 other_policies//
","{'polarity': [('support', 1), ('reform', -1)], 'degree': []}",0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
20170314_1_12,"Some reforms have more potential to boost demand in the short term, such as those that lower barriers for new firms to enter product and services markets","└── have 0.0 0.0 fiscal_analysis
    └── enter 0 0.0 other_policies
","{'polarity': [('reform', -1), ('boost', 1)], 'degree': [('potential', 0.5)]}",0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
20170314_1_13,"Other reforms, such as employment protection reform and unemployment benefit reform, are best implemented when demand is already strong, or when fiscal and monetary policies can provide support.","└── implement 0.0 0.0 other_policies
    ├── reform 0 0.0 other_policies//
    └── strong 0.0 0.0 other_policies//
        └── provide 0 0.0 monetary_policy//
","{'polarity': [('reform', -1), ('reform', -1), ('reform', -1), ('strong', 1), ('support', 1)], 'degree': []}",0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
20170314_1_7,"Emerging economies face starkly diverse cyclical positions, but the emphasis should generally be on enhancing resilience (as discussed below)","└── face 0.0 0.0 other_policies
    └── enhance 0 0.0 other_policies//
","{'polarity': [('below', -1)], 'degree': []}",0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
20170314_1_4,"In economies operating close to full capacity (such as the United States and Germany), any fiscal support should be oriented toward increasing potential output, for instance through investment in high-quality infrastructure, including social infrastructure such as education, health, or childcare","└── orient 0.0 1 fiscal_stance
    ├── germany 0 0.0 other_policies//
    ├── increase 0 0.0 //
    ├── health 0 0.0 fiscal_analysis//
    └── childcare 0 0.0 //
","{'polarity': [('support', 1), ('increase', 1), ('investment', 1)], 'degree': [('potential', 0.5)]}",2.0,0.0,0.0,0.0,0.0,0.0,0,1.0
20170314_1_3,"In the United States, monetary policy normalization should continue to be gradual and data driven","└── continue 0.0 0.0 monetary_policy
    └── datum 0 0.0 fiscal_analysis//
","{'polarity': [], 'degree': [('gradual', 0.5)]}",0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
20170314_1_5,"In Germany, higher public investment would also contribute to reducing the very high current account balance surplus","└── investment 0.0 0.0 fiscal_analysis
    └── contribute 0.0 0.0 fiscal_analysis,other_policies
        └── reduce 0 0.0 other_policies//
","{'polarity': [('investment', 1), ('higher', 1), ('reduce', -1)], 'degree': []}",0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
20101021_1_2,"In many advanced economies, insufficient progress with repair and reform is weighing on credit growth, and slowing the normalization of monetary and fiscal policies, with adverse spillovers on emerging economies, through large and volatile capital flows","└── weigh 0.0 0.0 other_policies
    ├── reform 0 0.0 other_policies//
    └── slow 0 0.0 monetary_policy,fiscal_analysis//
","{'polarity': [('weigh', -1), ('progress', 1), ('slow', -1), ('reform', -1), ('adverse', -1), ('volatile', -1)], 'degree': []}",0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
20101021_1_3,Accelerated financial sector restructuring and reform should thus be top priorities,"└── priority 0 -2.0 fiscal_stance,other_policies
","{'polarity': [('accelerate', 1), ('reform', -1)], 'degree': [('priority', 2.0)]}",-4.0,0.0,0.0,0.0,-4.0,0.0,0,1.0
20101021_1_1,The financial sector remains the Achilles’ heel of recovery prospects for private demand,"└── remain 0 0.0 economic_condition,other_policies
","{'polarity': [], 'degree': []}",0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
20101021_1_9,"In particular, maintaining accommodative monetary policy through 2011, including through an expansion of central bank balance sheets, can counteract some of the contractionary effects of fiscal consolidation","└── counteract 0.0 0.0 monetary_policy,fiscal_analysis
    └── expansion 0 0.0 monetary_policy//
","{'polarity': [('accommodative', 1), ('consolidation', -1)], 'degree': []}",0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
20101021_1_5,"If growth risks to slow appreciably more than expected, some of the planned consolidation could be slowed or postponed in countries with more fiscal room","└── slow 0.0 -2 fiscal_stance,fiscal_analysis
    ├── slow 0 0.0 economic_condition//
    └── postpone 0 0.0 //
","{'polarity': [('slow', -1), ('slow', -1), ('consolidation', -1)], 'degree': [('appreciably', 2.0)]}",-4.0,-4.0,0.0,0.0,0.0,0.0,0,1.0
20101021_1_8,"Given a fragile recovery, an accommodative monetary policy stance remains appropriate in advanced economies, but negative spillovers to other economies, in particular emerging economies, need to be closely watched and managed carefully","└── remain 0.0 0.0 monetary_policy,fiscal_analysis
    └── need 0.0 0.0 //
        └── manage 0 0.0 //
","{'polarity': [('accommodative', 1)], 'degree': []}",0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
20101021_1_10,"At the same time, however, policymakers should be mindful of the impact of such action on other economies, notably through large and volatile capital flows","└── mindful 0 0.0 fiscal_analysis
","{'polarity': [('volatile', -1)], 'degree': [('notably', 2.0)]}",0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
20101021_1_11,"A key to addressing this challenge is to expeditiously reform and repair financial sectors in the major advanced economies, which would both help catalyze a sustained private demand-led recovery in these economies, allow for interest rates increases and limit spillovers to emerging economies.","└── allow 0.0 0.0 fiscal_analysis
    ├── be 0.0 0.0 other_policies
    │   ├── repair 0 0.0 other_policies//
    │   └── help 0 0.0 fiscal_analysis
    └── spillover 0 0.0 //
","{'polarity': [('reform', -1), ('challenge', -1), ('increase', 1)], 'degree': []}",0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
20101021_1_6,"Monetary policy must remain the first line of defense, although this line is becoming increasingly thin in most advanced economies","└── remain 0.0 0.0 monetary_policy
    └── become 0 0.0 //
","{'polarity': [], 'degree': []}",0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
20101021_1_7,"In all but the most vulnerable countries, automatic stabilizers should be allowed to operate fully and, where stabilizers are small, temporary support (such as extended unemployment benefits or wage subsidies) could be continued","└── allow 0.5 0 fiscal_stance
    └── support 0.0 0.5 fiscal_stance//
        ├── subsidy 0 0.0 //
        └── continue 0 0.0 
","{'polarity': [('support', 1), ('subsidy', 1)], 'degree': [('small', 0.5)]}",0.5,0.0,0.0,0.0,0.0,0.0,0,1.0
20101021_1_4,"Moving expeditiously to address the legacies of the crisis—including bank funding concerns, the resolution of weak banks, and the restructuring of balance sheets for distressed households—as well as to alleviate regulatory uncertainty will strengthen financial systems and help catalyze rapid private-demand-led growth","└── move 0.0 0.0 fiscal_analysis
    └── address 0.0 0.0 
        ├── resolution 0 0.0 other_policies//
        ├── restructuring 0 0.0 other_policies//
        └── alleviate 0.0 0.0 //
            └── strengthen 0.0 0.0 other_policies
                └── help 0 0.0 economic_condition,fiscal_analysis//
","{'polarity': [('crisis', -1), ('concern', -1), ('uncertainty', -1), ('strengthen', 1)], 'degree': [('rapid', 2.0)]}",0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
20090903_1_7,"6 Libor-OIS spreads have declined sharply, reflecting increased liquidity and lower credit risk","└── decline 0.0 0.0 fiscal_analysis
    └── risk 0 0.0 other_policies//
","{'polarity': [('decline', -1), ('increase', 1)], 'degree': [('sharply', 2.0)]}",0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
20090903_1_3,"The Fed has signaled that interest rates are likely to remain low for an extended period, while other major central banks have indicated that monetary policy would only be tightened once the macroeconomic environment improves and the outlook for inflation picks up","└── signal 0.0 0.0 fiscal_analysis
    ├── likely 0 0.0 
    ├── improve 0.0 0.0 other_policies//
    │   └── indicate 0.0 0.0 fiscal_analysis//
    │       └── tighten 0 0.0 monetary_policy
    └── pick 0 0.0 economic_condition,other_policies//
","{'polarity': [('improve', 1), ('tighten', -1), ('pick', 1)], 'degree': [('likely', 0.5)]}",0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
20090903_1_31,"The recent large expansion of central bank balance sheets is mirrored in the growth of bank reserves, which will need to be mopped up as interest rates are raised to ensure the transmission of policy rate changes to the real economy","└── mirror 0.0 0.0 monetary_policy
    └── need 0.0 0 fiscal_stance
        └── raise 0 0.0 other_policies//
","{'polarity': [('raise', 1)], 'degree': []}",0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
20090903_1_11,"Commercial paper rates are falling in advanced economies, driven in part by major central banks’ direct purchases and liquidity operations targeted at short-term corporate financing","└── fall 0 0.0 other_policies
    └── operation 0 0 fiscal_stance//
","{'polarity': [('fall', -1)], 'degree': []}",0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
