,Hirose_san_score,model_score,sentence,sentence_root
103,1.0,1.0,"With nominal policy rates still at or close to the zero lower bound in many economies , monetary policy must remain accommodative , including through unconventional measures , to reduce risks to activity from low inflation and prolonged weak demand",nominal policy rate close lower bind many economy monetary policy must remain accommodative include unconventional measure reduce risk activity low inflation prolonged weak demand
104,0.0,0.0,"that have weakened the monetary transmission mechanism , with banks continuing to tighten lending standards , albeit at a slower pace more recently",have weaken monetary transmission mechanism bank continue tighten lending standard slower pace
105,0.0,0.0,"At the same time , policymakers can raise confidence by explaining to citizens the benefits of reform and ,",same time policymaker can raise confidence explain citizen benefit reform
106,1.0,0.0,"In advanced economies , central banks can afford to maintain low interest rates for an extended period ,",advanced economy central bank can afford maintain low interest rate extended period
107,0.0,0.0,"Building bank capital buffers will help to achieve this by breaking the adverse feedback loop between rising sovereign spreads , deteriorating bank funding , and flagging activity",building bank capital buffer will help achieve break adverse feedback loop rise sovereign spread deteriorate bank funding flagging activity
108,0.0,0.0,which are particularly relevant for European members but also several emerging economies see next section,be relevant european member several emerge economy see next section
109,0.0,0.0,that wage and price inflation are indeed maintaining their steady upward momentum,wage price inflation be maintain steady upward momentum
110,1.0,0.0,"While advanced economy central banks can likely address short term issues related to policy normalization given their large balance sheets , they should continue to monitor any unintended consequences of their policies on linkages , corporate leverage , financial innovation , international capital flows , and asset price bubbles",advanced economy central bank can address short term issue relate policy normalization give large balance sheet should continue monitor unintended consequence policy linkage corporate leverage financial innovation international capital flow asset price bubble
111,0.0,1.0,"Tighten monetary policy and , notably in key surplus economies ,",tighten monetary policy key surplus economy
112,0.0,0.0,Buffers should be rebuilt to create space for action,buffer should be rebuild create space action
113,0.0,0.0,while downside risks to the outlook confirm the case for a very gradual upward path for the federal funds rate,downside risk outlook confirm case gradual upward path federal fund rate
114,0.0,0.0,"banks have the tools needed to tighten policy , but there will be challenges",bank have tool need tighten policy will be challenge
115,0.0,0.0,"But it would be critical to repair bank balance sheets to reduce financial fragmentation , improve the monetary transmission mechanism , and allow for a sustained recovery in investment",would be critical repair bank balance sheet reduce financial fragmentation improve monetary transmission mechanism allow sustained recovery investment
116,0.0,0.0,"This is needed not only to halt and ultimately reverse the large rise in public debt ratios , but also to help create room for policy maneuver to support private demand",be need halt reverse large rise public debt ratio help create room policy maneuver support private demand
117,0.0,0.0,even while central bank balance sheets continue to provide support to some markets .,central bank balance sheet continue provide support market
118,0.0,0.0,and more confidence in policymakers ' ability to act decisively,confidence policymaker ability act
119,0.0,0.0,should the impact of financial market turbulence and higher uncertainty threaten to materially weaken the global outlook,should impact financial market turbulence higher uncertainty threaten weaken global outlook
120,0.0,0.0,"It will also make systemic institutions more resilient , help contain asset price and credit dynamics , and cushion",will make systemic institution resilient help contain asset price credit dynamics cushion
121,0.0,0.0,"The Federal Open Market Committee 's FOMC decision should remain and with little evidence of meaningful wage and price pressures so far ,",Federal Open Market Committee FOMC decision should remain little evidence meaningful wage price pressure
122,1.0,0.0,"In this context , the recent formal adoption of a symmetrical inflation target by India should provide a robust institutional foundation for maintaining price stability",context recent formal adoption symmetrical inflation target India should provide robust institutional foundation maintain price stability
123,0.0,0.0,"If inflows raise macro and concerns , macroeconomic policies for example , adjusting the policy mix , exchange rate appreciation , and some reserve accumulation should be complemented with strengthened prudential measures for example , loan to value ratios , funding composition restrictions",inflow raise macro concern macroeconomic policy example adjust policy mix exchange rate appreciation reserve accumulation should be complement strengthened prudential measure example loan value ratio fund composition restriction
124,0.0,0.0,"To secure a strong and durable recovery , policies need a decisive upgrade",secure strong durable recovery policy need decisive upgrade
125,0.0,0.0,Prudential authorities will need to be watchful of risks flowing from low interest rates,Prudential authority will need be watchful risk flow low interest rate
126,0.0,0.0,"where inflation is still relatively high , or",inflation be high
127,0.0,0.0,"Furthermore , fiscal policy adjustment typically has a long lead time relative to monetary policy",fiscal policy adjustment have long lead time relative monetary policy
128,0.0,0.0,that can deter the willingness to lend,can deter willingness lend
129,0.0,0.0,"that low inflation would pose challenges to central banks , although to a different degree",low inflation would pose challenge central bank different degree
130,0.0,0.0,"and pursue structural reforms to boost jobs and growth , with the appropriate policy mix depending on their respective circumstances",pursue structural reform boost job growth appropriate policy mix depend respective circumstance
131,0.0,0.0,which has reduced European bank demand for dollar funding,have reduce european bank demand dollar funding
132,0.0,0.0,"Central bank purchases of assets , refinancing operations , and other interventions in financial markets are helping to reduce funding costs and strengthen confidence , but there may be worsening tradeoffs , including credit misallocation",Central bank purchase asset refinance operation other intervention financial market be help reduce funding cost strengthen confidence may be worsen tradeoff include credit misallocation
133,0.0,0.0,additional spending could boost potential growth and create positive transitional spillovers for others,additional spending could boost potential growth create positive transitional spillover other
134,0.0,1.0,The strengthening of activity in advanced economies and looming normalization of monetary policy in some implies,strengthening activity advanced economy loom normalization monetary policy imply
135,0.0,0.0,which has proven essential in coping with volatile financial conditions in the past,have prove essential cope volatile financial condition past
136,1.0,0.0,"There monetary policy tightening is needed , along with greater exchange rate flexibility and the use of macroprudential tools",monetary policy tightening be need greater exchange rate flexibility use macroprudential tool
137,0.0,0.0,although coordination on some specific fronts is desirable,coordination specific front be desirable
138,0.0,0.0,"The expected boost in economic activity from lower oil prices has not materialized , and lower energy costs are keeping inflation low",expect boost economic activity lower oil price have materialize lower energy cost be keep inflation low
139,0.0,0.0,The reform agenda is unfinished and needs to be reinvigorated to strengthen the global financial system,reform agenda be unfinished need be reinvigorate strengthen global financial system
140,0.0,0.0,Some will have to strengthen their monetary frameworks to avert the possibility,will have strengthen monetary framework avert possibility
141,0.0,0.0,"Circumstances vary across emerging markets , but many should act to restore fiscal buffers over time , use monetary policy to guard against downside risks , and rely on measures to safeguard financial stability",circumstance vary emerge market many should act restore fiscal buffer time use monetary policy guard downside risk rely measure safeguard financial stability
142,0.0,0.0,"Where monetary policy is becoming over burdened , domestic policy coordination can help to make macroeconomic support effective",monetary policy be become burden domestic policy coordination can help make macroeconomic support effective
143,0.0,0.0,"In all but the most vulnerable countries , automatic stabilizers should be allowed to operate fully and ,",vulnerable country automatic stabilizer should be allow operate
144,0.0,0.0,is the top priority for the euro area,be top priority euro area
145,0.0,0.0,although this line has become thin,line have become thin
146,0.0,0.0,"As recent turbulences have shown , economies with deteriorating macroeconomic imbalances , larger external funding requirements relative to reserves and lower policy credibility see more volatility",recent turbulence have show economy deteriorate macroeconomic imbalance larger external funding requirement relative reserve lower policy credibility see more volatility
147,0.0,0.0,But public capital injections may also be necessary,public capital injection may be necessary
148,0.0,0.0,"Insufficient progress with repair and reform is weighing on credit , and slowing the normalization of monetary and fiscal policies , with adverse spillovers on emerging economies",insufficient progress repair reform be weigh credit slow normalization monetary fiscal policy adverse spillover emerge economy
149,0.0,0.0,"Where demand is still lacking , there is scope for macroeconomic policies to help growth while advancing the impact of structural reforms",demand be lack be scope macroeconomic policy help growth advance impact structural reform
150,0.0,0.0,as needed to counter inflationary risks and maintain price stability,need counter inflationary risk maintain price stability
151,1.0,1.0,This would allow for monetary policy to be tightened more gradually or by less than otherwise required,would allow monetary policy be tighten less require
152,0.0,0.0,inflation expectations remain well anchored,inflation expectation remain anchor
153,0.0,0.0,"In many emerging markets , financial market reforms have the potential to assist the effective transmission of monetary policies while allowing for sustainable credit expansions",many emerge market financial market reform have potential assist effective transmission monetary policy allow sustainable credit expansion
154,0.0,1.0,emerging economies should rebuild policy buffers,emerge economy should rebuild policy buffer
155,0.0,0.0,"Following the IMF 's Article IV policy advice , countries with negative output gaps",follow IMF Article policy advice country negative output gap
156,0.0,0.0,fiscal stimulus longer than needed has obvious and immediate consequences for debt accumulation,fiscal stimulus longer need have obvious immediate consequence debt accumulation
157,0.0,0.0,where there are risks of overheating in some sectors such as real estate .,be risk overheate sector such real estate
158,1.0,0.0,while others may have to take measures to gradually tighten financial conditions,other may have take measure tighten financial condition
159,0.0,0.0,if core inflation picks up,core inflation pick
160,0.0,1.0,Policymakers in Brazil should begin unwinding monetary stimulus,policymaker Brazil should begin unwind monetary stimulus
161,1.0,1.0,"Where still high inflationary pressures persist , including from supply bottlenecks for example , Brazil , India , and Indonesia , the scope for easing the monetary stance may be very limited or it may need to be tightened",high inflationary pressure persist include supply bottleneck example Brazil India Indonesia scope ease monetary stance may be limited may need be tighten
162,0.0,0.0,Other helpful measures include adjusting the composition of spending toward public investment and moving the revenue structure toward indirect and other taxes relatively less detrimental to growth,other helpful measure include adjust composition spending public investment move revenue structure indirect other tax detrimental growth
163,0.0,0.0,"reducing interest rates is not an attractive option ,",reduce interest rate be attractive option
164,0.0,0.0,"Where interest rates are at or near their effective lower bounds , fiscal policy must play a larger role",interest rate be effective lower bound fiscal policy must play larger role
165,0.0,0.0,unless they translate into second round effects in wage and price settings for example a persistent decline in longer term inflation expectations,translate second round effect wage price setting example persistent decline longer term inflation expectation
166,0.0,1.0,the challenge is to manage exit from exceptionally accommodative monetary policies,challenge be manage exit accommodative monetary policy
167,0.0,0.0,and debt management measures should commence as soon,debt management measure should commence
168,0.0,0.0,"In the euro area building on OMT and ESM activation , further action is also needed to strengthen banks , address structural shortcomings and complete EMU",euro area building omt esm activation further action be need strengthen bank address structural shortcoming complete emu
169,0.0,0.0,for them and their banks provided via the ESM would relieve funding pressures and break the adverse feedback loops between sovereigns and banks,bank provide ESM would relieve funding pressure break adverse feedback loop sovereign bank
170,0.0,0.0,"this objective will require meeting the onerous challenges to fiscal sustainability , normalizing monetary policy carefully withdrawing financial sector support , and avoiding policy inconsistencies across countries , as well as in the policy mix",objective will require meet onerous challenge fiscal sustainability normalize monetary policy withdraw financial sector support avoid policy inconsistency country policy mix
171,0.0,0.0,when fiscal retrenchment begins,fiscal retrenchment begin
172,0.0,0.0,"To avoid the risk of a hard landing and lower their exposure to capital flow reversals ,",avoid risk hard landing lower exposure capital flow reversal
173,0.0,0.0,"Short-term demand support still has an important part to play in advanced economies , but needs greater emphasis on fiscal policies",short-term demand support have important part play advanced economy need greater emphasis fiscal policy
174,0.0,0.0,"To tackle structural imbalances , advanced",tackle structural imbalance advance
175,0.0,0.0,"In order to enhance the credibility of the exercise and make it easier to raise private capital , greater clarity is needed on the availability of public backstops as safety nets",order enhance credibility exercise make easier raise private capital greater clarity be need availability public backstop safety net
176,0.0,0.0,where there is still cyclical slack,be cyclical slack
177,0.0,0.0,as output gaps are large and fiscal consolidation will continue,output gap be large fiscal consolidation will continue
178,0.0,0.0,"The recent additional monetary easing is welcome , and further progress is needed in addressing structural weaknesses and improving the quality of fiscal adjustment",recent additional monetary easing be welcome further progress be need address structural weakness improve quality fiscal adjustment
179,0.0,1.0,Monetary policy should continue to aid recovery,Monetary policy should continue aid recovery
180,1.0,0.0,"China should build on recent efforts to address financial vulnerabilities by continuing regulatory/supervisory tightening , greater recognition of bad assets , more credit allocation , and gradually reducing monetary policy accommodation",China should build recent effort address financial vulnerability continue regulatory/supervisory tightening greater recognition bad asset more credit allocation reduce monetary policy accommodation
181,0.0,0.0,In such cases the combination of temporary macroeconomic support by credible policy frameworks with structural reforms can deliver more than the sum of its parts,such case combination temporary macroeconomic support credible policy framework structural reform can deliver more sum part
182,0.0,1.0,"In economies with broadly balanced external positions , monetary tightening may be complicated ,",economy balanced external position monetary tightening may be complicate
183,0.0,0.0,in order to avoid disorderly exchange rate moves or triggering capital outflows,order avoid disorderly exchange rate move trigger capital outflow
184,0.0,0.0,as private demand begins recovering,private demand begin recover
185,0.0,0.0,as exchange rate depreciation could feed into inflation expectations and lead to a worsening inflation outlook .,exchange rate depreciation could feed inflation expectation lead worsen inflation outlook
186,0.0,0.0,"the growth potential of the economy , including by enhancing infrastructure investment , provided",growth potential economy include enhance infrastructure investment provide
187,0.0,0.0,Capital inflows may require adjustments to the policy mix,Capital inflow may require adjustment policy mix
188,0.0,0.0,"Major central banks have acted aggressively , easing policy rates to near zero and using their balance sheets to directly support intermediation",major central bank have act ease policy rate use balance sheet support intermediation
189,0.0,0.0,"Addressing corporate and bank vulnerabilities is a priority in many countries , including in several emerging economies and the euro area ,",address corporate bank vulnerability be priority many country include several emerge economy euro area
190,1.0,1.0,Monetary policy : maintain accommodation,Monetary policy maintain accommodation
191,0.0,0.0,as unemployment remains high and labor force participation below trends,unemployment remain high labor force participation trend
192,0.0,0.0,in order to further enhance the monetary policy transmission,order enhance monetary policy transmission
193,0.0,0.0,"In the United States , lower oil prices contribute positively to the recovery and there is a strong case to abstract from the effects of temporary oil supply shocks",United States lower oil price contribute recovery be strong case abstract effect temporary oil supply shock
194,0.0,0.0,"A number of these economies , notably in Asia , are already enjoying relatively vigorous rebounds of activity",number economy Asia be enjoy vigorous rebound activity
195,0.0,0.0,as inflation expectations remain,inflation expectation remain
196,1.0,1.0,"With inflation still elevated , monetary tightening may have to be stepped up",inflation elevated monetary tightening may have be step
197,0.0,0.0,"However , reserve stockpiles have been reduced , leaving less room for maneuver",reserve stockpile have be reduce leave less room maneuver
198,0.0,0.0,in order to securely anchor inflation expectations,order anchor inflation expectation
199,0.0,0.0,Monetary authorities need to prevent such rises from generating successive increases,Monetary authority need prevent such rise generate successive increase
200,0.0,0.0,"The recent large expansion of central bank balance sheets is mirrored in the growth of bank reserves ,",recent large expansion central bank balance sheet be mirror growth bank reserve
201,0.0,0.0,"In the United States , while underlying growth has been relatively robust , there is still a long way to go on the labor market ,",United States underlie growth have be robust be long way go labor market
202,0.0,0.0,"for which room exists , and ,",room exist
203,0.0,0.0,if needed,need
204,0.0,0.0,The IMF prepared detailed recommendations along these lines on the occasion of the Finance Ministers and Central Bank Governors ' Meetings in July 2016,IMF prepare detailed recommendation line occasion Finance Ministers Central Bank Governors meeting July
205,0.0,0.0,"In Brazil , an appropriate macroeconomic policy mix and restored",Brazil appropriate macroeconomic policy mix restore
206,0.0,0.0,"as is more common , authorities will have to react faster and more strongly .",be common authority will have react faster
