,sentence,monetary_topic,sentence_root,select,temp_score,dic_score_0,dic_score_1,dic_score_2,dic_score_3,dic_score_4,dic_score_5,dic_score_6,dic_score_7,dic_score_8
136,"To ensure transmission of tighter monetary conditions to the real economy , central banks will also need to withdraw excess bank reserves created by their exceptional liquidity provision and unconventional measures",1.0,ensure transmission tighter monetary condition real economy central bank will need withdraw excess bank reserve create exceptional liquidity provision unconventional measure,0.035514469319631314,True,True,True,True,True,False,False,False,False,False
352,Policymakers must remain alert to overheating risks as well as rising domestic financial vulnerabilities,0.0,policymaker must remain alert overheate risk rise domestic financial vulnerability,0.03656109206545488,False,False,False,False,False,False,False,False,False,False
652,and support,0.0,support,0.03850987203222511,False,False,False,False,False,False,False,False,False,False
684,"while managing risks to price stability In advanced economies , monetary policy should remain very accommodative and central banks should stand ready to do more if needed",1.0,manage risk price stability advanced economy monetary policy should remain accommodative central bank should stand ready do more need,0.03893270396543347,True,True,True,True,True,True,True,True,False,False
306,The United Kingdom faces similar challenges :,0.0,United Kingdom face similar challenge,0.04278500639897376,False,False,False,False,False,False,False,False,False,False
506,should inflation expectations unexpectedly rise,0.0,should inflation expectation rise,0.04318886013167689,False,False,False,False,False,False,False,False,False,False
329,"National authorities should commit to provide sufficient national backstops ,",0.0,National authority should commit provide sufficient national backstop,0.04379779652845728,False,False,False,False,False,False,False,False,False,False
209,"Monetary policy can remain accommodative in the major advanced countries , but monetary tightening may be considered in some emerging economies facing risks of overheating",1.0,Monetary policy can remain accommodative major advanced country monetary tightening may be consider emerge economy face risk overheate,0.044166927089683616,True,True,True,True,True,True,True,True,True,True
255,"Current projections are for a limited decline in budget deficits of emerging economies in 2011 and 2012 ,",0.0,current projection be limited decline budget deficit emerge economy,0.04424862608822855,False,False,False,False,False,False,False,False,False,False
788,"Specifically : In the United States , the main challenge is to reach the appropriate speed of monetary policy normalization ,",1.0,United States main challenge be reach appropriate speed monetary policy normalization,0.04425768042670253,True,True,True,True,True,True,True,True,True,False
589,which restricts available policy room,0.0,restrict available policy room,0.0461806525254953,False,False,False,False,False,False,False,False,False,False
294,These monetary policy efforts should be supported by measures to strengthen bank balance sheets and thereby improve monetary policy transmission and credit market conditions,0.0,monetary policy effort should be support measure strengthen bank balance sheet improve monetary policy transmission credit market condition,0.0479615551192446,True,True,True,True,True,True,True,True,False,False
333,National backstops should be used,0.0,National backstop should be use,0.0481847642292772,False,False,False,False,False,False,False,False,False,False
231,"In the United States , monetary policy should continue to remain ,",0.0,United States monetary policy should continue remain,0.04863474818402025,True,True,True,True,True,True,True,True,False,False
105,that policy tightening may be needed in some countries,1.0,policy tightening may be need country,0.048788048404383,True,True,True,True,True,True,True,True,True,True
874,"In emerging economies , monetary policy may need to respond more sensitively to inflation shocks from higher commodity prices due to higher mainly for food prices , less so for energy , less inflation expectations , and economies",1.0,emerge economy monetary policy may need respond more inflation shock higher commodity price due higher food price energy less inflation expectation economy,0.05190370631632124,True,True,True,True,True,True,True,True,True,True
868,"An effective monetary policy communication strategy will remain essential , also in light of differences between market and FOMC expectations about the path of interest rates",0.0,effective monetary policy communication strategy will remain essential light difference market fomc expectation path interest rate,0.052349865481238766,True,True,True,True,True,True,True,False,False,False
218,There is a need to put the global financial system on a more resilient footing,0.0,be need put global financial system resilient footing,0.054085652452791955,False,False,False,False,False,False,False,False,False,False
511,"At a global level , there is a pressing need",0.0,global level be press need,0.05432231327888426,False,False,False,False,False,False,False,False,False,False
408,Some emerging economies should remain watchful of inflationary pressures and should not lower interest rates further,1.0,emerge economy should remain watchful inflationary pressure should lower interest rate,0.05516783034536821,True,True,True,True,True,True,True,True,False,False
603,"The situation is more varied across emerging economies , but monetary",0.0,situation be varied emerge economy monetary,0.055321609560272766,False,False,False,False,False,False,False,False,False,False
544,Emerging economies face both and challenges to support growth,0.0,emerge economy face challenge support growth,0.055650388390548144,False,False,False,False,False,False,False,False,False,False
126,To facilitate rebalanced global growth : advanced economies with large current account deficits should transition towards measures to raise savings,0.0,facilitate rebalanced global growth advanced economy large current account deficit should transition measure raise savings,0.056057414564567476,False,False,False,False,False,False,False,False,False,False
383,major advanced economy central banks have reduced policy interest rates to close to the zero interest floor,0.0,major advanced economy central bank have reduce policy interest rate close interest floor,0.05626854310633611,False,False,False,False,False,False,False,False,False,False
629,"the most important risk from this policy stance in the current low inflationary environment is the potential for liquidity spillovers , particularly to domestic asset markets and emerging economies",0.0,important risk policy stance current low inflationary environment be potential liquidity spillover domestic asset market emerge economy,0.05644553397921814,False,False,False,False,False,False,False,False,False,False
537,advanced economies with large surpluses should prioritize structural reforms in labor and product markets,0.0,advanced economy large surplus should prioritize structural reform labor product market,0.05775204205065387,False,False,False,False,False,False,False,False,False,False
355,"With inflationary expectations well anchored , accommodative monetary policy in major advanced economies remains appropriate for now",1.0,inflationary expectation anchor accommodative monetary policy major advanced economy remain appropriate,0.058477404258863386,True,True,True,True,True,True,True,True,True,False
62,"Monetary policy should remain accommodative in advanced economies ,",1.0,Monetary policy should remain accommodative advanced economy,0.058805208060836556,True,True,True,True,True,True,True,True,False,False
817,Monetary and fiscal policies can help to reduce inflows,0.0,Monetary fiscal policy can help reduce inflow,0.05902661691359945,False,False,False,False,False,False,False,False,False,False
302,"Cyclical weakening calls for monetary policy easing , or less tightening , for those economies",1.0,cyclical weakening call monetary policy easing less tightening economy,0.06013175135024362,False,False,False,False,False,False,False,False,False,False
127,"Episodes of volatile capital flows and exchange rates , along with continuing precautionary reserve accumulation , also suggest the need for further collective efforts to strengthen the IMS",0.0,episode volatile capital flow exchange rate continue precautionary reserve accumulation suggest need further collective effort strengthen IMS,0.06265533296068371,False,False,False,False,False,False,False,False,False,False
838,"A successful resolution of the current crisis will thus require a cohesive , comprehensive , and cooperative package of policies across the",0.0,successful resolution current crisis will require cohesive comprehensive cooperative package policy,0.06667190907664178,False,False,False,False,False,False,False,False,False,False
731,Monetary policy should continue supporting demand given the output gaps and ongoing fiscal consolidation,0.0,Monetary policy should continue support demand give output gap ongoing fiscal consolidation,0.06671463878085981,False,False,False,False,False,False,False,False,False,False
391,More coordination is necessary to avoid fragmentation,0.0,more coordination be necessary avoid fragmentation,0.06708269803230815,False,False,False,False,False,False,False,False,False,False
307,"while monetary policy should stay accommodative for now , it might , however , have to be tightened quickly",1.0,monetary policy should stay accommodative might have be tighten,0.06796013066465811,True,True,True,True,True,True,True,True,False,False
187,while maintaining measures aimed at mitigating the social impact of the crisis,0.0,maintain measure aim mitigate social impact crisis,0.0704167275359936,False,False,False,False,False,False,False,False,False,False
491,"The ECB 's monetary policy should be highly accommodative , consistent with its mandate of ensuring price stability",1.0,ECB monetary policy should be accommodative consistent mandate ensure price stability,0.07194175881578357,True,True,True,True,True,True,True,True,False,False
108,where the credibility of monetary policy is high,0.0,credibility monetary policy be high,0.07226077353659899,False,False,False,False,False,False,False,False,False,False
597,allow for greater exchange rate flexibility,0.0,allow greater exchange rate flexibility,0.07243077485215443,False,False,False,False,False,False,False,False,False,False
85,"In some emerging markets , the task is to avoid overheating and prevent the of financial imbalances",0.0,emerge market task be avoid overheating prevent financial imbalance,0.07427668079485372,False,False,False,False,False,False,False,False,False,False
464,"At the same time , strong prudential oversight and supervision of the financial system is essential to address emerging vulnerabilities in both the bank and financial sector owing to ultra low interest rates",0.0,same time strong prudential oversight supervision financial system be essential address emerge vulnerability bank financial sector owe ultra low interest rate,0.07457641009422489,False,False,False,False,False,False,False,False,False,False
184,These monetary measures need to be supplemented by progress on ` third arrow ' structural reforms,0.0,monetary measure need be supplement progress third arrow structural reform,0.07554175725736112,True,True,True,True,True,False,False,False,False,False
426,"In particular , to ensure that the transmission mechanism for monetary policy remains effective ,",0.0,particular ensure transmission mechanism monetary policy remain effective,0.07749462576389887,True,True,True,True,True,True,False,False,False,False
455,The three requirements for a more resilient recovery are sustained but gradual adjustment,0.0,requirement resilient recovery be sustained gradual adjustment,0.07811187177571743,False,False,False,False,False,False,False,False,False,False
705,"In a majority of advanced countries , output gaps remain negative , weak labor markets threaten to permanently scar especially the young in the workforce , and inflation is low and far off target",0.0,majority advanced country output gap remain negative weak labor market threaten scar young workforce inflation be low target,0.07875891676664659,False,False,False,False,False,False,False,False,False,False
469,"In Japan , accelerating structural reforms is critical to boost confidence and contribute to higher domestic demand and favorable dynamics",0.0,Japan accelerate structural reform be critical boost confidence contribute higher domestic demand favorable dynamics,0.07903791652873071,False,False,False,False,False,False,False,False,False,False
230,"Where public debt is elevated , fiscal space should be through consolidation Brazil , India , Mexico",0.0,public debt be elevated fiscal space should be consolidation Brazil India Mexico,0.07986554144727165,False,False,False,False,False,False,False,False,False,False
630,"Where necessary , fiscal consolidation should remain and support policies",0.0,necessary fiscal consolidation should remain support policy,0.08064023703481649,False,False,False,False,False,False,False,False,False,False
297,This is advisable considering both the relative scales of policy adjustment required and managing risks to both economic and financial recovery,0.0,be advisable consider relative scale policy adjustment require manage risk economic financial recovery,0.0814728816915139,False,False,False,False,False,False,False,False,False,False
650,"Notwithstanding conceptual difficulties in gauging effectiveness ,",0.0,conceptual difficulty gauge effectiveness,0.08318370020687926,False,False,False,False,False,False,False,False,False,False
538,that would bolster domestic demand,0.0,would bolster domestic demand,0.08483723265488496,False,False,False,False,False,False,False,False,False,False
363,"Most emerging economies need to bolster their financial stability frameworks to cope with volatile capital flows , including notably from sharp swings in global risk aversion .",0.0,most emerge economy need bolster financial stability framework cope volatile capital flow include sharp swing global risk aversion,0.08489617288376239,False,False,False,False,False,False,False,False,False,False
795,"In some emerging economies for example , Brazil , emerging Asia , owing to rapidly closing output gaps or concerns about credit quality , monetary accommodation is already being removed or will need be to be removed relatively soon",1.0,emerge economy example Brazil emerge Asia owe close output gap concern credit quality monetary accommodation be be remove will need be be remove,0.08529553911257637,True,True,True,True,True,False,False,False,False,False
713,"than warranted , given the massive purchases by various central banks of government paper since 2008",0.0,warrant give massive purchase various central bank government paper,0.08557842506270386,False,False,False,False,False,False,False,False,False,False
781,"consolidation is appropriate and should be supported by measures for example , in Italy",0.0,consolidation be appropriate should be support measure example Italy,0.08865923999076875,False,False,False,False,False,False,False,False,False,False
642,can continue to be a strong locomotive of global economic and trade growth through structural reforms,0.0,can continue be strong locomotive global economic trade growth structural reform,0.08938252681005299,False,False,False,False,False,False,False,False,False,False
190,that the recovery is expected to remain sluggish going forward,0.0,recovery be expect remain sluggish go,0.08957797934054068,False,False,False,False,False,False,False,False,False,False
459,Room for monetary easing is also more limited,1.0,room monetary easing be limited,0.09029801226512524,False,False,False,False,False,False,False,False,False,False
219,"High unemployment and large output gaps are keeping wages and inflation expectations in the major advanced economies in check , notwithstanding large increases in food and energy prices",0.0,high unemployment large output gap be keep wages inflation expectation major advanced economy check large increase food energy price,0.09274662440045967,False,False,False,False,False,False,False,False,False,False
832,while structural reforms should prioritize measures,0.0,structural reform should prioritize measure,0.09310727300119104,False,False,False,False,False,False,False,False,False,False
562,central banks should continue to explore unconventional measures to stimulate economic activity and improve credit flows,1.0,central bank should continue explore unconventional measure stimulate economic activity improve credit flow,0.09380504984760507,True,True,True,True,True,True,True,True,False,False
394,that reduce duality,0.0,reduce duality,0.0940430347404384,False,False,False,False,False,False,False,False,False,False
532,"Large negative growth surprises in euro area countries should not trigger additional consolidation efforts ,",0.0,large negative growth surprise euro area country should trigger additional consolidation effort,0.09449798719523872,False,False,False,False,False,False,False,False,False,False
98,"In most advanced economies , output gaps are still substantial , inflation is below target , and monetary policy remains",0.0,most advanced economy output gap be substantial inflation be target monetary policy remain,0.09578910155779141,False,False,False,False,False,False,False,False,False,False
640,while continuing to wind down policy lending is important to put gross public debt on a firmly downward path and boost market confidence,0.0,continue wind policy lending be important put gross public debt downward path boost market confidence,0.09603068255378033,False,False,False,False,False,False,False,False,False,False
295,"Further action is needed to recapitalize , restructure , or resolve weak banks and improve the flow of credit to the economy , particularly in Europe",0.0,further action be need recapitalize restructure resolve weak bank improve flow credit economy Europe,0.09609240749090342,False,False,False,False,False,False,False,False,False,False
145,"For instance , streamlining service or product sector regulations in surplus economies for example , in Japan , Korea , and Germany will encourage domestic demand and relative price adjustments",0.0,instance streamline service product sector regulation surplus economy example Japan Korea Germany will encourage domestic demand relative price adjustment,0.09775432974362153,False,False,False,False,False,False,False,False,False,False
224,"More recently however , inflation expectations have reversed , and the euro has strengthened ,",0.0,inflation expectation have reverse euro have strengthen,0.10194246986065947,False,False,False,False,False,False,False,False,False,False
198,"To benefit most from the additional easing , it should be supported with fiscal , structural , and ambitious incomes policies",0.0,benefit additional ease should be support fiscal structural ambitious income policy,0.10291765308835532,False,False,False,False,False,False,False,False,False,False
743,"For most countries , fiscal consolidation should be a top priority , with monetary policy able to adjust more flexibly to achieve a desired level of overall stimulus",0.0,most country fiscal consolidation should be top priority monetary policy able adjust more achieve desire level overall stimulus,0.10368468804448416,True,True,True,True,True,True,True,True,False,False
711,The effectiveness of the easing in Japan would be enhanced by broadening asset purchases to include more equities and corporate bonds and government bonds with longer maturities and by simultaneously adopting broad structural and fiscal reforms to achieve a sustained recovery,0.0,effectiveness ease Japan would be enhance broaden asset purchase include more equity corporate bond government bond longer maturity adopt broad structural fiscal reform achieve sustained recovery,0.10531667152477209,False,False,False,False,False,False,False,False,False,False
863,if left unaddressed,0.0,leave unaddressed,0.10673650856378936,False,False,False,False,False,False,False,False,False,False
690,"In emerging market economies , solid policy frameworks will be crucial",0.0,emerge market economy solid policy framework will be crucial,0.1072849040180649,False,False,False,False,False,False,False,False,False,False
308,if costs run ahead of productivity growth or,0.0,cost run productivity growth,0.10961904366356812,False,False,False,False,False,False,False,False,False,False
82,Policy priorities have taken on more urgency compared to the February Surveillance Note,0.0,Policy priority have take more urgency compare February Surveillance note,0.10993093274713273,False,False,False,False,False,False,False,False,False,False
403,"Looking forward , the appreciation of exchange rates since the first quarter will help support domestic demand , consistent with broader need to rebalance the global economy towards higher consumption in those economies",0.0,look appreciation exchange rate first quarter will help support domestic demand consistent broader need rebalance global economy higher consumption economy,0.11118039648167255,False,False,False,False,False,False,False,False,False,False
404,that had accumulated reserves before the financial crisis,0.0,have accumulate reserve financial crisis,0.11257663836523402,False,False,False,False,False,False,False,False,False,False
751,"Thus , policy tightening will have to continue",0.0,policy tightening will have continue,0.11293780468811476,False,False,False,False,False,False,False,False,False,False
326,"In Japan , the recent fiscal stimulus makes developing a credible fiscal plan",0.0,Japan recent fiscal stimulus make develop credible fiscal plan,0.1138607503926301,False,False,False,False,False,False,False,False,False,False
487,These economies should also consider greater emphasis on fiscal tightening .,0.0,economy should consider greater emphasis fiscal tightening,0.11417055114459318,True,True,True,True,True,True,True,True,False,False
185,"In general , policy responses should be anchored by sound and credible monetary policy frameworks",0.0,general policy response should be anchor sound credible monetary policy framework,0.11840322571657769,True,True,True,True,True,True,True,True,False,False
524,"More specifically : In India , while external vulnerabilities have moderated and inflation has fallen faster than expected , persistently high inflation expectations and large fiscal deficits remain key macroeconomic challenges",0.0,India external vulnerability have moderate inflation have fall faster expect high inflation expectation large fiscal deficit remain key macroeconomic challenge,0.11860149381969265,False,False,False,False,False,False,False,False,False,False
831,"consolidation should be gradual and as as possible ,",0.0,consolidation should be gradual possible,0.1193777571287098,False,False,False,False,False,False,False,False,False,False
467,"The timing , pace , and sequence of exiting from supportive policies will vary by country , depending on how robust the recovery of private demand as well as financial conditions",0.0,timing pace sequence exit supportive policy will vary country depend robust recovery private demand financial condition,0.12210401708990015,False,False,False,False,False,False,False,False,False,False
213,that may impede this rebalancing would need to be addressed,0.0,may impede rebalancing would need be address,0.12231249529973565,False,False,False,False,False,False,False,False,False,False
282,when fiscal and monetary policies can provide support,0.0,fiscal monetary policy can provide support,0.12386978012827554,True,True,False,False,False,False,False,False,False,False
783,"that the ratio of debt to GDP is on a downward path , while supporting the potential of the economy",0.0,ratio debt GDP be downward path support potential economy,0.12457750261450995,False,False,False,False,False,False,False,False,False,False
468,"With multiple interdependent factors holding back growth , policymakers have to work all necessary levers structural policies including to promote financial stability and trade , fiscal policies , and monetary policy",0.0,multiple interdependent factor hold growth policymaker have work necessary lever structural policy include promote financial stability trade fiscal policy monetary policy,0.12777930859036157,False,False,False,False,False,False,False,False,False,False
206,But this must be accompanied by macro prudential measures and enhanced financial supervision,0.0,must be accompany macro prudential measure enhance financial supervision,0.13302483841020207,False,False,False,False,False,False,False,False,False,False
771,"Given falling confidence and activity as well as inflation expectations , monetary policy in advanced economies should remain very accommodative",1.0,give fall confidence activity inflation expectation monetary policy advanced economy should remain accommodative,0.13416493999779044,True,True,True,True,True,True,True,True,False,False
450,the consequences of liquidity squeezes if volatility spikes,0.0,consequence liquidity squeeze volatility spike,0.13425293643476965,False,False,False,False,False,False,False,False,False,False
279,when demand is already strong,0.0,demand be strong,0.13520866291132982,False,False,False,False,False,False,False,False,False,False
823,that address financial stability risks,0.0,address financial stability risk,0.13544574540689047,False,False,False,False,False,False,False,False,False,False
154,"Depending on country needs , comprehensive action will combine structural reforms with demand support , anchored by coherent and policy frameworks",0.0,depend country need comprehensive action will combine structural reform demand support anchor coherent policy framework,0.1371480606064941,False,False,False,False,False,False,False,False,False,False
350,which suggests that inflation pressures would be less subdued than in the advanced economies,0.0,suggest inflation pressure would be subdue advanced economy,0.13890808709577807,False,False,False,False,False,False,False,False,False,False
327,that stabilizes and reduces debt even more urgent,0.0,stabilize reduce debt urgent,0.13952505415043925,False,False,False,False,False,False,False,False,False,False
212,"Notwithstanding recent rate hikes in some emerging economies , real interest rates remain far below precrisis levels and hence too low",1.0,recent rate hike emerge economy real interest rate remain precrisis level low,0.14026969493074548,False,False,False,False,False,False,False,False,False,False
792,"In the United Kingdom , still accommodative monetary policy has been combined with macro prudential tools to contain financial stability risks",0.0,United Kingdom accommodative monetary policy have be combine macro prudential tool contain financial stability risk,0.14115477254807585,False,False,False,False,False,False,False,False,False,False
789,which is made difficult by uncertainties about the cyclical position and monetary transmission,0.0,be make difficult uncertainty cyclical position monetary transmission,0.14122477607325945,False,False,False,False,False,False,False,False,False,False
387,"External and financial vulnerabilities have risen , and could be exacerbated",0.0,external financial vulnerability have rise could be exacerbate,0.1435081093705376,False,False,False,False,False,False,False,False,False,False
481,"This would help reduce the burden on monetary and fiscal policy to support the recovery , and minimize the real consequences of deleveraging",0.0,would help reduce burden monetary fiscal policy support recovery minimize real consequence deleverage,0.14523152249736782,False,False,False,False,False,False,False,False,False,False
552,"Hence , on balance fiscal consolidation should generally take priority , all else given",0.0,balance fiscal consolidation should take priority else give,0.14537031927787336,False,False,False,False,False,False,False,False,False,False
536,Private debt and financial vulnerabilities require attention,0.0,private debt financial vulnerability require attention,0.14576235467419763,False,False,False,False,False,False,False,False,False,False
570,that inflation is set to rise steadily toward the Federal Reserve 's two percent objective,0.0,inflation be set rise Federal Reserve percent objective,0.14906913851229908,False,False,False,False,False,False,False,False,False,False
683,"Central banks have been at the forefront of the policy response to the recent global slowdown , and should continue supporting the recovery ,",0.0,central bank have be forefront policy response recent global slowdown should continue support recovery,0.14938898486870877,False,False,False,False,False,False,False,False,False,False
418,"issuance has returned to pre crisis levels , and higher credit and liquidity risks taken by pension funds and insurance companies",0.0,issuance have return pre crisis level higher credit liquidity risk take pension fund insurance company,0.15074916346925094,False,False,False,False,False,False,False,False,False,False
803,Collective efforts to enhance the global safety net and strengthen the resilience of the International Monetary System IMS should be renewed,0.0,collective effort enhance global safety net strengthen resilience International Monetary System IMS should be renew,0.15164333283509301,False,False,False,False,False,False,False,False,False,False
861,Stricter regulation of nonperforming loans and measures to improve insolvency and foreclosure procedures are a priority in this regard,0.0,stricter regulation nonperforming loan measure improve insolvency foreclosure procedure be priority regard,0.15324192708582274,False,False,False,False,False,False,False,False,False,False
646,"The Fed 's policy should thus remain accommodative , including through its UMP ,",1.0,Fed policy should remain accommodative include ump,0.15348641892352632,True,True,True,True,True,True,True,True,False,False
658,"Accommodative monetary policies remain essential in many advanced economies , given still sizable output gaps",1.0,accommodative monetary policy remain essential many advanced economy give sizable output gap,0.15471359946709062,True,True,True,True,True,True,True,False,False,False
210,"Hence , plans for fiscal consolidation should generally take priority , all else given",0.0,plan fiscal consolidation should take priority else give,0.15526197318690693,False,False,False,False,False,False,False,False,False,False
217,"Also , authorities will need to remain vigilant against the prospect of deteriorating credit quality emerging as a result of the monetary policy easing undertaken so far",0.0,authority will need remain vigilant prospect deteriorate credit quality emerge result monetary policy ease undertake,0.1566941871277765,True,True,True,True,True,False,False,False,False,False
134,"Better central bank communications may help bring down real interest rates and provide added support to demand , including by reassuring markets against premature tightening",0.0,central bank communication may help bring real interest rate provide added support demand include reassure market premature tightening,0.15737288018767637,True,True,True,True,True,True,True,True,True,True
790,"This includes paying interest on excess reserves ,",0.0,include pay interest excess reserve,0.15817576759353214,False,False,False,False,False,False,False,False,False,False
748,This strikes the right balance between demand support and debt reduction,0.0,strike right balance demand support debt reduction,0.15891997539631786,False,False,False,False,False,False,False,False,False,False
499,"an accommodative monetary policy stance ,",0.0,accommodative monetary policy stance,0.16008137849187376,False,False,False,False,False,False,False,False,False,False
360,as underlying inflation is expected to remain very low,0.0,underlie inflation be expect remain low,0.16161425246690142,False,False,False,False,False,False,False,False,False,False
451,"economies , on the other hand , need to implement structural reforms to improve competitiveness ,",0.0,economy other hand need implement structural reform improve competitiveness,0.16352520159020334,False,False,False,False,False,False,False,False,False,False
97,while those with closed output gaps should withdraw fiscal stimulus and calibrate monetary policy to inflation developments,0.0,closed output gap should withdraw fiscal stimulus calibrate monetary policy inflation development,0.16438448957777474,True,True,True,True,True,True,True,True,False,False
697,while economies with external deficits may need to consider tightening macroprudential measures or using capital flow management measures in conjunction with monetary tightening,0.0,economy external deficit may need consider tighten macroprudential measure use capital flow management measure conjunction monetary tightening,0.16823301552378989,True,True,True,True,True,True,True,True,True,True
421,while at the same time having positive spillovers to other euro area economies,0.0,same time have positive spillover other euro area economy,0.16944990115090908,False,False,False,False,False,False,False,False,False,False
712,Progress on fiscal reform would also help quell concerns about political pressure on central banks to keep interest rates too low longer,0.0,Progress fiscal reform would help quell concern political pressure central bank keep interest rate,0.17239430722168625,False,False,False,False,False,False,False,False,False,False
245,which is currently expected around,0.0,be expect,0.17246045744672223,False,False,False,False,False,False,False,False,False,False
128,"More fiscal stimulus in advanced surplus economies with fiscal space , continuing monetary support and fiscal rebalancing in deficit economies , and structural reforms would contribute to external rebalancing",0.0,fiscal stimulus advanced surplus economy fiscal space continue monetary support fiscal rebalancing deficit economy structural reform would contribute external rebalancing,0.17373710190072933,False,False,False,False,False,False,False,False,False,False
204,A strong commitment to fully implement the asset purchase program and adjust the program,0.0,strong commitment implement asset purchase program adjust program,0.1799171507737375,False,False,False,False,False,False,False,False,False,False
