sentence,hirose_san_score,model_score
"Looking forward , the appreciation of exchange rates since the first quarter will help support domestic demand , consistent with broader need to rebalance the global economy towards higher consumption in those economies",0,0
that had accumulated reserves before the financial crisis,0,0
"Thus , policy tightening will have to continue",0,0
"In Japan , the recent fiscal stimulus makes developing a credible fiscal plan",0,0
These economies should also consider greater emphasis on fiscal tightening .,0,1
"In general , policy responses should be anchored by sound and credible monetary policy frameworks",0,1
"More specifically : In India , while external vulnerabilities have moderated and inflation has fallen faster than expected , persistently high inflation expectations and large fiscal deficits remain key macroeconomic challenges",0,0
"consolidation should be gradual and as as possible ,",0,0
"The timing , pace , and sequence of exiting from supportive policies will vary by country , depending on how robust the recovery of private demand as well as financial conditions",0,0
that may impede this rebalancing would need to be addressed,0,0
when fiscal and monetary policies can provide support,0,1
"that the ratio of debt to GDP is on a downward path , while supporting the potential of the economy",0,0
"With multiple interdependent factors holding back growth , policymakers have to work all necessary levers structural policies including to promote financial stability and trade , fiscal policies , and monetary policy",0,0
But this must be accompanied by macro prudential measures and enhanced financial supervision,0,0
"Given falling confidence and activity as well as inflation expectations , monetary policy in advanced economies should remain very accommodative",1,1
the consequences of liquidity squeezes if volatility spikes,0,0
when demand is already strong,0,0
that address financial stability risks,0,0
"Depending on country needs , comprehensive action will combine structural reforms with demand support , anchored by coherent and policy frameworks",0,0
which suggests that inflation pressures would be less subdued than in the advanced economies,0,0
that stabilizes and reduces debt even more urgent,0,0
"Notwithstanding recent rate hikes in some emerging economies , real interest rates remain far below precrisis levels and hence too low",1,0
"In the United Kingdom , still accommodative monetary policy has been combined with macro prudential tools to contain financial stability risks",0,0
which is made difficult by uncertainties about the cyclical position and monetary transmission,0,0
"External and financial vulnerabilities have risen , and could be exacerbated",0,0
"This would help reduce the burden on monetary and fiscal policy to support the recovery , and minimize the real consequences of deleveraging",0,0
"Hence , on balance fiscal consolidation should generally take priority , all else given",0,0
Private debt and financial vulnerabilities require attention,0,0
that inflation is set to rise steadily toward the Federal Reserve 's two percent objective,0,0
"Central banks have been at the forefront of the policy response to the recent global slowdown , and should continue supporting the recovery ,",0,0
"issuance has returned to pre crisis levels , and higher credit and liquidity risks taken by pension funds and insurance companies",0,0
Collective efforts to enhance the global safety net and strengthen the resilience of the International Monetary System IMS should be renewed,0,0
Stricter regulation of nonperforming loans and measures to improve insolvency and foreclosure procedures are a priority in this regard,0,0
"The Fed 's policy should thus remain accommodative , including through its UMP ,",1,1
"Accommodative monetary policies remain essential in many advanced economies , given still sizable output gaps",1,1
"Hence , plans for fiscal consolidation should generally take priority , all else given",0,0
"Also , authorities will need to remain vigilant against the prospect of deteriorating credit quality emerging as a result of the monetary policy easing undertaken so far",0,1
"Better central bank communications may help bring down real interest rates and provide added support to demand , including by reassuring markets against premature tightening",0,1
"This includes paying interest on excess reserves ,",0,0
This strikes the right balance between demand support and debt reduction,0,0
"an accommodative monetary policy stance ,",0,0
as underlying inflation is expected to remain very low,0,0
"economies , on the other hand , need to implement structural reforms to improve competitiveness ,",0,0
while those with closed output gaps should withdraw fiscal stimulus and calibrate monetary policy to inflation developments,0,1
while economies with external deficits may need to consider tightening macroprudential measures or using capital flow management measures in conjunction with monetary tightening,0,1
while at the same time having positive spillovers to other euro area economies,0,0
Progress on fiscal reform would also help quell concerns about political pressure on central banks to keep interest rates too low longer,0,0
which is currently expected around,0,0
"More fiscal stimulus in advanced surplus economies with fiscal space , continuing monetary support and fiscal rebalancing in deficit economies , and structural reforms would contribute to external rebalancing",0,0
A strong commitment to fully implement the asset purchase program and adjust the program,0,0
"While monetary policy should continue supporting the recovery , challenges are increasingly different across countries",0,1
"Strengthening transparency , especially in communicating policy objectives and enhancing data quality , will be key to minimize spillovers and financial volatility",0,0
that aided the functioning of repo markets,0,0
This will take pressure off monetary and prudential policies and create fiscal space to respond to future shocks,0,0
policy frameworks are imperative for a turnaround in confidence and investment,0,0
"until the recovery is well established , while containing potentially adverse side effects",0,0
"Exchange rate flexibility , alongside credible macroeconomic policies and frameworks , has also proven to be an essential tool in coping with volatile capital flows",0,0
In some advanced economies that have fiscal space and are operating at or close to capacity ,0,0
"as signs of an economic turnaround in the global economy become more prevalent , markets have begun to express their concern about the future ramifications of unprecedented policy actions and massive public intervention",0,0
"Moving expeditiously to address the legacies of the crisis including bank funding concerns , the resolution of weak banks , and the restructuring of balance sheets for distressed households as well as to alleviate",0,0
"Indeed , policy rates may need to rise",1,0
"The Federal Reserve , Bank of England , and Bank of Japan should stand ready to continue their deployment of unconventional measures and take further steps",1,1
policymakers will need to pay increasing attention to building inflationary pressure,0,0
Efforts to increase revenue mobilization and improve expenditure prioritization should continue,0,0
The reduction in inflation toward the 4 . percent target by 2017 will require a tight monetary policy stance,0,0
"The scale of fiscal adjustment required is large to ensure debt sustainability and to restore room for policy maneuver , particularly in advanced economies",0,0
"In such economies which include Brazil , India and Turkey there is room for further consolidation",0,0
"In China , the monetary expansion has quickly fed through to the domestic economy and there may be a need to tighten credit conditions in the face of sharply rising credit growth and the potential for overinvestment",1,1
fiscal policy should ensure,0,0
where fiscal space is limited and monetary policy operates close to the effective lower bound,1,1
"Where monetary policy operates near or at the lower bound , fiscal policy has an important role to play",0,0
"Fiscal consolidation should proceed gradually , anchored in credible plans ,",0,0
job seekers find work faster or,0,0
"In Japan , incomes policies and structural reforms",0,0
"where needs have been identified , there is slack in the economy , and investment processes are relatively efficient for example , Germany and the United States",0,0
A sound execution of the AQR and stress tests will be a key step toward reducing uncertainty about the health of banks and enabling balance sheet repair,0,0
"who were hurt severely by the housing bust , have made limited progress in repairing their balance sheets",0,0
"While the recent cabinet decision on the fiscal and growth strategies is welcome , more concrete and decisive",0,0
"rate flexibility can usefully cushion the impact of adverse external shocks , provided",0,0
"However , given the unevenness of the recovery across economies , challenges faced by central banks are different",0,0
The right policies will also help to reduce external imbalances,0,0
where the transmission mechanism is impaired,0,0
"Economies with external surpluses should provide room for monetary tightening by allowing currencies to appreciate ,",0,1
"However , where financing conditions are easing and exchange rates have appreciated",0,0
"ample liquidity and easy monetary policy , mainly in advanced economies",0,0
"economies should implement policies to reduce barriers to foreign competition and domestic investments in certain sectors , especially services , and to increase labor force participation of the elderly",0,0
Policymakers should stand ready to act more aggressively,0,0
would require resolution of the household debt overhang,0,0
where fiscal space exists,0,0
"Importantly , not all countries should adjust in the same way , to the same extent , or at the same time ,",0,0
Macroeconomic policies are most effective,0,0
"if done properly , would help resolve their internal imbalances",0,0
Monetary policy has remained highly accommodative in many economies,0,0
to facilitate relative price adjustments should take priority .,0,0
financial sector restructuring and reform should thus be top priorities,0,0
The recent Council agreement on the SRM is a step forward,0,0
the consequences of liquidity squeezes if volatility spikes,0,0
"while the nascent recovery is still fragile , monetary authorities will need to communicate clearly the objectives and the tools of their unconventional policies , as well as their exit strategies",0,1
if needed,0,0
"While macroeconomic policies are but one determinant of the current account , they have contributed to maintain excess imbalances ,",0,0
and policy responses will need to be country specific,0,0
"However , the timing of the increase in policy rates may have to be adjusted in function of developments on the inflation and unemployment fronts",1,1
where currencies are undervalued,0,0
advanced and emerging economies can start tightening policies now,1,1
Many exporters for which oil receipts typically contribute to a sizable share of fiscal revenues are experiencing large shocks in proportion to their economies,0,0
"In economies where adjustment is unavoidable ,",0,0
The strategy for fiscal consolidation should be outlined and communicated now,0,0
The recent forward guidance provided by the ECB to anchor interest rate expectations was a welcome step,0,0
Joint efforts by deficit and surplus economies to rebalance global demand would reduce excess external imbalances while sustaining growth,0,0
"However , fiscal policies need to urgently deliver measures",0,0
"although capital flow reversals , external financing needs , and financial stability risks might constrain scope for action in some countries",0,0
that inflation could rise rapidly,0,0
"although a number of countries are still tightening ,",0,0
that provide demand support,0,0
Where fiscal space is a constraint for example because of particularly high levels of public debt or other concerns,0,0
"In Japan , the introduction of negative deposit rates by the BoJ underscores its commitment to maintain inflation momentum",0,0
that adjustment is a key priority,0,0
the Fund needs to play an effective role in overseeing the IMS .,0,0
"allowing exchange rate depreciation will be a critical buffer to cushion the impact of the shock for example , Russia ,",0,0
There are incipient signs of rising exposure to both interest rate and credit risk in regional banks,0,0
efforts should be directed at devising targeted schemes,0,0
The composition of central bank assets will in part determine the approach to be taken .,1,0
that lower barriers for new firms to enter product and services markets,0,0
Unwinding should be tractable and central,0,0
"If downside risks to global growth materialize , threatening to slow growth appreciably more than expected , monetary policy should be the first line of defense ,",0,1
"In advanced economies , accommodative monetary policy remains essential",1,1
"Greater exchange rate appreciation would dampen inflationary pressures , including from world commodity prices , introduce more risk for capital inflows , and facilitate external rebalancing in surplus economies",0,0
"that eliminate distortions to domestic demand in key emerging economies would strengthen prospects for external demand rebalancing , supporting a more robust recovery in both emerging and advanced economies",0,0
while the establishment of a common backstop ESM direct recapitalization remains crucial to sever links in countries,0,0
Central banks must decide,0,0
when capital inflows are driven by fiscal expansion thus reducing currency appreciation pressures,0,0
The appropriate course for policy to balance fostering growth and managing vulnerabilities will be,0,0
"Fiscal consolidation should continue , underpinned by comprehensive tax reform and further reductions in subsidies",0,0
Emerging economies need to rebuild policy space and,0,0
should inflation expectations worsen .,0,0
as low interest rates squeeze interest margins,0,0
"This requires a approach combining all available policy tools and strong policy frameworks ,",0,0
that raise productivity are vital to tackle risks coming from continuing lackluster growth and the overburdening of monetary policy,0,0
"Importantly , countries that do implement strong recapitalization programs should not be left to fall into a downward spiral for lack of adequate external support",0,0
Key elements are Monetary,0,0
Central banks should also carefully monitor unintended consequences,0,0
"In the United States , monetary policy should continue to gradually normalize and remain data dependent , and plans for the Fed 's balance sheet should be",1,1
The boost to demand from lower oil prices is thus welcome,0,0
Recent IMF research shows,0,0
"In many advanced economies , insufficient progress with repair and reform is weighing on credit growth , and slowing the normalization of monetary and fiscal policies , with adverse spillovers on emerging economies , through large and volatile capital flows",0,0
This would help pass through of monetary accommodation,0,0
"Monetary policy should have some leeway to ease in emerging Asia , especially in 2014 ,",1,1
"which would both help catalyze a sustained private recovery in these economies , allow for interest rates increases and limit spillovers to emerging economies .",0,0
The problems facing the global economy are complex and joint action can help,0,0
that could set back the healing process and the incipient recovery,0,0
"However , the unbalanced recovery across economies suggests",0,0
"A key to addressing this challenge is to expeditiously reform and repair financial sectors in the major advanced economies ,",0,0
policy in the major advanced economies should remain accommodative,0,1
"Finally , to the extent that fiscal and monetary policies are adjusted to make growth more balanced and reduce vulnerabilities, they will also decrease the risk of crisis , and thereby , make growth more lasting and sustainable .",0,0
can reduce the need for monetary policy response to financial stability concerns,0,1
Fears of high inflation appear overstated central banks have the tools needed to mop up liquidity and tighten their policy stance,0,1
"the paramount objectives for monetary , fiscal , and financial sector policies are continued support for the recovery , fully restoring the financial sector to health , and limiting downside risks",0,0
"This should be anchored by credible plans for debt reduction notably , for the United States and Japan",0,0
further fiscal efforts are needed to stabilize the ratio in the,0,0
"monetary policy accommodation is thus the right policy from a domestic perspective , considering also",1,0
"However , the impact of policy rates reductions on credit conditions , including notably on borrowing rates , has been limited by financial disruptions",0,0
"In many emerging economies , macroeconomic policy space to support growth is more limited ,",0,0
"it will raise productivity and the growth potential in the future , enhancing sustainability",0,0
"In sequencing an exit from policies , fiscal policy should generally take priority",0,0
"that forceful monetary easing , alongside enhanced credit and liquidity support , has helped ease financial stress Figure 3",0,0
"where stabilizers are small , temporary support such as extended unemployment benefits or wage subsidies",0,0
"Moreover , QE should be supported by a more balanced policy mix comprising fiscal support , balance sheet repair , and structural reforms",0,0
"In the euro area , the ECB 's expanded asset purchase program has supported confidence and eased financial conditions , but inflation remains low",0,0
although this line is becoming increasingly thin in most advanced economies,0,0
"To safeguard the current growth momentum , the macroeconomic policy mix should be adjusted to changing circumstances",0,0
"More policy ambition and cooperation are needed to achieve the 's shared objectives of strong , sustainable , and balanced growth",0,0
Financial policies need to secure stability and support recovery,0,0
Some emerging economies should consider prudential actions to limit excessive credit creation,0,0
A quicker transition period for the mutualization of national contributions to the single resolution fund and a clearer decision on a common backstop and its timing are required to adequately break links,0,1
"Authorities should aim to protect the poor and vulnerable groups through targeted social safety nets , but avoid policies",0,0
"An early agreement on credible deficit reduction would provide the space to fund investments in infrastructure , to raise productivity and innovation , and enhance workers ' skills",0,0
that further exchange rate appreciation would not be appropriate,0,0
"However , the global financial safety net remains underused during periods of turbulence , with uneven access and a multilayered structure for example , regional financing arrangements , bilateral swap lines , and Fund financing",0,0
"Given excess capacity , recent signs",0,0
that undermine competitiveness,0,0
"The policy response would be to lower interest rates , thus reducing incentives for inflows , and to tighten fiscal policy particularly",1,0
There is evidence,0,0
where debt dynamics are a concern and fiscal space is limited,0,0
as there is clear evidence of recovery,0,0
should inflation expectations worsen,0,0
"Reestablishing confidence and resolving the current crisis requires a cohesive , comprehensive , and cooperative package of policies across the",0,0
Authorities can afford to be more accommodative in those economies,1,1
"that withdrawing policy stimulus too early can be very costly ,",0,0
"where output gaps are negative can accelerate the benefits of certain structural reforms , such as measures",0,0
"Nevertheless , working towards meeting the official primary surplus target with sustainable policies",0,0
that benefits Japan and other economies,0,0
"A more expansionary fiscal stance in Germany would not only allow a increase in public investment and raise potential output ,",0,0
constrained by the zero lower bound,0,0
which could put downward pressure on prices,0,0
although they remain significantly elevated relative to levels prior to the crisis,0,0
"Where inflation is still well below targets , monetary policy should remain expansionary , using all available instruments for example , in Japan and the euro area",1,1
"To unwind policies in an orderly manner and reassure markets , policy makers will need to develop and communicate",0,0
"which is reaching full employment should continue to be gradual and , alongside well communicated plans for the Federal Reserve 's balance sheet",0,0
"that there is space , a supportive fiscal stance can help offset adverse effects of structural reforms on aggregate demand , bringing forward the growth benefits",0,0
A number of emerging market economies are already operating at or above capacity,0,0
Monetary authorities have instruments to maintain control over interest rate policy,0,0
tools should be the first line of defense against financial stability risks,0,0
"Completing the reform of financial regulation and deploying tools as a first line of defense ,",0,0
Prospects for an uneven recovery points to an asynchronous unwinding of monetary stimulus in advanced economies,0,0
if there is not sufficient improvement in inflation consistent with meeting price stability objectives,0,0
which will need to be mopped up,0,0
"First , where fiscal policy directly supports infrastructure investment for example , Germany , ",0,0
This can be achieved,0,0
"said , forceful monetary easing , including unconventional measures , large scale provision of liquidity , and the support for and resolution of systemically important institutions have reduced extreme stress in financial conditions",0,0
while other major central banks have indicated,0,0
"Specifically : On the monetary front , economies",0,0
"Under some circumstances , reserve accumulation , restrictions on capital inflows and measures could also form part of the policy mix",0,0
that still have fiscal buffers should use them to smooth the adjustment to lower commodity prices,0,1
when implementing reforms,0,0
"Accommodative monetary policies remain essential in many advanced economies , given still sizable output gaps and low inflation",1,1
if macroprudential tools prove insufficient to deal with financial stability risks with due consideration to the tradeoffs involved the real economy,0,0
that rely heavily on private external financing will need to proactively further adjust policies,0,0
lest their efforts become self-defeating,0,0
"fiscal deficits increase temporarily and draw on these funds to allow for a more gradual adjustment of public spending for example , Saudi Arabia",0,0
"Like fiscal policy , the pace of financial reform to safeguard stability such as higher capital and liquidity buffers should be carefully calibrated to support bank lending and real growth ,",0,0
"In the euro area , improving the effectiveness of monetary policy will require the broad range of policies discussed above to reverse financial fragmentation",0,1
In response to negative growth surprises in the euro area flexibility within the fiscal governance framework could and should be used,0,0
A number of distortions keep saving high in key surplus countries,0,0
"Ultimately , in some European cases , this may well entail the use of pooled euro area resources , including EFSF funds",0,0
"Even as vulnerabilities are addressed , emerging economies",0,0
A combination of structural reforms and more expansionary demand policies in surplus economies can also help reduce global external imbalances,0,0
"Nonetheless , they still remain wider than their levels , partly signifying the limits of central bank liquidity operations",0,0
"The crisis compelled central banks to employ a wide range of measures , in many cases unprecedented",0,0
as this helps,0,0
"Further actions , including structural reforms , and cooperation are needed across the membership to lay the foundations for stronger and more balanced growth",0,0
Further advancing the process of financial restructuring and balance sheet repair including bank recapitalization remains a priority to achieve a healthy financial system,0,0
"At the same time , however , policymakers should be mindful of the impact of such action on other economies , notably through large and volatile capital flows",0,0
that the effects of currency depreciations on balance sheets and domestic inflation rates are contained,0,0
while unviable business models need to be unwound,0,0
but they need to be accompanied by ambitious growth and fiscal strategies to reduce risks and ensure sustained recovery,0,0
"This task requires a faster recognition of assets , stronger bank capital buffers , and better corporate debt restructuring mechanisms",0,0
Financial sector reforms also need to be urgently completed,0,0
and more efforts to better anchor expectations may be required,0,0
in some cases address domestic imbalances and vulnerabilities to prepare for tighter financial conditions,0,0
"Nevertheless , there is a concern about diminishing effectiveness of unconventional actions , their side effects for example , volatile capital flows , and potential difficulties related to unwinding them",0,1
the normalization is expected to be gradual,0,0
"In particular : Monetary policy responses , more generally , to external pressures will depend on country conditions and frameworks",0,0
Those commodity exporters,0,0
"In this context , the new round of stress test should be transparent , sufficiently stringent , and accompanied by contingent plans for quick recapitalization or resolution of banks to reassure markets",0,0
which anchor fiscal and monetary policy in the long run while allowing for effective demand management in the short run,1,1
"Current differences in monetary policy conditions could give rise to larger capital inflows to emerging market countries , accentuating the need for policies to encourage rebalancing the global sources of demand",0,1
once major political uncertainties are resolved,0,0
The matter is more pressing in Europe due to sovereign contagion risks,0,0
while financial sector support has been extended in some European countries,0,0
"Following substantial easing in the first half of 2009 , several emerging economies including in Brazil , Indonesia , and South Africa have paused in their monetary easing cycles on account of inflation concerns",0,0
"In advanced economies ,",0,0
where possible to avoid triggering additional consolidation efforts,0,0
"Broadly speaking , monetary policy accommodation should continue to play its supportive role , given low inflation and still large output gaps , and fiscal adjustment should be measured , while being anchored by a credible roadmap for sustainability",1,1
"In Japan , further monetary easing may also be needed to reach the 1 percent inflation goal",1,1
"where strong credit expansion continues , or",0,0
"if there are signs of rising inflation or incipient financial vulnerabilities , including credit booms",0,0
Monetary policy frameworks will also need to pay renewed attention to the role of asset prices and financial stability in the pursuit of their core mandates,0,0
"In Japan , a commitment to fiscal consolidation centered on a path of gradual consumption tax hikes and a strengthening of fiscal institutions would create policy space to maintain growth momentum",0,0
as it could amplify exchange rate pressures,0,0
"as economies recover and output gaps are reduced , but the path should take account of the withdrawal of fiscal support",0,0
where their credibility has come into question,0,0
Conventional monetary tightening will need to be accompanied by steps to offset the impact of large central bank balance sheets,1,1
Monetary and fiscal policies can be used to reduce inflows,0,0
"From an external perspective , however , there is concern",0,0
"The adverse feedback loops between low growth , deteriorating public finances , and banking sector stress could lead to a prolong period of asset and consumer price deflation",0,0
Recovery in advanced economies will need readily available credit to allow easy monetary conditions to pass through,0,1
which will boost credit and thus reduce its effectiveness,0,0
"which have fiscal space should support growth with all available tools ,",0,0
where a strong credit expansion continues or,0,0
that has increased exposure to external funding risks in others,0,0
This will require making tangible progress toward a genuine economic monetary union starting with a banking union with greater fiscal integration,0,1
"Also , the ECB should continue to provide liquidity and stay fully engaged in securities purchases to help improve the prospects for financial stability",1,1
while both political considerations and implementation lags may limit the scope for fiscal consolidation .,0,0
"In Brazil , policymakers should stand ready to start unwinding monetary stimulus",1,1
Fiscal tightening should also be the priority,0,1
"Where inflation targeting frameworks are already established , improving the transparency of instruments and policy objectives can provide further assurance",0,0
how to withdraw excess liquidity,0,0
"In countries with credit growth , supervisory and macro prudential measures should be deployed to curb sectoral excesses .",0,0
that liquidity is prematurely withdrawn,0,0
"There is scope for better cooperation on withdrawal of UMP , especially through wider central bank discussions of exit plans",0,0
which in some cases may require changes to regulatory and legal structures is essential to limit financial risks and reduce the risk of monetary policy tightening not warranted by the cyclical position,0,1
that can be a source of regulatory uncertainty,0,0
"In Japan , monetary policy has helped lift inflation and inflation expectations",0,0
"Given the deterioration in the inflation and economic outlook and risks of stagnation , the need for a comprehensive strategy to boost growth is particularly relevant in the euro area and Japan",0,0
"This is becoming increasingly relevant for many emerging economies , notably in Asia ,",0,0
"In the United States , Federal Reserve policy should remain data dependent",0,0
"While lower oil prices should boost domestic demand , accommodative monetary conditions remain essential in most advanced economies , given still sizable output gaps",0,1
It will create greater scope to pursue supportive monetary policy without triggering concern about central bank independence or a resurgence of inflation,0,0
as it could attract capital inflows,0,0
"At the same time , progress on other fronts is crucial",0,0
Policies need to accelerate the rebalancing of demand from public to private sources in advanced economies and from external deficit to surplus economies,0,0
"where financial stability remains fragile , or key markets are not yet functioning , central banks may need to maintain measures or possibly introduce new targeted ones , even within the context of an overall tightening of the monetary policy stance",0,1
the proposed adjustments to the policy mix would also contribute to more sustainable growth,0,0
"Additionally , to sustain recovery in these countries some of the consolidation planned for 2011 might also have to be temporarily postponed",0,0
