,sentence,subsentences
17,"In Japan, the Bank of Japan should stand ready for further easing, preferably by extending purchases under its quantitative and qualitative monetary easing program to longer-maturity assets","In Japan , the Bank of Japan should stand ready for further easing , preferably by extending purchases under its quantitative and qualitative monetary easing program to longer-maturity assets "
18,Implementing the proposed adjustments to the policy mix would also contribute to more sustainable growth,Implementing the proposed adjustments to the policy mix would also contribute to more sustainable growth 
19,"At the same time, policymakers can raise confidence by explaining to citizens the benefits of reform and, where necessary, providing effective support to those who disproportionately shoulder the burden of adjustment","At the same time , policymakers can raise confidence by explaining to citizens the benefits of reform and , where necessary , providing effective support to those who disproportionately shoulder the burden of adjustment "
20,"While lower oil prices should boost domestic demand, accommodative monetary conditions remain essential in most advanced economies, given still sizable output gaps","While lower oil prices should boost domestic demand , accommodative monetary conditions remain essential in most advanced economies , given still sizable output gaps "
21,"Specifically: On the monetary front, economies where inflation is still relatively high, or where policy credibility has come into question, need to continue tightening monetary policy in the context of strengthened policy frameworks (India and Turkey).","Specifically : On the monetary front , economies where inflation is still relatively high , or where policy credibility has come into question , need to continue tightening monetary policy in the context of strengthened policy frameworks India and Turkey ."
22,"Recent IMF research shows that structural reforms are most effective when they directly address an economy’s known structural policy gaps and take account of its level of development, its position in the business cycle, and the available macroeconomic policy space","Recent IMF research shows that structural reforms are most effective when they directly address an economy 's known structural policy gaps and take account of its level of development , its position in the business cycle , and the available macroeconomic policy space "
23,The financial sector remains the Achilles’ heel of recovery prospects for private demand,The financial sector remains the Achilles ' heel of recovery prospects for private demand 
24,Swift implementation—and an expansion—of the EU scheme to provide public and private investment would raise growth in the short and medium-term and have positive spillovers in the region,Swift implementation and an expansion of the EU scheme to provide public and private investment would raise growth in the short and medium-term and have positive spillovers in the region 
25,"In the United States, while underlying growth has been relatively robust, there is still a long way to go on the labor market, as unemployment remains high and labor force participation below trends","In the United States , while underlying growth has been relatively robust , there is still a long way to go on the labor market , as unemployment remains high and labor force participation below trends "
26,The main challenge for policymakers is to act forcefully to address downside risks with strong policy implementation,The main challenge for policymakers is to act forcefully to address downside risks with strong policy implementation 
27,"Central banks must decide what more, if anything, to do and prepare for an eventual exit from unconventional monetary policies","Central banks must decide what more , if anything , to do and prepare for an eventual exit from unconventional monetary policies "
28,International cooperation is needed to achieve more orderly resolution across borders and consistent regulatory frameworks and supervision,International cooperation is needed to achieve more orderly resolution across borders and consistent regulatory frameworks and supervision 
29,"In economies facing high inflationary pressures, reducing interest rates is not an attractive option, while both political considerations and implementation lags may limit the scope for fiscal consolidation.","In economies facing high inflationary pressures , reducing interest rates is not an attractive option , while both political considerations and implementation lags may limit the scope for fiscal consolidation ."
30,"Monetary policies can be eased in economies with diminishing inflationary pressure but weaker fiscal fundamentals (for example, various economies in Latin America)","Monetary policies can be eased in economies with diminishing inflationary pressure but weaker fiscal fundamentals for example , various economies in Latin America "
31,"However, where shares of food and energy in consumption are high and policy credibility is low, as is more common, authorities will have to react faster and more strongly.","However , where shares of food and energy in consumption are high and policy credibility is low , as is more common , authorities will have to react faster and more strongly ."
32,Public debt is above pre- crisis-levels in most countries and structural issues and lower potential output point to lower fiscal space than previously estimated,Public debt is above pre - crisis-levels in most countries and structural issues and lower potential output point to lower fiscal space than previously estimated 
33,Deficit-reducing and debt management measures should commence as soon as private demand begins recovering,Deficit-reducing and debt management measures should commence as soon as private demand begins recovering 
34,"However, the timing of the increase in policy rates may have to be adjusted in function of developments on the inflation and unemployment fronts","However , the timing of the increase in policy rates may have to be adjusted in function of developments on the inflation and unemployment fronts "
35,"This requires a broad-based approach combining all available policy tools and strong policy frameworks, which anchor fiscal and monetary policy in the long run while allowing for effective demand management in the short run","This requires a broad-based approach combining all available policy tools and strong policy frameworks , which anchor fiscal and monetary policy in the long run while allowing for effective demand management in the short run "
36,Advanced economies should strengthen regulation and supervision of financial activities outside the banking system which are expanding rapidly,Advanced economies should strengthen regulation and supervision of financial activities outside the banking system which are expanding rapidly 
37,Exploiting synergies between short-term support and structural reforms is even more crucial where fiscal space is limited and monetary policy operates close to the effective lower bound,Exploiting synergies between short-term support and structural reforms is even more crucial where fiscal space is limited and monetary policy operates close to the effective lower bound 
38,The composition of central bank assets will in part determine the approach to be taken.,The composition of central bank assets will in part determine the approach to be taken .
39,"In this context, the recent formal adoption of a symmetrical inflation target by India should provide a robust institutional foundation for maintaining price stability","In this context , the recent formal adoption of a symmetrical inflation target by India should provide a robust institutional foundation for maintaining price stability "
40,"Monetary policy should remain accommodative in advanced economies, as output gaps are large and fiscal consolidation will continue","Monetary policy should remain accommodative in advanced economies , as output gaps are large"
41,"Monetary policy should remain accommodative in advanced economies, as output gaps are large and fiscal consolidation will continue",fiscal consolidation will continue 
42,There is an urgent need for structural reforms to raise potential output in both advanced and emerging economies,There is an urgent need for structural reforms to raise potential output in both advanced and emerging economies 
43,In such cases the combination of temporary macroeconomic support—well-anchored by credible medium-term policy frameworks—with growth-enhancing structural reforms can deliver more than the sum of its parts,In such cases the combination of temporary macroeconomic support well-anchored by credible medium-term policy frameworks with growth-enhancing structural reforms can deliver more than the sum of its parts 
44,"Where interest rates are at or near their effective lower bounds, fiscal policy must play a larger role","Where interest rates are at or near their effective lower bounds , fiscal policy must play a larger role "
45,"Some countries (for example, Argentina and India) should remain watchful of inflationary pressures and cannot afford to lower interest rates further","Some countries for example , Argentina and India should remain watchful of inflationary pressures and can not afford to lower interest rates further "
46,"However, the impact of policy rates reductions on credit conditions, including notably on borrowing rates, has been limited by financial disruptions that have weakened the monetary transmission mechanism, with banks continuing to tighten lending standards, albeit at a slower pace more recently","However , the impact of policy rates reductions on credit conditions , including notably on borrowing rates , has been limited by financial disruptions that have weakened the monetary transmission mechanism , with banks continuing to tighten lending standards , albeit at a slower pace more recently "
47,Many exporters for which oil receipts typically contribute to a sizable share of fiscal revenues are experiencing large shocks in proportion to their economies,Many exporters for which oil receipts typically contribute to a sizable share of fiscal revenues are experiencing large shocks in proportion to their economies 
48,"However, given the unevenness of the recovery across economies, challenges faced by central banks are different","However , given the unevenness of the recovery across economies , challenges faced by central banks are different "
49,"In Japan, the implementation of the Bank of Japan’s (BoJ) October announcement of expanded Quantitative and Qualitative Monetary Easing (QQE) framework by accelerating purchases of JGBs (and extending their maturity) and tripling the purchases of private assets remains critical to support domestic demand","In Japan , the implementation of the Bank of Japan 's BoJ October announcement of expanded Quantitative and Qualitative Monetary Easing QQE framework by accelerating purchases of JGBs and extending their maturity and tripling the purchases of private assets remains critical to support domestic demand "
50,"In Japan, the introduction of negative deposit rates by the BoJ underscores its commitment to maintain inflation momentum","In Japan , the introduction of negative deposit rates by the BoJ underscores its commitment to maintain inflation momentum "
51,"It is important, however, to consider macroeconomic conditions when implementing reforms","It is important , however , to consider macroeconomic conditions when implementing reforms "
52,"Ultimately, in some European cases, this may well entail the use of pooled euro area resources, including EFSF funds","Ultimately , in some European cases , this may well entail the use of pooled euro area resources , including EFSF funds "
53,"The adverse feedback loops between low growth, deteriorating public finances, and banking sector stress could lead to a prolong period of asset and consumer price deflation","The adverse feedback loops between low growth , deteriorating public finances , and banking sector stress could lead to a prolong period of asset and consumer price deflation "
54,"In economies where monetary policy is still very accommodative and inflation above target, some monetary policy tightening may be needed to bring inflation back to target","In economies where monetary policy is still very accommodative and inflation above target , some monetary policy tightening may be needed to bring inflation back to target "
55,"The recent large expansion of central bank balance sheets is mirrored in the growth of bank reserves, which will need to be mopped up as interest rates are raised to ensure the transmission of policy rate changes to the real economy","The recent large expansion of central bank balance sheets is mirrored in the growth of bank reserves , which will need to be mopped up as interest rates are raised to ensure the transmission of policy rate changes to the real economy "
56,Policy priorities have taken on more urgency compared to the February G-20 Surveillance Note,Policy priorities have taken on more urgency compared to the February G-20 Surveillance Note 
57,"Finally, to the extent that fiscal and monetary policies are adjusted to make growth more balanced and reduce vulnerabilities, they will also decrease the risk of crisis, and thereby, make growth more lasting and sustainable.","Finally , to the extent that fiscal and monetary policies are adjusted to make growth more balanced and reduce vulnerabilities , they will also decrease the risk of crisis , and thereby , make growth more lasting and sustainable ."
58,The quality of fiscal consolidation in India should be improved through a comprehensive tax reform (such as introducing the goods and services tax and improving tax administration) and measures to further reduce subsidies,The quality of fiscal consolidation in India should be improved through a comprehensive tax reform such as introducing the goods and services tax and improving tax administration and measures to further reduce subsidies 
59,"In some emerging markets, the task is to avoid overheating and prevent the build-up of financial imbalances","In some emerging markets , the task is to avoid overheating and prevent the build-up of financial imbalances "
60,It will create greater scope to pursue supportive monetary policy without triggering concern about central bank independence or a resurgence of inflation,It will create greater scope to pursue supportive monetary policy without triggering concern about central bank independence or a resurgence of inflation 
61,"However, where financing conditions are easing and exchange rates have appreciated, there may be scope for with limited policy easing to support a resumption of growth G-20 central banks will need eventually to unwind their extraordinary liquidity support and withdraw conventional and unconventional monetary accommodation","However , where financing conditions are easing and exchange rates have appreciated , there may be scope for with limited policy easing to support a resumption of growth G-20 central banks will need eventually to unwind their extraordinary liquidity support and withdraw conventional and unconventional monetary accommodation "
62,"Unwinding should be tractable and central banks have the tools needed to tighten policy, but there will be challenges","Unwinding should be tractable and central banks have the tools needed to tighten policy ,"
63,"Unwinding should be tractable and central banks have the tools needed to tighten policy, but there will be challenges",there will be challenges 
64,"However, the global financial safety net remains underused during periods of turbulence, with uneven access and a multilayered structure (for example, regional financing arrangements, bilateral swap lines, and Fund financing)","However , the global financial safety net remains underused during periods of turbulence , with uneven access and a multilayered structure for example , regional financing arrangements , bilateral swap lines , and Fund financing "
65,Accommodative monetary policy does not have such automatic consequences and can be reversed quickly,Accommodative monetary policy does not have such automatic consequences and can be reversed quickly 
66,"The new government should complement the proposed cap on federal noninterest spending with tax measures and address spending rigidities and unsustainable mandates, including in the pension system","The new government should complement the proposed cap on federal noninterest spending with tax measures and address spending rigidities and unsustainable mandates , including in the pension system "
67,"Following the IMF’s Article IV policy advice, countries with negative output gaps which have fiscal space should support growth with all available tools, while those with closed output gaps should withdraw short-term fiscal stimulus and calibrate monetary policy to inflation developments","Following the IMF 's Article IV policy advice , countries with negative output gaps which have fiscal space should support growth with all available tools , while those with closed output gaps should withdraw short-term fiscal stimulus and calibrate monetary policy to inflation developments "
68,"In most advanced economies, output gaps are still substantial, inflation is below target, and monetary policy remains constrained by the zero lower bound","In most advanced economies , output gaps are still substantial , inflation is below target ,"
69,"In most advanced economies, output gaps are still substantial, inflation is below target, and monetary policy remains constrained by the zero lower bound",monetary policy remains constrained by the zero lower bound 
70,Sustaining the recovery will require structural reforms to raise potential growth along with demand support.,Sustaining the recovery will require structural reforms to raise potential growth along with demand support .
71,"In a number of emerging economies, by contrast, monetary policy may have to tighten sooner—and might therefore be more synchronous with or even lead fiscal consolidation—if there are signs of rising inflation or incipient financial vulnerabilities, including credit booms","In a number of emerging economies , by contrast , monetary policy may have to tighten sooner and might therefore be more synchronous with or even lead fiscal consolidation if there are signs of rising inflation or incipient financial vulnerabilities , including credit booms "
72,"In emerging economies, there remains scope to cut policy rates if needed to support demand, but rising asset prices and a vigorous turnaround in economic activity suggest that policy tightening may be needed in some countries","In emerging economies , there remains scope to cut policy rates if needed to support demand ,"
73,"In emerging economies, there remains scope to cut policy rates if needed to support demand, but rising asset prices and a vigorous turnaround in economic activity suggest that policy tightening may be needed in some countries",rising asset prices and a vigorous turnaround in economic activity suggest that policy tightening may be needed in some countries 
74,"In the euro area—building on OMT and ESM activation, further action is also needed to strengthen banks, address structural shortcomings and complete EMU","In the euro area building on OMT and ESM activation , further action is also needed to strengthen banks , address structural shortcomings and complete EMU "
75,Authorities can afford to be more accommodative in those economies where the credibility of monetary policy is high,Authorities can afford to be more accommodative in those economies where the credibility of monetary policy is high 
76,"Attaining this objective will require meeting the onerous challenges to fiscal sustainability, normalizing monetary policy carefully withdrawing financial sector support, and avoiding policy inconsistencies across countries, as well as in the policy mix","Attaining this objective will require meeting the onerous challenges to fiscal sustainability , normalizing monetary policy carefully withdrawing financial sector support , and avoiding policy inconsistencies across countries , as well as in the policy mix "
77,"Continued demand rebalancing from deficit to surplus economies would strengthen global growth and, if done properly, would help resolve their internal imbalances","Continued demand rebalancing from deficit to surplus economies would strengthen global growth and , if done properly , would help resolve their internal imbalances "
78,"Broadly speaking, monetary policy accommodation should continue to play its supportive role, given low inflation and still large output gaps, and fiscal adjustment should be measured, while being anchored by a credible medium-term roadmap for sustainability","Broadly speaking , monetary policy accommodation should continue to play its supportive role , given low inflation and still large output gaps ,"
79,"Broadly speaking, monetary policy accommodation should continue to play its supportive role, given low inflation and still large output gaps, and fiscal adjustment should be measured, while being anchored by a credible medium-term roadmap for sustainability","fiscal adjustment should be measured , while being anchored by a credible medium-term roadmap for sustainability "
80,The pace and composition of fiscal adjustment should be attuned to supporting both the recovery and long-term growth,The pace and composition of fiscal adjustment should be attuned to supporting both the recovery and long-term growth 
81,"Also, the ECB should continue to provide liquidity and stay fully engaged in securities purchases to help improve the prospects for financial stability","Also , the ECB should continue to provide liquidity and stay fully engaged in securities purchases to help improve the prospects for financial stability "
82,The strengthening of activity in advanced economies and looming normalization of monetary policy in some implies that external financial conditions— both availability of capital flows and borrowing costs—will eventually tighten,The strengthening of activity in advanced economies and looming normalization of monetary policy in some implies that external financial conditions both availability of capital flows and borrowing costs will eventually tighten 
83,"Additionally, to sustain recovery in these countries some of the consolidation planned for 2011 might also have to be temporarily postponed","Additionally , to sustain recovery in these countries some of the consolidation planned for 2011 might also have to be temporarily postponed "
84,"In the United Kingdom, a range of recent monetary and other policy measures by the Bank of England will support the economy and thereby mitigate downside risks","In the United Kingdom , a range of recent monetary and other policy measures by the Bank of England will support the economy and thereby mitigate downside risks "
85,The recent forward guidance provided by the ECB to anchor interest rate expectations was a welcome step,The recent forward guidance provided by the ECB to anchor interest rate expectations was a welcome step 
86,Monetary policy should continue to aid recovery,Monetary policy should continue to aid recovery 
87,"Completing the reform of financial regulation and deploying macro-prudential tools as a first line of defense, as needed, are essential to limit financial risks","Completing the reform of financial regulation and deploying macro-prudential tools as a first line of defense , as needed , are essential to limit financial risks "
88,"Circumstances vary across emerging markets, but many should act to restore fiscal buffers over time, use monetary policy to guard against downside risks, and rely on macro-prudential measures to safeguard financial stability","Circumstances vary across emerging markets ,"
89,"Circumstances vary across emerging markets, but many should act to restore fiscal buffers over time, use monetary policy to guard against downside risks, and rely on macro-prudential measures to safeguard financial stability","many should act to restore fiscal buffers over time , use monetary policy to guard against downside risks , and rely on macro-prudential measures to safeguard financial stability "
90,Emerging economies need to rebuild policy space and in some cases address domestic imbalances and vulnerabilities to prepare for tighter financial conditions,Emerging economies need to rebuild policy space and in some cases address domestic imbalances and vulnerabilities to prepare for tighter financial conditions 
91,To facilitate rebalanced global growth: advanced economies with large current account deficits should transition towards measures to raise savings,To facilitate rebalanced global growth : advanced economies with large current account deficits should transition towards measures to raise savings 
92,"Episodes of volatile capital flows and exchange rates, along with continuing precautionary reserve accumulation, also suggest the need for further collective efforts to strengthen the IMS","Episodes of volatile capital flows and exchange rates , along with continuing precautionary reserve accumulation , also suggest the need for further collective efforts to strengthen the IMS "
93,"More fiscal stimulus in advanced surplus economies with fiscal space, continuing monetary support and growth-friendly fiscal rebalancing in deficit economies, and structural reforms would contribute to external rebalancing","More fiscal stimulus in advanced surplus economies with fiscal space , continuing monetary support and growth-friendly fiscal rebalancing in deficit economies , and structural reforms would contribute to external rebalancing "
94,"Concern about asset values and risky exposures should be addressed by forcing banks to build capital buffers, while unviable business models need to be unwound","Concern about asset values and risky exposures should be addressed by forcing banks to build capital buffers , while unviable business models need to be unwound "
95,"The recent Council agreement on the SRM is a step forward but the process appears complex, and may cause delays in decision making",The recent Council agreement on the SRM is a step forward
96,"The recent Council agreement on the SRM is a step forward but the process appears complex, and may cause delays in decision making","the process appears complex , and may cause delays in decision making "
97,"In many advanced economies, insufficient progress with repair and reform is weighing on credit growth, and slowing the normalization of monetary and fiscal policies, with adverse spillovers on emerging economies, through large and volatile capital flows","In many advanced economies , insufficient progress with repair and reform is weighing on credit growth , and slowing the normalization of monetary and fiscal policies , with adverse spillovers on emerging economies , through large and volatile capital flows "
98,"Better central bank communications may help bring down real interest rates and provide added support to demand, including by reassuring markets against premature tightening","Better central bank communications may help bring down real interest rates and provide added support to demand , including by reassuring markets against premature tightening "
99,"Exiting from crisis-related public support policies should be viewed in the context of bridging towards strong, sustained and balanced growth with price stability","Exiting from crisis-related public support policies should be viewed in the context of bridging towards strong , sustained and balanced growth with price stability "
100,"To ensure transmission of tighter monetary conditions to the real economy, central banks will also need to withdraw excess bank reserves created by their exceptional liquidity provision and unconventional measures","To ensure transmission of tighter monetary conditions to the real economy , central banks will also need to withdraw excess bank reserves created by their exceptional liquidity provision and unconventional measures "
101,Fast-growing advanced and emerging economies can start tightening policies now,Fast-growing advanced and emerging economies can start tightening policies now 
102,and greater confidence in policymakers’ ability to act decisively,greater confidence in policymakers ' ability to act decisively 
103,"There is a clear case for the Fed to proceed along a very gradual upward path for the fed funds rate, conscious of global disinflationary trends and confirming along the way that wage and price inflation are indeed maintaining their steady upward momentum","There is a clear case for the Fed to proceed along a very gradual upward path for the fed funds rate , conscious of global disinflationary trends and confirming along the way that wage and price inflation are indeed maintaining their steady upward momentum "
104,"It would also be beneficial to reorient spending—notably, to protect vulnerable sections of society against commodity price increases","It would also be beneficial to reorient spending notably , to protect vulnerable sections of society against commodity price increases "
105,"At the same time, however, policymakers should be mindful of the impact of such action on other economies, notably through large and volatile capital flows","At the same time , however , policymakers should be mindful of the impact of such action on other economies , notably through large and volatile capital flows "
106,"Furthermore, fiscal policy adjustment typically has a long lead time relative to monetary policy","Furthermore , fiscal policy adjustment typically has a long lead time relative to monetary policy "
107,It should also consider providing stronger guidance to markets by moving to more forecast-oriented monetary policy communication to increase the transparency of its assessment of inflation prospects and strengthen the signal of its commitment to the inflation target,It should also consider providing stronger guidance to markets by moving to more forecast-oriented monetary policy communication to increase the transparency of its assessment of inflation prospects and strengthen the signal of its commitment to the inflation target 
108,"For instance, streamlining service or product sector regulations in surplus economies (for example, in Japan, Korea, and Germany) will encourage domestic demand and relative price adjustments","For instance , streamlining service or product sector regulations in surplus economies for example , in Japan , Korea , and Germany will encourage domestic demand and relative price adjustments "
109,"It will also make systemic institutions more resilient, help contain pro-cyclical asset price and credit dynamics, and cushion the consequences of liquidity squeezes if volatility spikes","It will also make systemic institutions more resilient , help contain pro-cyclical asset price and credit dynamics , and cushion the consequences of liquidity squeezes if volatility spikes "
110,"A tightening cycle has begun in other advanced economies (for example, Australia, Canada, Korea), but these central banks have signaled caution in further tightening given increased downside risks to the global economy","A tightening cycle has begun in other advanced economies for example , Australia , Canada , Korea ,"
111,"A tightening cycle has begun in other advanced economies (for example, Australia, Canada, Korea), but these central banks have signaled caution in further tightening given increased downside risks to the global economy",these central banks have signaled caution in further tightening given increased downside risks to the global economy 
112,Policymakers should employ appropriate macro- and micro-prudential tools to mitigate such outcomes,Policymakers should employ appropriate macro - and micro-prudential tools to mitigate such outcomes 
113,"At the same time, progress on other fronts is crucial","At the same time , progress on other fronts is crucial "
114,The problems facing the global economy are complex and joint action can help,The problems facing the global economy are complex
115,The problems facing the global economy are complex and joint action can help,joint action can help 
116,"Over the medium run, priority should be given to completing the banking union, strengthening the single market, and moving closer to a fiscal union","Over the medium run , priority should be given to completing the banking union , strengthening the single market , and moving closer to a fiscal union "
117,"Depending on country needs, comprehensive action will combine structural reforms with demand support, anchored by coherent and well-communicated policy frameworks","Depending on country needs , comprehensive action will combine structural reforms with demand support , anchored by coherent and well-communicated policy frameworks "
118,"This is becoming increasingly relevant for many emerging economies, notably in Asia, that are already witnessing relatively vigorous rebounds of activity","This is becoming increasingly relevant for many emerging economies , notably in Asia , that are already witnessing relatively vigorous rebounds of activity "
119,"Fiscal tightening should also be the priority where stimulus measures have contributed directly to a strong rebound in domestic demand, or where market concerns regarding public debt sustainability are high or rising","Fiscal tightening should also be the priority where stimulus measures have contributed directly to a strong rebound in domestic demand , or where market concerns regarding public debt sustainability are high or rising "
120,"Monetary easing can be the first line of defense against liquidity pressures and downside risks where inflation is firmly anchored, although capital flow reversals, external financing needs, and financial stability risks might constrain scope for action in some countries","Monetary easing can be the first line of defense against liquidity pressures and downside risks where inflation is firmly anchored , although capital flow reversals , external financing needs , and financial stability risks might constrain scope for action in some countries "
121,"In the United States, improving the transmission of the monetary easing would require resolution of the household debt overhang","In the United States , improving the transmission of the monetary easing would require resolution of the household debt overhang "
122,Prudential authorities will need to be watchful of risks flowing from low interest rates,Prudential authorities will need to be watchful of risks flowing from low interest rates 
123,"7 In some advanced economies that have fiscal space and are operating at or close to capacity, additional spending could boost potential growth and create positive transitional spillovers for others","7 In some advanced economies that have fiscal space and are operating at or close to capacity , additional spending could boost potential growth and create positive transitional spillovers for others "
124,"In the United States and the United Kingdom, where the recovery is stronger, the challenge is to manage exit from exceptionally accommodative monetary policies as output gaps shrink","In the United States and the United Kingdom , where the recovery is stronger , the challenge is to manage exit from exceptionally accommodative monetary policies as output gaps shrink "
125,"In the United States, agreement on a credible fiscal roadmap could help create some short-term policy space, mitigate risks of excessive near-term consolidation, and ease the burden currently placed on monetary policy","In the United States , agreement on a credible fiscal roadmap could help create some short-term policy space , mitigate risks of excessive near-term consolidation , and ease the burden currently placed on monetary policy "
126,"A key to addressing this challenge is to expeditiously reform and repair financial sectors in the major advanced economies, which would both help catalyze a sustained private demand-led recovery in these economies, allow for interest rates increases and limit spillovers to emerging economies.","A key to addressing this challenge is to expeditiously reform and repair financial sectors in the major advanced economies , which would both help catalyze a sustained private demand-led recovery in these economies , allow for interest rates increases and limit spillovers to emerging economies ."
127,"Following substantial easing in the first half of 2009, several emerging economies (including in Brazil, Indonesia, and South Africa) have paused in their monetary easing cycles on account of inflation concerns","Following substantial easing in the first half of 2009 , several emerging economies including in Brazil , Indonesia , and South Africa have paused in their monetary easing cycles on account of inflation concerns "
128,"Specifically: In Brazil, slowing economic conditions will make it difficult to achieve the original budget targets for 2014","Specifically : In Brazil , slowing economic conditions will make it difficult to achieve the original budget targets for 2014 "
129,"There is scope for better cooperation on withdrawal of UMP, especially through wider central bank discussions of exit plans","There is scope for better cooperation on withdrawal of UMP , especially through wider central bank discussions of exit plans "
130,"In Japan, the BoJ’s objective to raise inflation to 2 percent and the sweeping enhancements to the monetary framework are welcome","In Japan , the BoJ 's objective to raise inflation to 2 percent and the sweeping enhancements to the monetary framework are welcome "
131,"If the economy is not at risk of overheating, the appropriate policy response would be to lower interest rates and to tighten fiscal policy, thus reducing currency appreciation pressures","If the economy is not at risk of overheating , the appropriate policy response would be to lower interest rates and to tighten fiscal policy , thus reducing currency appreciation pressures "
132,"The scale of fiscal adjustment required to ensure fiscal sustainability will be large, particularly in advanced economies","The scale of fiscal adjustment required to ensure fiscal sustainability will be large , particularly in advanced economies "
133,"With the exception of the ECB (which cut its refinancing rate further by 25 basis points to one percent in early May), major advanced country central banks are now effectively at the lower bound for policy rates","With the exception of the ECB which cut its refinancing rate further by 25 basis points to one percent in early May , major advanced country central banks are now effectively at the lower bound for policy rates "
134,"The crisis compelled central banks to employ a wide range of crisis-intervention measures, in many cases unprecedented","The crisis compelled central banks to employ a wide range of crisis-intervention measures , in many cases unprecedented "
135,"Given that the current aggressive pace of monetary easing may need to be maintained for an extended period, providing more information about asset purchases beyond end-2014 could further enhance transparency","Given that the current aggressive pace of monetary easing may need to be maintained for an extended period , providing more information about asset purchases beyond end-2014 could further enhance transparency "
