,sentence,subsentence1,subsentence2
10,"In emerging markets, wherever possible, policymakers should continue to let the exchange rate act as a buffer against shocks","In emerging markets , wherever possible , policymakers should continue to let the exchange rate act as a buffer against shocks ",the exchange rate act as a buffer against shocks
11,"Nonetheless, they still remain wider than their pre-crisis levels, partly signifying the limits of central bank liquidity operations","Nonetheless , they still remain wider than their pre-crisis levels , partly signifying the limits of central bank liquidity operations ","Nonetheless , they still remain wider than their pre-crisis levels , partly signifying the limits of central bank liquidity operations"
12,"Where room exists, policy rates should be cut further, and central banks should signal that interest rates will remain low until a durable recovery is in sight","Where room exists , policy rates should be cut further ,","Where room exists , policy rates should be cut further ,"
13,"Where room exists, policy rates should be cut further, and central banks should signal that interest rates will remain low until a durable recovery is in sight",central banks should signal that interest rates will remain low until a durable recovery is in sight ,central banks should signal
14,"Where room exists, policy rates should be cut further, and central banks should signal that interest rates will remain low until a durable recovery is in sight",central banks should signal that interest rates will remain low until a durable recovery is in sight ,that interest rates will remain low
15,"Where room exists, policy rates should be cut further, and central banks should signal that interest rates will remain low until a durable recovery is in sight",central banks should signal that interest rates will remain low until a durable recovery is in sight ,until a durable recovery is in sight
16,"6 Libor-OIS spreads have declined sharply, reflecting increased liquidity and lower credit risk","6 Libor-OIS spreads have declined sharply , reflecting increased liquidity and lower credit risk ","6 Libor-OIS spreads have declined sharply , reflecting increased liquidity and lower credit risk"
17,"Where still high inflationary pressures persist, including from supply bottlenecks (for example, Brazil, India, and Indonesia), the scope for easing the monetary stance may be very limited or it may need to be tightened","Where still high inflationary pressures persist , including from supply bottlenecks for example , Brazil , India , and Indonesia , the scope for easing the monetary stance may be very limited","Where still high inflationary pressures persist , including from supply bottlenecks for example , Brazil , India , and Indonesia , the scope for easing the monetary stance may be very limited"
18,"Where still high inflationary pressures persist, including from supply bottlenecks (for example, Brazil, India, and Indonesia), the scope for easing the monetary stance may be very limited or it may need to be tightened",it may need to be tightened ,it may need to be tightened
19,"In the euro area, countries with fiscal space should do more to support growth—for example, through infrastructure investment in Germany","In the euro area , countries with fiscal space should do more to support growth for example , through infrastructure investment in Germany ","In the euro area , countries with fiscal space should do more to support growth for example , through infrastructure investment in Germany"
20,"This process will benefit from continuing macroeconomic support—including, for example, through the use of tax incentives and by providing protection for vulnerable households","This process will benefit from continuing macroeconomic support including , for example , through the use of tax incentives and by providing protection for vulnerable households ","This process will benefit from continuing macroeconomic support including , for example , through the use of tax incentives and by providing protection for vulnerable households"
21,"In Japan, a commitment to fiscal consolidation centered on a pre-announced path of gradual consumption tax hikes and a strengthening of fiscal institutions would create near-term policy space to maintain growth momentum","In Japan , a commitment to fiscal consolidation centered on a pre-announced path of gradual consumption tax hikes and a strengthening of fiscal institutions would create near-term policy space to maintain growth momentum ","In Japan , a commitment to fiscal consolidation centered on a pre-announced path of gradual consumption tax hikes and a strengthening of fiscal institutions would create near-term policy space to maintain growth momentum"
22,Monetary and fiscal policies can be used to reduce inflows where further reserve accumulation or exchange rate appreciation are not warranted,Monetary and fiscal policies can be used to reduce inflows where further reserve accumulation or exchange rate appreciation are not warranted ,Monetary and fiscal policies can be used to reduce inflows
23,Monetary and fiscal policies can be used to reduce inflows where further reserve accumulation or exchange rate appreciation are not warranted,Monetary and fiscal policies can be used to reduce inflows where further reserve accumulation or exchange rate appreciation are not warranted ,where further reserve accumulation or exchange rate appreciation are not warranted
24,Monetary policy should be the first response to spillovers from advanced economies as long as inflationary pressures remain in check,Monetary policy should be the first response to spillovers from advanced economies as long as inflationary pressures remain in check ,Monetary policy should be the first response to spillovers from advanced economies
25,Monetary policy should be the first response to spillovers from advanced economies as long as inflationary pressures remain in check,Monetary policy should be the first response to spillovers from advanced economies as long as inflationary pressures remain in check ,as long as inflationary pressures remain in check
26,Joint efforts by deficit and surplus economies to rebalance global demand would reduce excess external imbalances while sustaining growth,Joint efforts by deficit and surplus economies to rebalance global demand would reduce excess external imbalances while sustaining growth ,Joint efforts by deficit and surplus economies to rebalance global demand would reduce excess external imbalances while sustaining growth
27,"In Japan, the Bank of Japan should stand ready for further easing, preferably by extending purchases under its quantitative and qualitative monetary easing program to longer-maturity assets","In Japan , the Bank of Japan should stand ready for further easing , preferably by extending purchases under its quantitative and qualitative monetary easing program to longer-maturity assets ","In Japan , the Bank of Japan should stand ready for further easing , preferably by extending purchases under its quantitative and qualitative monetary easing program to longer-maturity assets"
28,Implementing the proposed adjustments to the policy mix would also contribute to more sustainable growth,Implementing the proposed adjustments to the policy mix would also contribute to more sustainable growth ,the proposed adjustments to the policy mix would also contribute to more sustainable growth
29,"At the same time, policymakers can raise confidence by explaining to citizens the benefits of reform and, where necessary, providing effective support to those who disproportionately shoulder the burden of adjustment","At the same time , policymakers can raise confidence by explaining to citizens the benefits of reform and , where necessary , providing effective support to those who disproportionately shoulder the burden of adjustment ","At the same time , policymakers can raise confidence by explaining to citizens the benefits of reform and ,"
30,"At the same time, policymakers can raise confidence by explaining to citizens the benefits of reform and, where necessary, providing effective support to those who disproportionately shoulder the burden of adjustment","At the same time , policymakers can raise confidence by explaining to citizens the benefits of reform and , where necessary , providing effective support to those who disproportionately shoulder the burden of adjustment ","where necessary , providing effective support to those"
31,"At the same time, policymakers can raise confidence by explaining to citizens the benefits of reform and, where necessary, providing effective support to those who disproportionately shoulder the burden of adjustment","At the same time , policymakers can raise confidence by explaining to citizens the benefits of reform and , where necessary , providing effective support to those who disproportionately shoulder the burden of adjustment ",who disproportionately shoulder the burden of adjustment
32,"While lower oil prices should boost domestic demand, accommodative monetary conditions remain essential in most advanced economies, given still sizable output gaps","While lower oil prices should boost domestic demand , accommodative monetary conditions remain essential in most advanced economies , given still sizable output gaps ","While lower oil prices should boost domestic demand , accommodative monetary conditions remain essential in most advanced economies , given still sizable output gaps"
33,"Specifically: On the monetary front, economies where inflation is still relatively high, or where policy credibility has come into question, need to continue tightening monetary policy in the context of strengthened policy frameworks (India and Turkey).","Specifically : On the monetary front , economies where inflation is still relatively high , or where policy credibility has come into question , need to continue tightening monetary policy in the context of strengthened policy frameworks India and Turkey .","Specifically : On the monetary front , economies"
34,"Specifically: On the monetary front, economies where inflation is still relatively high, or where policy credibility has come into question, need to continue tightening monetary policy in the context of strengthened policy frameworks (India and Turkey).","Specifically : On the monetary front , economies where inflation is still relatively high , or where policy credibility has come into question , need to continue tightening monetary policy in the context of strengthened policy frameworks India and Turkey .","where inflation is still relatively high , or"
35,"Specifically: On the monetary front, economies where inflation is still relatively high, or where policy credibility has come into question, need to continue tightening monetary policy in the context of strengthened policy frameworks (India and Turkey).","Specifically : On the monetary front , economies where inflation is still relatively high , or where policy credibility has come into question , need to continue tightening monetary policy in the context of strengthened policy frameworks India and Turkey .","where policy credibility has come into question , need to continue tightening monetary policy in the context of strengthened policy frameworks India and Turkey ."
36,"Recent IMF research shows that structural reforms are most effective when they directly address an economy’s known structural policy gaps and take account of its level of development, its position in the business cycle, and the available macroeconomic policy space","Recent IMF research shows that structural reforms are most effective when they directly address an economy 's known structural policy gaps and take account of its level of development , its position in the business cycle , and the available macroeconomic policy space ",Recent IMF research shows
37,"Recent IMF research shows that structural reforms are most effective when they directly address an economy’s known structural policy gaps and take account of its level of development, its position in the business cycle, and the available macroeconomic policy space","Recent IMF research shows that structural reforms are most effective when they directly address an economy 's known structural policy gaps and take account of its level of development , its position in the business cycle , and the available macroeconomic policy space ",that structural reforms are most effective
38,"Recent IMF research shows that structural reforms are most effective when they directly address an economy’s known structural policy gaps and take account of its level of development, its position in the business cycle, and the available macroeconomic policy space","Recent IMF research shows that structural reforms are most effective when they directly address an economy 's known structural policy gaps and take account of its level of development , its position in the business cycle , and the available macroeconomic policy space ","when they directly address an economy 's known structural policy gaps and take account of its level of development , its position in the business cycle , and the available macroeconomic policy space"
39,The financial sector remains the Achilles’ heel of recovery prospects for private demand,The financial sector remains the Achilles ' heel of recovery prospects for private demand ,The financial sector remains the Achilles ' heel of recovery prospects for private demand
40,Swift implementation—and an expansion—of the EU scheme to provide public and private investment would raise growth in the short and medium-term and have positive spillovers in the region,Swift implementation and an expansion of the EU scheme to provide public and private investment would raise growth in the short and medium-term and have positive spillovers in the region ,Swift implementation and an expansion of the EU scheme to provide public and private investment would raise growth in the short and medium-term and have positive spillovers in the region
41,"In the United States, while underlying growth has been relatively robust, there is still a long way to go on the labor market, as unemployment remains high and labor force participation below trends","In the United States , while underlying growth has been relatively robust , there is still a long way to go on the labor market , as unemployment remains high and labor force participation below trends ","In the United States ,"
42,"In the United States, while underlying growth has been relatively robust, there is still a long way to go on the labor market, as unemployment remains high and labor force participation below trends","In the United States , while underlying growth has been relatively robust , there is still a long way to go on the labor market , as unemployment remains high and labor force participation below trends ","while underlying growth has been relatively robust , there is still a long way to go on the labor market ,"
43,"In the United States, while underlying growth has been relatively robust, there is still a long way to go on the labor market, as unemployment remains high and labor force participation below trends","In the United States , while underlying growth has been relatively robust , there is still a long way to go on the labor market , as unemployment remains high and labor force participation below trends ",as unemployment remains high and labor force participation below trends
44,The main challenge for policymakers is to act forcefully to address downside risks with strong policy implementation,The main challenge for policymakers is to act forcefully to address downside risks with strong policy implementation ,The main challenge for policymakers is to act forcefully to address downside risks with strong policy implementation
45,"Central banks must decide what more, if anything, to do and prepare for an eventual exit from unconventional monetary policies","Central banks must decide what more , if anything , to do and prepare for an eventual exit from unconventional monetary policies ",Central banks must decide
46,"Central banks must decide what more, if anything, to do and prepare for an eventual exit from unconventional monetary policies","Central banks must decide what more , if anything , to do and prepare for an eventual exit from unconventional monetary policies ","what more , if anything , to do and prepare for an eventual exit from unconventional monetary policies"
47,International cooperation is needed to achieve more orderly resolution across borders and consistent regulatory frameworks and supervision,International cooperation is needed to achieve more orderly resolution across borders and consistent regulatory frameworks and supervision ,International cooperation is needed to achieve more orderly resolution across borders and consistent regulatory frameworks and supervision
48,"In economies facing high inflationary pressures, reducing interest rates is not an attractive option, while both political considerations and implementation lags may limit the scope for fiscal consolidation.","In economies facing high inflationary pressures , reducing interest rates is not an attractive option , while both political considerations and implementation lags may limit the scope for fiscal consolidation .","In economies facing high inflationary pressures , reducing"
49,"In economies facing high inflationary pressures, reducing interest rates is not an attractive option, while both political considerations and implementation lags may limit the scope for fiscal consolidation.","In economies facing high inflationary pressures , reducing interest rates is not an attractive option , while both political considerations and implementation lags may limit the scope for fiscal consolidation .","interest rates is not an attractive option ,"
50,"In economies facing high inflationary pressures, reducing interest rates is not an attractive option, while both political considerations and implementation lags may limit the scope for fiscal consolidation.","In economies facing high inflationary pressures , reducing interest rates is not an attractive option , while both political considerations and implementation lags may limit the scope for fiscal consolidation .",while both political considerations and implementation lags may limit the scope for fiscal consolidation .
51,"Monetary policies can be eased in economies with diminishing inflationary pressure but weaker fiscal fundamentals (for example, various economies in Latin America)","Monetary policies can be eased in economies with diminishing inflationary pressure but weaker fiscal fundamentals for example , various economies in Latin America ","Monetary policies can be eased in economies with diminishing inflationary pressure but weaker fiscal fundamentals for example , various economies in Latin America"
52,"However, where shares of food and energy in consumption are high and policy credibility is low, as is more common, authorities will have to react faster and more strongly.","However , where shares of food and energy in consumption are high and policy credibility is low , as is more common , authorities will have to react faster and more strongly .","However ,"
53,"However, where shares of food and energy in consumption are high and policy credibility is low, as is more common, authorities will have to react faster and more strongly.","However , where shares of food and energy in consumption are high and policy credibility is low , as is more common , authorities will have to react faster and more strongly .","where shares of food and energy in consumption are high and policy credibility is low ,"
54,"However, where shares of food and energy in consumption are high and policy credibility is low, as is more common, authorities will have to react faster and more strongly.","However , where shares of food and energy in consumption are high and policy credibility is low , as is more common , authorities will have to react faster and more strongly .","as is more common , authorities will have to react faster and more strongly ."
55,Public debt is above pre- crisis-levels in most countries and structural issues and lower potential output point to lower fiscal space than previously estimated,Public debt is above pre - crisis-levels in most countries and structural issues and lower potential output point to lower fiscal space than previously estimated ,Public debt is above pre - crisis-levels in most countries and structural issues and lower potential output point to lower fiscal space than previously estimated
56,Deficit-reducing and debt management measures should commence as soon as private demand begins recovering,Deficit-reducing and debt management measures should commence as soon as private demand begins recovering ,Deficit-reducing and debt management measures should commence as soon
57,Deficit-reducing and debt management measures should commence as soon as private demand begins recovering,Deficit-reducing and debt management measures should commence as soon as private demand begins recovering ,as private demand begins recovering
58,"However, the timing of the increase in policy rates may have to be adjusted in function of developments on the inflation and unemployment fronts","However , the timing of the increase in policy rates may have to be adjusted in function of developments on the inflation and unemployment fronts ","However , the timing of the increase in policy rates may have to be adjusted in function of developments on the inflation and unemployment fronts"
59,"This requires a broad-based approach combining all available policy tools and strong policy frameworks, which anchor fiscal and monetary policy in the long run while allowing for effective demand management in the short run","This requires a broad-based approach combining all available policy tools and strong policy frameworks , which anchor fiscal and monetary policy in the long run while allowing for effective demand management in the short run ","This requires a broad-based approach combining all available policy tools and strong policy frameworks ,"
60,"This requires a broad-based approach combining all available policy tools and strong policy frameworks, which anchor fiscal and monetary policy in the long run while allowing for effective demand management in the short run","This requires a broad-based approach combining all available policy tools and strong policy frameworks , which anchor fiscal and monetary policy in the long run while allowing for effective demand management in the short run ",which anchor fiscal and monetary policy in the long run while allowing for effective demand management in the short run
61,Advanced economies should strengthen regulation and supervision of financial activities outside the banking system which are expanding rapidly,Advanced economies should strengthen regulation and supervision of financial activities outside the banking system which are expanding rapidly ,Advanced economies should strengthen regulation and supervision of financial activities outside the banking system
62,Advanced economies should strengthen regulation and supervision of financial activities outside the banking system which are expanding rapidly,Advanced economies should strengthen regulation and supervision of financial activities outside the banking system which are expanding rapidly ,which are expanding rapidly
63,Exploiting synergies between short-term support and structural reforms is even more crucial where fiscal space is limited and monetary policy operates close to the effective lower bound,Exploiting synergies between short-term support and structural reforms is even more crucial where fiscal space is limited and monetary policy operates close to the effective lower bound ,Exploiting synergies between short-term support and structural reforms is even more crucial
64,Exploiting synergies between short-term support and structural reforms is even more crucial where fiscal space is limited and monetary policy operates close to the effective lower bound,Exploiting synergies between short-term support and structural reforms is even more crucial where fiscal space is limited and monetary policy operates close to the effective lower bound ,where fiscal space is limited and monetary policy operates close to the effective lower bound
65,The composition of central bank assets will in part determine the approach to be taken.,The composition of central bank assets will in part determine the approach to be taken .,The composition of central bank assets will in part determine the approach to be taken .
66,"In this context, the recent formal adoption of a symmetrical inflation target by India should provide a robust institutional foundation for maintaining price stability","In this context , the recent formal adoption of a symmetrical inflation target by India should provide a robust institutional foundation for maintaining price stability ","In this context , the recent formal adoption of a symmetrical inflation target by India should provide a robust institutional foundation for maintaining price stability"
67,"Monetary policy should remain accommodative in advanced economies, as output gaps are large and fiscal consolidation will continue","Monetary policy should remain accommodative in advanced economies , as output gaps are large","Monetary policy should remain accommodative in advanced economies ,"
68,"Monetary policy should remain accommodative in advanced economies, as output gaps are large and fiscal consolidation will continue","Monetary policy should remain accommodative in advanced economies , as output gaps are large",as output gaps are large
69,"Monetary policy should remain accommodative in advanced economies, as output gaps are large and fiscal consolidation will continue",fiscal consolidation will continue ,fiscal consolidation will continue
70,There is an urgent need for structural reforms to raise potential output in both advanced and emerging economies,There is an urgent need for structural reforms to raise potential output in both advanced and emerging economies ,There is an urgent need for structural reforms to raise potential output in both advanced and emerging economies
71,In such cases the combination of temporary macroeconomic support—well-anchored by credible medium-term policy frameworks—with growth-enhancing structural reforms can deliver more than the sum of its parts,In such cases the combination of temporary macroeconomic support well-anchored by credible medium-term policy frameworks with growth-enhancing structural reforms can deliver more than the sum of its parts ,In such cases
72,In such cases the combination of temporary macroeconomic support—well-anchored by credible medium-term policy frameworks—with growth-enhancing structural reforms can deliver more than the sum of its parts,In such cases the combination of temporary macroeconomic support well-anchored by credible medium-term policy frameworks with growth-enhancing structural reforms can deliver more than the sum of its parts ,the combination of temporary macroeconomic support well-anchored by credible medium-term policy frameworks with growth-enhancing structural reforms can deliver more than the sum of its parts
73,"Where interest rates are at or near their effective lower bounds, fiscal policy must play a larger role","Where interest rates are at or near their effective lower bounds , fiscal policy must play a larger role ","Where interest rates are at or near their effective lower bounds , fiscal policy must play a larger role"
74,"Some countries (for example, Argentina and India) should remain watchful of inflationary pressures and cannot afford to lower interest rates further","Some countries for example , Argentina and India should remain watchful of inflationary pressures and can not afford to lower interest rates further ","Some countries for example , Argentina and India should remain watchful of inflationary pressures and can not afford to lower interest rates further"
75,"However, the impact of policy rates reductions on credit conditions, including notably on borrowing rates, has been limited by financial disruptions that have weakened the monetary transmission mechanism, with banks continuing to tighten lending standards, albeit at a slower pace more recently","However , the impact of policy rates reductions on credit conditions , including notably on borrowing rates , has been limited by financial disruptions that have weakened the monetary transmission mechanism , with banks continuing to tighten lending standards , albeit at a slower pace more recently ","However , the impact of policy rates reductions on credit conditions , including notably on borrowing rates , has been limited by financial disruptions"
76,"However, the impact of policy rates reductions on credit conditions, including notably on borrowing rates, has been limited by financial disruptions that have weakened the monetary transmission mechanism, with banks continuing to tighten lending standards, albeit at a slower pace more recently","However , the impact of policy rates reductions on credit conditions , including notably on borrowing rates , has been limited by financial disruptions that have weakened the monetary transmission mechanism , with banks continuing to tighten lending standards , albeit at a slower pace more recently ","that have weakened the monetary transmission mechanism , with banks continuing to tighten lending standards , albeit at a slower pace more recently"
77,Many exporters for which oil receipts typically contribute to a sizable share of fiscal revenues are experiencing large shocks in proportion to their economies,Many exporters for which oil receipts typically contribute to a sizable share of fiscal revenues are experiencing large shocks in proportion to their economies ,Many exporters
78,Many exporters for which oil receipts typically contribute to a sizable share of fiscal revenues are experiencing large shocks in proportion to their economies,Many exporters for which oil receipts typically contribute to a sizable share of fiscal revenues are experiencing large shocks in proportion to their economies ,for which oil receipts typically contribute to a sizable share of fiscal revenues are experiencing large shocks in proportion to their economies
79,"However, given the unevenness of the recovery across economies, challenges faced by central banks are different","However , given the unevenness of the recovery across economies , challenges faced by central banks are different ","However , given the unevenness of the recovery across economies , challenges faced by central banks are different"
80,"In Japan, the implementation of the Bank of Japan’s (BoJ) October announcement of expanded Quantitative and Qualitative Monetary Easing (QQE) framework by accelerating purchases of JGBs (and extending their maturity) and tripling the purchases of private assets remains critical to support domestic demand","In Japan , the implementation of the Bank of Japan 's BoJ October announcement of expanded Quantitative and Qualitative Monetary Easing QQE framework by accelerating purchases of JGBs and extending their maturity and tripling the purchases of private assets remains critical to support domestic demand ","In Japan , the implementation of the Bank of Japan 's BoJ October announcement of expanded Quantitative and Qualitative Monetary Easing QQE framework by accelerating purchases of JGBs and extending their maturity and tripling the purchases of private assets remains critical to support domestic demand"
81,"In Japan, the introduction of negative deposit rates by the BoJ underscores its commitment to maintain inflation momentum","In Japan , the introduction of negative deposit rates by the BoJ underscores its commitment to maintain inflation momentum ","In Japan , the introduction of negative deposit rates by the BoJ underscores its commitment to maintain inflation momentum"
82,"It is important, however, to consider macroeconomic conditions when implementing reforms","It is important , however , to consider macroeconomic conditions when implementing reforms ","It is important , however , to consider macroeconomic conditions"
83,"It is important, however, to consider macroeconomic conditions when implementing reforms","It is important , however , to consider macroeconomic conditions when implementing reforms ",when implementing reforms
84,"Ultimately, in some European cases, this may well entail the use of pooled euro area resources, including EFSF funds","Ultimately , in some European cases , this may well entail the use of pooled euro area resources , including EFSF funds ","Ultimately , in some European cases , this may well entail the use of pooled euro area resources , including EFSF funds"
85,"The adverse feedback loops between low growth, deteriorating public finances, and banking sector stress could lead to a prolong period of asset and consumer price deflation","The adverse feedback loops between low growth , deteriorating public finances , and banking sector stress could lead to a prolong period of asset and consumer price deflation ","The adverse feedback loops between low growth , deteriorating public finances , and banking sector stress could lead to a prolong period of asset and consumer price deflation"
86,"In economies where monetary policy is still very accommodative and inflation above target, some monetary policy tightening may be needed to bring inflation back to target","In economies where monetary policy is still very accommodative and inflation above target , some monetary policy tightening may be needed to bring inflation back to target ",In economies
87,"In economies where monetary policy is still very accommodative and inflation above target, some monetary policy tightening may be needed to bring inflation back to target","In economies where monetary policy is still very accommodative and inflation above target , some monetary policy tightening may be needed to bring inflation back to target ","where monetary policy is still very accommodative and inflation above target , some monetary policy tightening may be needed to bring inflation back to target"
88,"The recent large expansion of central bank balance sheets is mirrored in the growth of bank reserves, which will need to be mopped up as interest rates are raised to ensure the transmission of policy rate changes to the real economy","The recent large expansion of central bank balance sheets is mirrored in the growth of bank reserves , which will need to be mopped up as interest rates are raised to ensure the transmission of policy rate changes to the real economy ","The recent large expansion of central bank balance sheets is mirrored in the growth of bank reserves ,"
89,"The recent large expansion of central bank balance sheets is mirrored in the growth of bank reserves, which will need to be mopped up as interest rates are raised to ensure the transmission of policy rate changes to the real economy","The recent large expansion of central bank balance sheets is mirrored in the growth of bank reserves , which will need to be mopped up as interest rates are raised to ensure the transmission of policy rate changes to the real economy ",which will need to be mopped up
90,"The recent large expansion of central bank balance sheets is mirrored in the growth of bank reserves, which will need to be mopped up as interest rates are raised to ensure the transmission of policy rate changes to the real economy","The recent large expansion of central bank balance sheets is mirrored in the growth of bank reserves , which will need to be mopped up as interest rates are raised to ensure the transmission of policy rate changes to the real economy ",as interest rates are raised to ensure the transmission of policy rate changes to the real economy
91,Policy priorities have taken on more urgency compared to the February G-20 Surveillance Note,Policy priorities have taken on more urgency compared to the February G-20 Surveillance Note ,Policy priorities have taken on more urgency compared to the February G-20 Surveillance Note
92,"Finally, to the extent that fiscal and monetary policies are adjusted to make growth more balanced and reduce vulnerabilities, they will also decrease the risk of crisis, and thereby, make growth more lasting and sustainable.","Finally , to the extent that fiscal and monetary policies are adjusted to make growth more balanced and reduce vulnerabilities , they will also decrease the risk of crisis , and thereby , make growth more lasting and sustainable .","Finally , to the extent"
93,"Finally, to the extent that fiscal and monetary policies are adjusted to make growth more balanced and reduce vulnerabilities, they will also decrease the risk of crisis, and thereby, make growth more lasting and sustainable.","Finally , to the extent that fiscal and monetary policies are adjusted to make growth more balanced and reduce vulnerabilities , they will also decrease the risk of crisis , and thereby , make growth more lasting and sustainable .","that fiscal and monetary policies are adjusted to make growth more balanced and reduce vulnerabilities , they will also decrease the risk of crisis , and thereby , make growth more lasting and sustainable ."
94,The quality of fiscal consolidation in India should be improved through a comprehensive tax reform (such as introducing the goods and services tax and improving tax administration) and measures to further reduce subsidies,The quality of fiscal consolidation in India should be improved through a comprehensive tax reform such as introducing the goods and services tax and improving tax administration and measures to further reduce subsidies ,The quality of fiscal consolidation in India should be improved through a comprehensive tax reform such as introducing the goods and services tax and improving tax administration and measures to further reduce subsidies
95,"In some emerging markets, the task is to avoid overheating and prevent the build-up of financial imbalances","In some emerging markets , the task is to avoid overheating and prevent the build-up of financial imbalances ","In some emerging markets , the task is to avoid overheating and prevent the build-up of financial imbalances"
96,It will create greater scope to pursue supportive monetary policy without triggering concern about central bank independence or a resurgence of inflation,It will create greater scope to pursue supportive monetary policy without triggering concern about central bank independence or a resurgence of inflation ,It will create greater scope to pursue supportive monetary policy without triggering concern about central bank independence or a resurgence of inflation
97,"However, where financing conditions are easing and exchange rates have appreciated, there may be scope for with limited policy easing to support a resumption of growth G-20 central banks will need eventually to unwind their extraordinary liquidity support and withdraw conventional and unconventional monetary accommodation","However , where financing conditions are easing and exchange rates have appreciated , there may be scope for with limited policy easing to support a resumption of growth G-20 central banks will need eventually to unwind their extraordinary liquidity support and withdraw conventional and unconventional monetary accommodation ","However ,"
