index,sentence,hirose_san_score,hirose_san_topic
20120120_1_3_1_1,and more confidence in policymakers ' ability to act decisively,0,0
20120120_1_11_1_1,Monetary policies in other G-20 advanced,,
20120120_1_12_1_1,"The Federal Reserve , Bank of England , and Bank of Japan should stand ready to continue or expand their deployment of unconventional measures ,",1,1
20120120_1_9_1_1,"To forestall this adverse circuit , the ECB 's monetary policy should be highly accommodative , consistent with its mandate of ensuring price stability",1,1
20120120_1_4_1_1,"Importantly , not all countries should adjust in the same way , to the same extent , or at the same time ,",0,0
20120120_1_13_1_3,that help ease credit constraints on firms and households,0,0
20120120_1_10_1_3,"as needed , further unconventional measures",0,0
20090924_1_2_1_1,"Global imbalances have narrowed sharply after the crisis , reflecting",,
20090924_1_3_1_1,"However , imbalances based on current policy trajectories are projected to widen again , signaling the need for further underlying adjustment",0,0
20090924_1_2_1_2,some painful corrections and cyclical factors see chart,,
20090924_1_4_1_1,A number of distortions keep saving high in key surplus countries,0,0
20090924_1_1_1_1,that may impede this rebalancing would need to be addressed,0,0
20090924_1_5_1_1,"problems with the international monetary system continue to prompt self insurance in some countries through large reserve accumulation , especially after the crisis .",-9,-9
20170314_1_8_1_2,where fiscal space is limited and monetary policy operates close to the effective lower bound,0,1
20170314_1_2_1_1,In those advanced economies,-9,-9
20170314_1_11_1_1,"It is important , however , to consider macroeconomic conditions",0,0
20170314_1_1_1_1,Reinforcing the growth momentum requires the right mix of demand support and supply reforms,0,0
20170314_1_12_1_2,that lower barriers for new firms to enter product and services markets,0,0
20170314_1_9_1_1,In such cases,,
20170314_1_11_1_2,when implementing reforms,0,0
20170314_1_6_1_2,while also focusing on boosting the supply potential of the economy,-9,-9
20170314_1_13_1_3,when fiscal and monetary policies can provide support .,-9,-9
20170314_1_5_1_1,"In Germany , higher public investment",-9,-9
20170314_1_2_1_2,"where inflation remains below target , a supportive monetary policy stance should be maintained , relying on unconventional measures ,",-9,-9
20170314_1_3_1_1,"In the United States , monetary policy normalization should continue to be gradual and data driven",0,1
20170314_1_10_1_3,while structural reforms should prioritize lower-cost measures,,
20170314_1_8_1_1,Exploiting synergies between short-term support and structural reforms is even more crucial,,
20170314_1_2_1_3,as needed for example in the euro area and Japan,-9,-9
20170314_1_10_1_2,"where fiscal adjustment is needed , consolidation should be gradual and as growth-friendly as possible ,",,
20170314_1_4_1_1,"In economies operating close to full capacity such as the United States and Germany , any fiscal support should be oriented toward increasing potential output , for instance through investment in high-quality infrastructure , including social infrastructure such as education , health , or childcare",-9,-9
20170314_1_10_1_4,that could have a beneficial impact on public finances over the medium-term,,
20170314_1_7_2_1,the emphasis should generally be on enhancing resilience,,
20170314_1_6_1_1,"In economies with insufficient demand but available fiscal space , fiscal policy can support short-term growth",-9,-9
20170314_1_13_1_1,"Other reforms , such as employment protection reform and unemployment benefit reform , are best implemented",-9,-9
20170314_1_7_2_2,as discussed below,0,0
20170314_1_12_1_1,"Some reforms have more potential to boost demand in the short term , such as those",0,0
20170314_1_10_1_1,2 In countries,,
20170314_1_13_1_2,"when demand is already strong , or",-9,-9
20170314_1_9_1_2,the combination of temporary macroeconomic support well-anchored by credible medium-term policy frameworks with growth-enhancing structural reforms can deliver more than the sum of its parts,,
20170314_1_7_1_1,"Emerging economies face starkly diverse cyclical positions ,",,
20170314_1_5_1_2,would also contribute to reducing the very high current account balance surplus,-9,-9
20101021_1_7_2_1,"where stabilizers are small , temporary support such",,
20101021_1_8_1_1,"Given a fragile recovery , an accommodative monetary policy stance remains appropriate in advanced economies ,",,
20101021_1_7_2_2,as extended unemployment benefits or wage subsidies could be continued,,
20101021_1_3_1_1,financial sector restructuring and reform should thus be top priorities,0,0
20101021_1_7_1_1,"In all but the most vulnerable countries , automatic stabilizers should be allowed to operate fully",,
20101021_1_6_1_2,although this line is becoming increasingly thin in most advanced economies,0,0
20101021_1_4_1_2,regulatory uncertainty will strengthen financial systems and help catalyze rapid growth,0,0
20101021_1_1_1_1,The financial sector remains the Achilles ' heel of recovery prospects for private demand,0,0
20101021_1_11_1_1,A key to addressing,,
20101021_1_6_1_1,"Monetary policy must remain the first line of defense ,",0,0
20101021_1_10_1_1,"At the same time , however , policymakers should be mindful of the impact of such action on other economies , notably through large and volatile capital flows",0,0
20101021_1_2_1_1,"In many advanced economies , insufficient progress with repair and reform is weighing on credit growth , and slowing the normalization of monetary and fiscal policies , with adverse spillovers on emerging economies , through large and volatile capital flows",0,0
20101021_1_4_1_1,"Moving expeditiously to address the legacies of the crisis including bank funding concerns , the resolution of weak banks , and the restructuring of balance sheets for distressed households as well as to alleviate",0,0
20101021_1_11_1_2,"this challenge is to expeditiously reform and repair financial sectors in the major advanced economies ,",,
20101021_1_9_1_1,"In particular , maintaining accommodative monetary policy through 2011 , including through an expansion of central bank balance sheets , can counteract some of the contractionary effects of fiscal consolidation",1,1
20101021_1_8_2_1,"negative spillovers to other economies , in particular emerging economies , need to be closely watched and managed carefully",,
20101021_1_11_1_3,"which would both help catalyze a sustained private demand-led recovery in these economies , allow for interest rates increases and limit spillovers to emerging economies .",,
20101021_1_5_1_1,"If growth risks to slow appreciably more than expected , some of the planned consolidation could be slowed or postponed in countries with more fiscal room",-9,-9
20090903_1_3_2_1,the outlook for inflation picks up,,
20090903_1_30_1_1,Conventional monetary tightening will need to be accompanied by steps to offset the impact of large central bank balance sheets,0,1
20090903_1_12_1_1,"In emerging economies , there remains scope to cut policy rates",1,1
20090903_1_9_1_2,that aided the functioning of repo markets,0,0
20090903_1_16_1_1,"However ,",,
20090903_1_3_1_3,while other major central banks have indicated,0,0
20090903_1_6_1_1,"Notwithstanding conceptual difficulties in gauging effectiveness , central bank actions as well as public interventions",,
20090903_1_19_2_2,how to withdraw excess liquidity,0,0
20090903_1_13_2_1,there may be a need to tighten credit conditions in the face of sharply rising credit growth and the potential for overinvestment,-1,1
20090903_1_1_1_1,"While approaches have differed , major central banks have acted effectively to support economic activity and credit creation",0,0
20090903_1_7_1_1,"6 Libor-OIS spreads have declined sharply , reflecting increased liquidity and lower credit risk",,
20090903_1_5_1_2,"that forceful monetary easing , alongside enhanced credit and liquidity support , has helped ease financial stress Figure 3",0,0
20090903_1_3_1_4,that monetary policy would only be tightened,,
20090903_1_24_1_1,"Nonetheless ,",-9,-9
20090903_1_15_1_2,"Europe , the scope for monetary easing has been limited by the risk of exacerbating capital outflows",,
20090903_1_17_2_1,the path should take account of the withdrawal of fiscal support,,
20090903_1_19_1_1,"Thus , the first challenge is",0,0
20090903_1_24_1_2,"once a recovery is firmly underway ,",-9,-9
20090903_1_27_1_2,which suggests,,
20090903_1_31_1_1,"The recent large expansion of central bank balance sheets is mirrored in the growth of bank reserves ,",0,0
20090903_1_19_2_1,the second is,,
20090903_1_22_1_1,"At the same time , a prolonged period of very low interest rates could fuel excessive risk taking",0,1
20090903_1_12_2_1,rising asset prices and a vigorous turnaround in economic activity suggest,,
20090903_1_19_1_2,when to raise interest rates,,
20090903_1_6_1_2,"have improved the functioning of money , foreign exchange , and commercial paper markets",,
20090903_1_20_1_1,"In advanced G-20 economies , central banks can afford to maintain low interest rates for an extended period ,",,
20090903_1_21_1_1,"With fiscal stimulus gradually receding , a premature tightening of monetary policy could undercut the recovery",0,1
20090903_1_25_2_1,monetary accommodation will likely need to be withdrawn sooner,,
20090903_1_17_1_1,Interest rates will need to be raised,-1,1
20090903_1_13_1_1,"In China , the monetary expansion has quickly fed through to the domestic economy",,
20090903_1_3_1_1,The Fed has signaled,0,0
20090903_1_3_1_2,"that interest rates are likely to remain low for an extended period ,",0,0
20090903_1_11_1_1,"Commercial paper rates are falling in advanced economies , driven in part by major central banks ' direct purchases and liquidity operations targeted at short-term corporate financing",,
20090903_1_10_1_2,which has reduced European bank demand for dollar funding,0,0
20090903_1_32_1_1,The composition of central bank assets will in part determine the approach to be taken .,0,1
20090903_1_14_1_1,"Following substantial easing in the first half of 2009 , several emerging economies including in Brazil , Indonesia , and South Africa have paused in their monetary easing cycles on account of inflation concerns",0,0
20090903_1_25_1_1,"The situation is more varied across emerging G-20 economies ,",,
20090903_1_20_1_2,as underlying inflation is expected to remain very low,0,0
20090903_1_3_1_5,once the macroeconomic environment improves,,
20090903_1_23_1_2,as weak balance sheets and confidence are likely to weigh on credit availability,0,0
20090903_1_12_1_2,"if needed to support demand ,",,
20090903_1_24_1_3,"as signaled by recovering employment , monetary policy will need to be tightened",-9,-9
20090903_1_18_1_1,"To ensure transmission of tighter monetary conditions to the real economy , central banks will also need to withdraw excess bank reserves created by their exceptional liquidity provision and unconventional measures",-1,1
20090903_1_26_1_1,"A number of these economies , notably in Asia , are already enjoying relatively vigorous rebounds of activity",0,0
20090903_1_4_1_1,"Central banks have also used a range of instruments , tailored to the circumstances of their economies , to support financial intermediation and encourage credit flows",-9,-9
20090903_1_31_1_3,as interest rates are raised to ensure the transmission of policy rate changes to the real economy,0,0
20090903_1_31_1_2,which will need to be mopped up,0,0
20090903_1_27_1_1,"Accordingly , unemployment is not forecast to be much higher in 2010 than before the crisis ,",0,0
20090903_1_12_2_2,that policy tightening may be needed in some countries,-1,1
20090903_1_29_1_1,Some emerging economies should consider prudential actions to limit excessive credit creation,0,0
20090903_1_15_1_1,In emerging,,
20090903_1_27_1_3,that inflation pressures would be less subdued than in the advanced economies,,
20090903_1_28_1_1,"Moreover , some of these economies are again seeing significant asset price increases and credit growth in response to low interest rates , raising the specter of renewed equity or real estate booms",0,0
20090903_1_16_1_3,central banks will need eventually to unwind their extraordinary liquidity support and withdraw conventional and unconventional monetary accommodation,-1,1
20090903_1_10_1_1,"Foreign exchange swap and forward markets have also improved , as a result of the Fed 's Term Auction Facility TAF , central bank currency swap arrangements , and effectively unlimited funding from the ECB up to 1 year",0,0
20090903_1_2_1_1,major advanced economy central banks have reduced policy interest rates to close to the zero interest floor,0,0
20090903_1_9_1_1,"Term repo rates have declined in major advanced economies , as a result of both policy rate cuts and central bank operations",0,0
20090903_1_5_1_1,There is evidence,0,0
20090903_1_17_1_2,"as economies recover and output gaps are reduced ,",,
20090903_1_16_1_2,"where financing conditions are easing and exchange rates have appreciated , there may be scope for with limited policy easing to support a resumption of growth G-20",,
20090903_1_8_1_1,"Nonetheless , they still remain wider than their pre-crisis levels , partly signifying the limits of central bank liquidity operations",,
20090903_1_23_1_1,"This risk is limited over the near term ,",0,0
20130905_1_22_1_1,and more efforts to better anchor expectations may be required,0,0
20130905_1_1_1_1,"More policy ambition and cooperation are needed to achieve the G-20 's shared objectives of strong , sustainable , and balanced growth",,
20130905_1_4_1_1,"A heavy reliance on unconventional monetary policy UMP , for example , has had overall positive effects and has bought time but needs support from other policies to succeed",0,0
20130905_1_21_1_1,"Where still high inflationary pressures persist , including from supply bottlenecks for example , Brazil , India , and Indonesia , the scope for easing the monetary stance may be very limited",-1,1
20130905_1_13_1_1,"In the euro area , bank balance",,
20130905_1_2_1_1,The problems facing the global economy are complex,,
20130905_1_12_1_2,"not under market pressure , achieving structural fiscal targets and allowing automatic stabilizers to play freely is key",-9,-9
20130905_1_19_1_1,"In particular : Monetary policy responses , more generally , to external pressures will depend on country conditions and frameworks",0,0
20130905_1_20_1_1,"Cyclical weakening calls for monetary policy easing , or less tightening , for those economies",1,1
20130905_1_13_1_2,"sheet repair remain essential to restore confidence and revive credit growth ,",,
20130905_1_13_2_1,"policymakers should make further progress on banking union through a Single Supervisory Mechanism and a Single Resolution Mechanism , and advance structural reforms",,
20130905_1_18_1_1,"pursue structural reforms to boost jobs and growth , with the appropriate country-specific policy mix depending on their respective circumstances",,
20130905_1_6_1_2,"while exceptional monetary accommodation , including through UMP , continues to provide important support to the recovery , potential side effects should be monitored closely and addressed",0,0
20130905_1_15_1_1,"In emerging economies , cyclical positions and vulnerabilities vary across countries , with some facing more intense market pressures ,",0,0
20130905_1_6_1_3,as needed,0,0
20130905_1_9_1_1,"At the same time , progress on other fronts is crucial",0,0
20130905_1_16_1_1,"In general , policy responses should be anchored by sound and credible monetary policy frameworks",0,0
20130905_1_3_1_1,"In an environment of ongoing but incomplete transition to financial stability , changing growth dynamics and concerns about slow growth and high unemployment , achieving a better policy mix is important",0,0
20130905_1_15_2_1,policy responses will need to be country specific,,
20130905_1_21_2_1,it may need to be tightened,,
20130905_1_11_1_1,"This should be anchored by credible plans for debt reduction notably , for the United States and Japan",0,0
20130905_1_14_1_1,"Additional unconventional monetary support targeted long term refinancing operations , lower collateral haircuts could also help reduce fragmentation and restore monetary transmission",1,1
20130905_1_7_1_1,Clear communication of central bank intentions is vital to help avoid new financial excesses or abrupt reversals of capital flows,0,0
20130905_1_8_1_1,"There is scope for better cooperation on withdrawal of UMP , especially through wider central bank discussions of exit plans",0,0
20130905_1_6_1_1,"In advanced economies ,",0,0
20130905_1_2_2_1,joint action can help,,
20130905_1_12_1_1,For economies,-9,-9
20130905_1_10_1_1,"In particular , implementing a measured pace of fiscal tightening based on a consolidation mix that is supportive of medium - term growth including entitlement reform remains central",-9,-9
20130905_1_20_1_2,where inflation and expectations are well anchored to provide room for maneuver,0,0
20130905_1_5_1_1,"Widespread financial , fiscal , and structural impediments need to be addressed to bolster growth and financial stability",0,0
20130905_1_22_1_2,where strong nominal anchors are not well established .,0,0
20130905_1_17_1_1,allow exchange rate adjustment,-9,-9
20100904_1_11_1_1,Fiscal adjustment needs to begin in 2011,-9,-9
20100904_1_14_1_1,"Accordingly , in countries with fiscal room , automatic stabilizers should be allowed to play freely ,",,
20100904_1_21_1_1,"Policy rates in major advanced economies are exceptionally low ,",,
20100904_1_18_1_1,"Reflecting market concerns , vulnerable economies have front-loaded fiscal adjustment",-9,-9
20100904_1_4_1_1,"Insufficient progress with repair and reform is weighing on credit , and slowing the normalization of monetary and fiscal policies , with adverse spillovers on emerging economies",0,0
20100904_1_22_2_1,these central banks have signaled caution in further tightening given,,
20100904_1_15_1_2,to sustain recovery in these countries some of the consolidation planned for 2011 might also have to be temporarily postponed,,
20100904_1_17_1_2,"G-20 advanced economies , public debt sustainability requires exits from crisis-induced policies as well as broader adjustments to improve net debt levels",-9,-9
20100904_1_7_1_2,that lower deficits over the medium-term,0,0
20100904_1_22_2_2,increased downside risks to the global economy,0,0
20100904_1_6_1_1,Government budgetary policies are in the process of moving from short-term stimulus to medium-term consolidation,,
20100904_1_16_1_1,"The timing , pace , and sequence of exiting from supportive policies will vary by country , depending on how robust the recovery of private demand as well as financial conditions",0,0
20100904_1_8_1_1,"This is needed not only to halt and ultimately reverse the large rise in public debt ratios , but also to help create room for policy maneuver to support private demand",0,0
20100904_1_22_1_1,"A tightening cycle has begun in other advanced economies for example , Australia , Canada , Korea ,",,
20100904_1_13_1_1,"If downside risks to global growth materialize , threatening to slow growth appreciably more than expected , monetary policy should be the first line of defense ,",0,0
20100904_1_17_1_1,In most,-9,-9
20100904_1_13_1_2,although this line has become thin,0,0
20100904_1_3_1_1,"In many advanced economies , the financial sector remains the Achilles heel of recovery prospects for private demand",0,0
20100904_1_1_1_1,"Short - and medium-term prospects point to a slow , sluggish recovery",-9,-9
20100904_1_9_1_1,"Additionally , fiscal adjustment needs to be supported with structural reform",-9,-9
20100904_1_15_1_1,"Additionally ,",,
20100904_1_5_1_1,financial sector restructuring and reform should thus be top priorities,0,0
20100904_1_7_1_1,"However , fiscal policies need to urgently deliver measures",0,0
20100904_1_23_1_1,"In emerging economies , the central banks of Brazil and India have raised policy rates given the pace of output recoveries ,",-9,-9
20100904_1_14_2_1,"where stabilizers are small , temporary support , such as extended unemployment benefits or wage subsidies , could be continued",0,0
20100904_1_2_1_1,Policies need to accelerate the rebalancing of demand from public to private sources in advanced economies and from external deficit to surplus economies,0,0
20100904_1_12_1_1,"Fiscal consolidation remains essential for strong , sustained growth over the medium run",-9,-9
20100904_1_19_1_1,"There is increasing divergence in the monetary policy stances between advanced and emerging economies , reflecting macroeconomic developments ,",0,0
20100904_1_21_2_1,markets expect them to remain low for an extended period,,
20100904_1_20_1_1,Monetary policy has remained highly accommodative in many economies,0,0
20100904_1_1_1_2,that is subject to mainly downside risks,-9,-9
20100904_1_23_2_1,"others , such as Russia , have maintained rates or even reduced them .",-9,-9
20100904_1_10_1_1,"that eliminate distortions to domestic demand in key emerging economies would strengthen prospects for external demand rebalancing , supporting a more robust recovery in both emerging and advanced economies",0,0
20100904_1_19_1_2,while financial sector support has been extended in some European countries,0,0
20110415_1_2_1_1,"Notwithstanding recent rate hikes in some emerging economies , real interest rates remain far below precrisis levels and hence too low",-1,1
20110415_1_4_1_1,Accelerate fiscal consolidation,-9,-9
20110415_1_10_1_2,"that are operating closer to , or above , capacity .",0,0
20110415_1_10_1_1,"In emerging economies , monetary policy may need to respond more sensitively to first-round inflation shocks from higher commodity prices due to higher pass-through mainly for food prices , less so for energy , less well-anchored inflation expectations , and economies",-1,1
20110415_1_1_2_1,", notably in key surplus economies , allow for greater exchange rate flexibility",,
20110415_1_9_1_1,"Capital controls can be used in some cases ,",,
20110415_1_9_2_1,they should not substitute for necessary macroeconomic and prudential policies,,
20110415_1_6_1_2,"which could rebuild policy space , restrain widening current account deficits , and reduce net capital inflow pressures",-9,-9
20110415_1_6_1_1,"In external deficit economies , fiscal tightening would take some of the adjustment burden from monetary policy and the exchange rate , and allow for lower interest rates , all else equal ,",-9,-9
20110415_1_5_1_2,even though output growth and capacity utilization would continue to be above pre-crisis trend,,
20110415_1_7_1_1,"Manage capital flows by fully utilizing macroeconomic and prudential tools , tailored to country-specific circumstances",-9,-9
20110415_1_5_1_1,"Current projections are for a limited decline in budget deficits of emerging economies in 2011 and 2012 ,",0,0
20110415_1_1_1_1,Tighten monetary policy,,
20110415_1_3_1_1,"Greater exchange rate appreciation would dampen inflationary pressures , including from world commodity prices , introduce more two-way risk for capital inflows , and facilitate external rebalancing in surplus economies",,
20110415_1_8_1_1,"If inflows raise macro - and financial-stability concerns , macroeconomic policies for example , adjusting the fiscal-monetary policy mix , exchange rate appreciation , and some reserve accumulation should be complemented with strengthened prudential measures for example , loan to value ratios , funding composition restrictions",,
20130221_1_7_1_1,"Nevertheless , there is a concern about diminishing effectiveness of unconventional actions , their side effects for example , volatile capital flows , and potential difficulties related to unwinding them",0,0
20130221_1_1_1_1,"In the euro area , EMU-wide policies should support individual countries ' efforts to repair public and private balance sheets and implement structural reforms to restore competitiveness",,
20130221_1_6_1_2,central banks have the tools needed to mop up liquidity and tighten their policy stance,,
20130221_1_14_1_1,Policymakers in Brazil should begin unwinding monetary stimulus,-1,1
20130221_1_16_1_1,"In countries with still-elevated credit growth , supervisory and macro - prudential measures should be deployed to curb sectoral excesses .",,
20130221_1_6_1_3,should inflation expectations unexpectedly rise,0,0
20130221_1_9_1_1,"In the United States , further repair of household balance sheets is needed , as middle - income households ,",,
20130221_1_9_1_2,"who were hurt severely by the housing bust , have made limited progress in repairing their balance sheets",0,0
20130221_1_5_1_2,policy in the major advanced economies should remain accommodative,0,0
20130221_1_3_1_1,credit spreads in the periphery is essential to improve the transmission of monetary policy as well as foster sustainable growth,,
20130221_1_12_1_3,while others may have to take measures to gradually tighten financial conditions,-1,1
20130221_1_14_1_2,as the recovery proceeds to ensure,0,0
20130221_1_10_1_1,"In the euro area , improving the effectiveness of monetary policy will require the broad range of policies discussed above to reverse financial fragmentation",0,0
20130221_1_15_1_3,where currencies are undervalued,0,0
20130221_1_6_1_1,Fears of high inflation appear overstated,,
20130221_1_5_1_1,Key elements are Monetary,0,0
20130221_1_8_1_1,"While advanced economy central banks can likely address short - term issues related to policy normalization given their large balance sheets , they should continue to monitor any unintended consequences of their policies on sovereign-bank linkages , corporate leverage , financial innovation , international capital flows , and asset price bubbles",,
20130221_1_12_1_2,"if downside risks materialize ,",0,0
20130221_1_15_1_2,"where strong credit expansion continues , or",0,0
20130221_1_12_1_1,Some emerging economies can afford to maintain current monetary policy settings or ease,1,1
20130221_1_2_1_1,"Reversing financial fragmentation for example , reducing financial home bias , improving cross-border bank flows",,
20130221_1_15_1_1,Room for monetary easing is also more limited,0,1
20130221_1_11_1_1,"In the meantime , there is some room for a lower policy rate",1,1
20130221_1_13_1_1,Some emerging economies should remain watchful of inflationary pressures and should not lower interest rates further,0,1
20130221_1_4_1_1,This will require making tangible progress toward a genuine economic monetary union starting with a banking union with greater fiscal integration,0,0
20130221_1_14_1_3,inflation expectations remain well anchored,0,0
20110709_1_12_1_1,More Tightening in Emerging Economies,-9,-9
20110709_1_15_1_1,There monetary,,
20110709_1_13_1_2,"that growth has slowed , and planned fiscal consolidation , current monetary policy accommodation should remain as long",0,0
20110709_1_7_1_3,there is room for further consolidation,,
20110709_1_7_1_1,In such economies,,
20110709_1_12_1_2,"In most advanced economies , monetary policy should stay accommodative",-9,-9
20110709_1_5_2_1,the window of opportunity to prepare the financial system against potential systemic shocks could close unexpectedly,,
20110709_1_14_1_1,A number of emerging market economies are already operating at or above capacity,0,0
20110709_1_19_1_1,Monetary authorities need to prevent such rises from generating successive wage-price increases,,
20110709_1_13_1_1,"Given excess capacity , recent signs",0,0
20110709_1_15_1_2,"policy tightening is needed , along with greater exchange rate flexibility and the use of macroprudential tools",,
20110709_1_20_1_2,where the credibility of monetary policy is high,0,0
20110709_1_5_1_1,"Vulnerabilities are currently masked by unusually accommodative monetary conditions ,",,
20110709_1_10_1_3,which dampens the supply response and amplifies global price volatility,0,0
20110709_1_13_1_3,as medium-term inflation expectations remain well-anchored,,
20110709_1_8_1_1,This will take pressure off monetary and prudential policies and create fiscal space to respond to future shocks,0,0
20110709_1_17_1_1,"Thus , policy tightening will have to continue",0,0
20110709_1_18_1_1,Dealing with commodity price rises poses a particular challenge,0,0
