,sentence,fiscal_stance,fiscal_analysis,economic_condition,monetary_policy,other_policies,risk
36,fiscal deficit need be consolidate bring public finance sustainable trajectory loom demographic pressure spending,1,0,0,0,0,0
37,go strategy ensure fiscal solvency be base firm commitment clear strategy contain aging-related spending advanced economy growth-enhancing structural reform fiscal policy cast medium-term fiscal framework supportive institutional arrangement envisage gradual fiscal correction economic condition improve,1,0,0,0,0,0
38,successful strategy ensure public debt be keep sustainable path need include measure contain aging-related spending,1,0,0,0,0,0
39,crisis country exist fiscal rule have most part retain case make use escape clause crisis have test resilience highlight importance built-in flexibility avoid tighten recession,0,1,0,0,0,0
40,instance EU stability growth Pact have be flexible accommodate envisage fiscal response crisis,0,1,0,0,0,0
41,current policy spend pension health care be project increase next decade advanced economy,0,1,0,0,0,0
42,owe pressure exist global financial economic crisis attain give primary surplus present greater challenge past,0,1,0,0,0,0
43,entitlement reform area pension health care play key role respects,1,0,0,0,0,0
44,reform reduce trajectory aging-related spending contribute improve prospects primary balance help contain debt-to-gdp ratio,1,0,0,0,0,0
45,extent project debt-to-gdp ratio be view sustainable depend part outlook pension health care expenditure longer run,1,0,0,0,0,0
46,reform improve long-run outlook other thing equal permit less ambitious reduction debt-to-gdp ratio come year,1,0,0,0,0,0
47,medium-term fiscal framework play role recover high debt position,1,0,0,0,0,0
48,explicit medium-term fiscal target help provide clear indication country authority perceive desirable fiscal policy path,1,0,0,0,0,0
49,such target help anchor market expectation be set buttress appropriate institutional framework,1,0,0,0,0,0
50,example medium-term expenditure framework set multi-year limit aggregate ministerial program level order translate overall objective budget decision,0,0,0,0,1,0
51,g-20 country have provide substantial fiscal stimulus implement have sizeable impact growth,0,1,0,0,0,0
52,be base firm commitment clear strategy contain aging-related spending advanced economy growth-enhancing structural reform fiscal policy cast medium-term fiscal framework supportive institutional arrangement envisage gradual fiscal correction economic condition improve,1,0,0,0,0,0
53,reform area play key role improve prospects primary balance help contain debt-to-gdp ratio bolster confidence fiscal sustainability help limit increase bond yield,1,0,0,0,0,0
54,Comprehensive medium-term macroeconomic strategy be announce be feasible anchor expectation credible path debt deficit reduction,1,0,0,0,0,0
55,crisis country exist fiscal rule example EU stability growth Pact have retain case make use escape clause,0,1,0,0,0,0
56,crisis have test resilience highlight importance built-in flexibility,0,1,0,0,0,0
57,entitlement reform need be put place underpin fiscal sustainability,1,0,0,0,0,0
58,Planned crisis-related discretionary measure be estimate percent GDP percent GDP,0,1,0,0,0,0
59,full progress report implementation fiscal stimulus package g-20 country date be difficult give operational challenge reporting limited specific information,0,0,0,0,1,0
60,general implementation rate be report be higher revenue measure social transfer lower infrastructure project,0,0,0,0,1,0
61,contribute cross-country variation overall implementation composition stimulus differ country,0,0,0,0,1,0
62,crisis be have substantial impact fiscal position g-20 country overall deficit project increase percentage point percentage point gdp pre-crisis level,0,1,0,0,0,0
63,considerable fiscal stimulus remain pipeline g-20 whole be implement maximize impact growth employment,1,0,0,0,0,0
64,stimulus measure implement tax break transfer payment have lower multiplier,0,1,0,0,0,0
65,implementation higher multiplier item be likely pick second half infrastructure suggest growth employment impact increase remainder year,0,1,0,0,0,0
66,estimate growth impact range percentage point percentage point respect previous year,0,0,1,0,0,0
67,go strategy ensure fiscal solvency be articulate,1,0,0,0,0,0
68,overall pace policy adjustment removal financial support depend strength recovery private demand country endure financial stability,1,0,0,0,0,0
69,achievement sustained economic growth require role public sector economy include financial sector be restore support private market base financial intermediation,0,0,0,0,1,0
70,market base principle pricing play role reduce use support measure full removal,0,0,0,0,1,0
71,principle exception fiscal consolidation be top policy priority,1,0,0,0,0,0
72,monetary policy be able adjust achieve desire level overall stimulus,0,0,0,1,0,0
73,commentary achieve fiscal sustainability be complex process take longer normalize monetary policy,0,1,0,0,0,0
74,Monetary policy respond achieve desire level overall stimulus fiscal retrenchment begin,0,0,0,1,0,0
75,strategy fiscal consolidation be outline communicate,1,0,0,0,0,0
76,deficit-reducing debt management measure commence private demand begin recover,1,0,0,0,0,0
77,be advisable consider relative scale policy adjustment require manage risk economic financial recovery,1,0,0,0,0,0
78,most country risk present keep stimulus place suggest adjustment be key priority,1,0,0,0,0,0
79,maintain fiscal stimulus longer need have obvious immediate consequence debt accumulation,0,1,0,0,0,0
80,many advanced economy monetary policy afford remain accommodative extended period give subdue price pressure,0,0,0,1,0,0
81,suggest timing exit be country specific coordination specific front be desirable,0,0,0,0,1,0
82,number emerge economy contrast monetary policy have tighten be synchronous lead fiscal consolidation be sign rise inflation incipient financial vulnerability include credit boom,0,0,0,1,0,0
83,challenge place fiscal policy sustainable path political economic be greater normalize monetary policy,0,1,0,0,0,0
84,scale fiscal adjustment require ensure fiscal sustainability be large advanced economy,0,1,0,0,0,0
85,suggest fiscal policy change have long-term effect do affect economic recovery short term such entitlement reform strengthen fiscal framework institution be implement enhance credibility,1,0,0,0,0,0
86,principle fiscal exit strategy be transparent comprehensive communicate goal lower public debt prudent level clearly-specified timeframe,1,0,0,0,0,0
87,commentary high degree transparency fiscal account be important,1,0,0,0,0,0
88,requirement include comprehensive assessment fiscal risk include arise possible additional support financial sector volatility interest rate guarantee public-private partnership,0,0,0,0,0,1
89,measure strengthen finances operation subnational government public enterprise be need country,1,0,0,0,0,0
90,general government balance be target deficit debt subnational government institution have same macroeconomic financial solvency effect central government,1,0,0,0,0,0
91,action bolster fiscal framework institution include reform budgetary process more frequent comprehensive reporting requirement medium-term expenditure framework fiscal rule,1,0,0,0,0,0
92,most country fiscal consolidation be top priority,1,0,0,0,0,0
93,monetary policy able adjust more achieve desire level overall stimulus,0,0,0,1,0,0
94,targeting appropriate debt ratio GDP take account longer-term spending pressure help build public awareness address market concern regard fiscal sustainability,0,1,0,0,0,0
95,stabilize debt ratio likely post-crisis level be sufficient,0,1,0,0,0,0
96,be true economy face rise pressure public finances key entitlement program demographic change,0,1,0,0,0,0
97,high debt ratio impede fiscal flexibility raise interest rate,0,1,0,0,0,0
98,appropriate debt ratio need take country-specific characteristic account,0,1,0,0,0,0
99,include composition debt currency maturity depth domestic financial market diversification investor base,0,1,0,0,0,0
100,many advanced economy target gradual return gross debt ratio percent median level crisis be appropriate,1,0,0,0,0,0
101,reform entitlement other expenditure revenue prerequisite attain target maintain time,0,1,0,0,0,0
102,target emerge economy need take account lower market tolerance high public debt,1,0,0,0,0,0
103,high debt level require better debt structure example spread-out maturity,0,0,0,0,1,0
104,be need ensure adequate recovery value asset acquire crisis cover central bank loss manage contingent liability minimize realization .2,0,0,0,0,1,0
105,scale fiscal adjustment require be large ensure debt sustainability restore room policy maneuver advanced economy,1,0,0,0,0,0
106,fiscal reform have long-term effect do affect economic recovery short-term such entitlement reform be implement enhance credibility,1,0,0,0,0,0
107,current difference monetary policy condition give rise larger capital inflow emerge market country accentuate need policy encourage rebalance global source demand,0,0,0,1,0,0
108,principle lay be intend establish common ground design implementation policy exit extraordinary support measure take crisis,0,0,0,0,1,0
109,exit strategy pave way strong stable balanced economic growth,0,0,0,0,1,0
110,need be base price financial stability fiscal debt sustainability central bank independence structural reform enhance growth include new approach financial regulation enhance supervision,0,0,0,0,1,0
111,major advanced g-20 economy be need continued policy stimulus private demand gather sustainable momentum,0,0,0,0,1,0
112,recovery remain sluggish fragile recent uptick growth prospects,0,0,1,0,0,0
113,tightening fiscal stance help monetary debt management,1,0,0,0,0,0
114,monetary tightening contribute worsening fiscal position,0,1,0,0,0,0
115,balance fiscal consolidation take priority else give,1,0,0,0,0,0
116,achieve fiscal sustainability be difficult prolonged process make imperative consolidation begin be clear evidence self-sustaining recovery,1,0,0,0,0,0
117,give path fiscal policy monetary policy be set achieve desire level overall stimulus tighten need counter inflationary risk maintain price stability,0,0,0,1,0,0
118,provision fiscal support need be maintain recovery gain solid footing advance G-20 government lay credible mediumterm plan reduce public debt ratio,1,0,0,0,0,0
119,start implement element medium-term plan do impact demand,1,0,0,0,0,0
120,include strengthen fiscal institution increase likelihood fiscal adjustment take place undertake reform entitlement spending do depress consumption such increase retirement age be phase,1,0,0,0,0,0
121,failure implement measure threaten fiscal sustainability reduce growth prospects,0,1,0,0,0,0
122,achieve fiscal sustainability authority need credible medium-term fiscal policy strategy entail clear timeframe bring gross debt GDP ratio sustainable level take account longer-term spending pressure,1,0,0,0,0,0
123,stabilize debt ratio likely post-crisis level be sufficient high debt ratio impede fiscal flexibility raise economy-wide interest rate constrain growth,0,1,0,0,0,0
124,central bank maintain low interest rate time give underlie inflation be expect remain subdue unemployment,0,0,0,1,0,0
125,appropriate debt target depend economy-specific characteristic include debt composition depth domestic financial market vulnerability shock diversification investor base,1,0,0,0,0,0
126,sustained adjustment primary structural balance,0,0,0,0,1,0
127,experience past large consolidation indicate be key element successful reduction debt ratio,0,1,0,0,0,0
128,advanced economy primary balance adjustment require next year return debt ratio percent GDP percent GDP Japan be order percentage point gdp deficit percent GDP surplus percent GDP keep level follow decade,0,1,0,0,0,0
129,wind fiscal stimulus measure provide only percent GDP,0,1,0,0,0,0
130,additional fiscal measure be need example reform pension healthcare entitlement,1,0,0,0,0,0
131,strong fiscal policy framework institution comprehensive coverage public sector,0,0,0,0,1,0
132,adopt strengthen fiscal rule explicit fiscal target monitoring independent fiscal agency help shore necessary broad consensus anchor expectation guide fiscal policy implementation medium term,1,0,0,0,0,0
133,fiscal policy need remain supportive economic activity near term,1,0,0,0,0,0
134,fiscal stimulus plan be implement,1,0,0,0,0,0
135,fiscal impulse start be withdraw economy market be lose confidence fiscal sustainability tighten start earlier,1,0,0,0,0,0
136,context high unemployment be merit consider new policy initiative aim boost job creation country,0,0,0,0,1,0
137,such measure be cast framework ensure sound medium-term fiscal balance,1,0,0,0,0,0
138,most advanced g-20 economy ensure fiscal sustainability be key priority policy challenge light surge government debt level,1,0,0,0,0,0
139,maintain expansionary fiscal stance have clear direct impact build-up debt,0,1,0,0,0,0
140,maintain accommodative monetary policy stance be reverse have few obvious direct downside,0,0,0,1,0,0
141,important risk policy stance current low inflationary environment be potential liquidity spillover domestic asset market emerge economy,0,0,0,1,0,0
142,many g-20 country restore fiscal sustainability be top priority policy challenge light surge government debt level,1,0,0,0,0,0
143,accommodative monetary policy do have such automatic consequence be reverse,0,0,0,1,0,0
144,current juncture inflationary pressure appear contain,0,0,1,0,0,0
145,fiscal policy adjustment have long lead time relative monetary policy,0,1,0,0,0,0
146,plan fiscal consolidation take priority else give,1,0,0,0,0,0
147,many advanced g-20 economy authority need devise communicate credible medium-term fiscal policy strategy,1,0,0,0,0,0
148,strategy include clear timeframe reduce gross debt-to-gdp ratio sustainable level,1,0,0,0,0,0
149,return debt ratio advanced economy prudent level example percent advanced-economy gdp median level debt advanced economy crisis require adjustment order percentage point gdp next year,0,1,0,0,0,0
150,fiscal measure seek increase economy medium-run growth potential,0,0,0,0,1,0
151,wind fiscal stimulus measure provide only percent GDP,0,1,0,0,0,0
152,entitlement reform improvement tax expenditure policy help attain fiscal sustainability promote medium-run growth,1,0,0,0,0,0
153,strong fiscal policy framework institution comprehensive coverage public sector,0,0,0,0,1,0
154,ensure fiscal sustainability depend ensure growth,0,1,0,0,0,0
155,provision fiscal support need be maintain be clear sign self-sustaining recovery,1,0,0,0,0,0
156,adopt strengthen fiscal rule explicit fiscal target monitoring independent fiscal agency help shore necessary broad consensus anchor expectation guide fiscal policy implementation medium term,1,0,0,0,0,0
157,fiscal consolidation need gain rapid momentum advanced economy,1,0,0,0,0,0
158,major emerge economy need return medium-term fiscal consideration recovery be establish,1,0,0,0,0,0
159,many advanced g-20 economy substantial consolidation be need ensure fiscal sustainability foster medium-and-long-term growth restore fiscal space future need,1,0,0,0,0,0
160,be important United States give important role global financial market other advanced economy affect sovereign risk premium other country,0,0,1,0,0,0
161,backdrop exit fiscal stimulus general take priority other policy advanced economy,1,0,0,0,0,0
162,sequencing exit crisis-related policy fiscal policy take priority,1,0,0,0,0,0
163,maintain expansionary fiscal stance have direct impact build-up debt,0,1,0,0,0,0
164,recent turmoil euro area debt market highlight grow market sensitivity sovereign risk,0,0,0,0,0,1
165,elaborate medium-term fiscal adjustment legislating reform pension entitlement public health care system make permanent reduction nonentitlement spending strengthen fiscal institution be imperative,1,0,0,0,0,0
166,example gradual increase age eligibility pension have immediate benefit fiscal sustainability allow household time adjust longer expect work life,0,1,0,0,0,0
167,medium-term reform include strengthen fiscal institution example fiscal rule medium-term fiscal framework support durable fiscal effort,1,0,0,0,0,0
168,near-term perspective g-20 advanced economy do need tighten,1,0,0,0,0,0
169,undermine fledgling recovery,0,0,1,0,0,0
170,add further stimulus,1,0,0,0,0,0
171,specifics vary country current fiscal consolidation plan group country envisage average adjustment percentage point gdp adjust balance be appropriate,1,0,0,0,0,0
172,country face sovereign funding pressure have begin embark immediate fiscal consolidation,0,1,0,0,0,0
173,give market pressure economy euro area need tighten fiscal policy expect include upfront measure difficult,1,0,0,0,0,0
174,important consolidation step take number country need be complement reform euro area fiscal framework include deficit rule have credible enforcement mechanism,1,0,0,0,0,0
175,country be unable commit medium-term consolidation find adverse market reaction compel undertake front-loaded adjustment,0,1,0,0,0,0
176,most advanced g-20 economy fiscal tightening be require,1,0,0,0,0,0
177,challenge fiscal policy be reduce public debt encourage growth,0,1,0,0,0,0
178,fiscal measure be complement measure reduce fragility banking system growth-enhancing structural reform,0,0,0,0,1,0
179,Greater global policy coordination crisis resolution mechanism be need resolve crisis durable basis,0,0,0,0,1,0
180,challenge fiscal policy be reduce high public debt prudent level encourage growth,0,1,0,0,0,0
181,fiscal consolidation need be anchor credible medium-term plan adjustment near-term depend country circumstance pace recovery risk loss fiscal credibility,1,0,0,0,0,0
182,particular authority need avoid loss credibility arise appear unable unwilling address market concern course fiscal policy excessive tightening fiscal policy near term,1,0,0,0,0,0
183,have severe implication growth,0,0,1,0,0,0
184,be overarching importance g-20 country commit credible mediumterm fiscal adjustment plan include legislation create multi-year target,1,0,0,0,0,0
185,drive strong credible consolidation public finances be return sustainable trajectory G-20 advance economy,0,1,0,0,0,0
186,assume base case scenario materialize analysis identify key weakness,0,0,0,0,1,0
187,supply labor capital elastic longer term consumption demand be inelastic shift tax burden consumption reduce distortion boost output,0,0,0,0,1,0
188,particular fiscal consolidation be assess be insufficient address sustainability issue number advanced economy,0,1,0,0,0,0
189,rebalancing global demand be view be strong sustain high global growth achieve low unemployment,0,0,0,0,1,0
190,be assess stronger effort repair reform financial system be need support G-20 growth objective safeguard financial stability,0,0,0,0,1,0
191,set policy option strengthen g-20 outcome require collaborative action membership,0,0,0,0,1,0
192,major policy action consider g-20 include growth-friendly fiscal consolidation advanced economy structural reform include strengthen social safety net sustained infrastructure spending emerge surplus economy accompany increase exchange rate flexibility structural reform advanced economy tackle high unemployment weaker potential output follow crisis,0,0,0,0,1,0
193,policy layer be motivate follow,0,0,0,0,1,0
194,be press need general fiscal consolidation G-20 advance economy,1,0,0,0,0,0
195,base case fiscal deficit debt level advanced economy be project remain large favorable macroeconomic outcome,0,1,0,0,0,0
196,weigh recovery further raise market pressure environment elevated uncertainty sovereign debt risk,0,0,0,0,0,1
197,credible consolidation plan design be growth friendly mitigate dampening effect domestic demand,0,1,0,0,0,0
198,element alternative policy scenario consider fiscal consolidation economy large fiscal external deficit,1,0,0,0,0,0
199,consolidation plan be strong credible extent possible supportive growth,1,0,0,0,0,0
200,seem require sufficient scale adjustment efficient redistribution tax burden allocation spending clear effective communication credible coherent fiscal consolidation strategy,1,0,0,0,0,0
201,fiscal consolidation restore sustainability advanced economy,1,0,0,0,0,0
202,upside scenario fiscal adjustment be underpin extent possible sound growth-friendly policy underscore role credibility,0,1,0,0,0,0
203,restore sustainability public finances mitigate impact growth core element fiscal consolidation be instrumental sufficient scale improve primary fiscal balance stabilize public debt prudent level give growth interest rate composition fiscal measure mitigate dampening effect demand include entitlement reform strengthen credibility fiscal plan include clear effective communication market participant align market expectation authority medium-term consolidation strategy,1,0,0,0,0,0
204,key aspect component be elaborate,0,0,0,0,1,0
205,stabilize public debt prudent level scale fiscal adjustment need be strong account country-specific need,1,0,0,0,0,0
206,major fiscal consolidation be need year g-20 economy high public deficit debt,1,0,0,0,0,0
207,different economic circumstance policy need advanced economy determine timing magnitude composition consolidation individual country level,0,1,0,0,0,0
208,reduce public debt more prudent example pre-crisis level medium term be desirable several reason include need rebuild fiscal space deal future shock higher interest rate lower potential growth give high public debt need prepare formidable longer-term challenge public finances rise health care cost aging,1,0,0,0,0,0
209,assume fiscal consolidation scenario be line stabilize public debt-to-gdp ratio pre-crisis level,0,1,0,0,0,0
210,Monetary policy accommodation be maintain extended period help support activity,0,0,0,1,0,0
211,inflation remain contain fiscal balance be strengthen,0,0,1,0,0,0
212,total fiscal adjustment upside include be baseline g-20 policy framework amount percent GDP advanced deficit advance surplus economy,0,1,0,0,0,0
213,first layer upside scenario consider follow additional stylized budgetary action see Box,0,1,0,0,0,0
214,advanced deficit country represent United States model advanced surplus country represent Japan model additional fiscal deficit reduction percentage point be phase year reflect lower government consumption percent GDP lower general government transfer percent GDP higher tax revenue percentage point GDP mitigate dampening effect demand composition fiscal adjustment be important,0,1,0,0,0,0
215,design fiscal consolidation plan be growth friendly extent possible term composition,1,0,0,0,0,0
216,minimize tax distortion be key principle design,1,0,0,0,0,0
217,realm be many possible option indicative set policy consider be follow,0,0,0,0,1,0
218,recognize effect fiscal consolidation depend composition expenditure tax instrument model examine impact lower tax capital labor higher tax consumption entitlement reform lower transfer cut government consumption,0,1,0,0,0,0
219,a shift payroll consumption tax facilitate fiscal consolidation increase medium-term potential output,0,1,0,0,0,0
220,tax increase be unavoidable be do least distortionary manner possible,1,0,0,0,0,0
221,example shift payroll tax consumption tax VAT depend country circumstance facilitate fiscal consolidation increase employment potential output,0,1,0,0,0,0
222,other avenue be consider be model include eliminate exist tax distortion include relate treatment financial leverage energy consumption,0,1,0,0,0,0
223,shift tax composition part consolidation increase overall tax revenue percent GDP be design follow United States block model consumption tax revenue increase percent GDP equivalent increase consumption tax rate percentage point labor capital income tax revenue decrease percent GDP equivalent cut percentage point underlie effective tax rate,0,1,0,0,0,0
224,credible fiscal consolidation medium term underpin high-quality measure sufficient magnitude be top priority advanced deficit economy give sovereign debt market stress other fiscal risk,1,0,0,0,0,0
225,credibility be critical element successful fiscal adjustment,0,1,0,0,0,0
226,credibility be define term private sector believe certain policy action,0,1,0,0,0,0
227,less-than-full credibility fiscal plan private expectation anticipate reversal slippage consolidation,0,1,0,0,0,0
228,investor consumer doubt package be implement investment employment response near term be weaker,0,1,0,0,0,0
229,economic agent gain confidence fiscal implementation expectation align goal fully-credible consolidation strategy,0,1,0,0,0,0
230,growth-enhancing effect example lower interest rate fiscal package be realize,0,1,0,0,0,0
231,clear effective communication coherent consolidation plan strengthening budgetary institution framework help fiscal credibility visà-vi private sector,0,1,0,0,0,0
232,upside scenario fiscal policy be assume gain credibility time,0,1,0,0,0,0
233,applicable additional consolidation start be assume relative plan g-20 policy framework,0,1,0,0,0,0
234,measure be phase year policy gain full credibility third year consolidation plan,0,1,0,0,0,0
235,private expectation model align authority fiscal consolidation objective point onward,0,1,0,0,0,0
236,substantial budgetary effort be require restore fiscal soundness rebuild market confidence,0,1,0,0,0,0
237,scenario show fiscal consolidation supportive growth medium term advanced g-20 economy dampen growth short run include G-20 partner country figure,0,1,0,0,0,0
238,advanced economy simulated fiscal consolidation lower real gdp relative baseline reflect lower disposable income aggregate demand,0,1,0,0,0,0
239,Monetary policy mitigate slowdown remain accommodative relative baseline,0,0,0,1,0,0
240,credibility fiscal policy increase time private spending be crowd,0,1,0,0,0,0
241,investment employment increase economic activity gain momentum result higher real gdp relative baseline medium term,0,1,0,0,0,0
242,emerge Asia ROW real gdp remain lower relative baseline projection horizon give high export dependence,0,1,0,0,0,0
243,weaker external demand relative baseline advanced partner offset benefit lower interest rate,0,0,0,0,1,0
244,case global rebalancing be strong,0,0,0,0,1,0
245,credible fiscal adjustment mitigate reverse decline domestic demand economy undergo consolidation,0,1,0,0,0,0
246,current account deficit narrow advanced deficit country match lower external surplus emerge advance surplus country,0,0,0,0,1,0
247,euro area current account be unchanged imbalance area narrow,0,0,0,0,1,0
248,regard credible coherent fiscal plan be communicate possible,1,0,0,0,0,0
249,global imbalance narrow global growth be lower,0,0,1,0,0,0
250,reflect insufficient rebalancing global demand,0,0,0,0,1,0
251,stronger fiscal consolidation allow monetary accommodation be maintain longer time help support activity,0,0,0,1,0,0
252,owe large credible fiscal consolidation sovereign risk premia long-term interest rate decline,0,0,0,0,0,1
253,combine lower capital income tax investment be crowd shift labor tax increase employment boost supply potential,0,0,0,0,1,0
254,monetary policy advanced economy afford stay accommodative extended period inflation pressure remain contain inflation expectation be anchor,0,0,0,1,0,0
255,fiscal action lower payroll tax other non-wage cost example social security contribution strengthen employment effect upside,0,1,0,0,0,0
256,risk surround fiscal sustainability heighten market concern have move front center,0,0,0,0,0,1
257,backdrop recent market development higher sovereign interest rate risk premia be key risk belong downside scenario,0,0,0,0,0,1
258,credible adjustment plan result sharp increase risk premia dampen growth affect economy impact public debt,0,0,0,0,0,1
259,Fund staff assessment macroeconomic policy framework submit g-20 member identify several economic policy issue key risk,0,1,0,0,0,0
260,credibility force fiscal adjustment be lower downside scenario likely affect impact private spending,0,1,0,0,0,0
261,weaker potential output have adverse implication fiscal position,0,1,0,0,0,0
262,advanced economy lower growth project map result lower tax revenue higher-than-projected fiscal deficit rise public debt burden high level,0,1,0,0,0,0
263,reinforce market concern debt sustainability,0,1,0,0,0,0
264,element constitute key element downside scenario,0,1,0,0,0,0
265,fiscal consolidation event deteriorate market sentiment lower potential output need be stronger front-loaded try reassure market,1,0,0,0,0,0
266,back lower potential public finances worsen give lower tax revenue automatic stabilizer push interest rate likely adverse feedback effect growth confidence,0,1,0,0,0,0
267,environment effectiveness fiscal adjustment be reduce,0,1,0,0,0,0
268,compare upside scenario larger fiscal consolidation be need ensure sustainability public finances,0,1,0,0,0,0
269,credibility be lack fiscal adjustment be force adverse market reaction reinforce mitigating negative demand effect,0,1,0,0,0,0
270,assessment find G-20 base case projection face value appear deliver strong sustainable balanced growth,0,1,0,0,0,0
271,box discuss stylized package fiscal policy design achieve fiscal consolidation support growth medium term,0,1,0,0,0,0
272,upside scenario explore role core element fiscal consolidation package,0,1,0,0,0,0
273,particular sufficient scale composition strengthen credibility fiscal plan follow line,0,1,0,0,0,0
274,scale composition package take account country-specific circumstance,1,0,0,0,0,0
275,timing magnitude consolidation be tie country circumstance,1,0,0,0,0,0
276,purpose upside scenario base Fund staff assessment fiscal consolidation need country region stylized fiscal package be construct follow United States,0,1,0,0,0,0
277,fiscal deficit be reduce percentage point GDP,0,1,0,0,0,0
278,lessen contractionary effect deficit reduction part be finance growthsupport shift composition taxation income consumption,0,1,0,0,0,0
279,reduction labor capital income tax percent GDP percentage point cut effective tax rate be more offset percent GDP increase consumption tax revenue increase consumption tax rate percentage point,0,1,0,0,0,0
280,rest deficit reduction be finance cut government consumption general government transfer percent GDP percent GDP,0,1,0,0,0,0
281,compare historical evidence relate recovery crisis staff analysis World Economic Outlook WEO growth projection appear optimistic,0,0,1,0,0,0
282,credibility be critical element successful fiscal adjustment,0,1,0,0,0,0
283,credibility be define term private sector believe fiscal policy action,0,1,0,0,0,0
284,partial credibility market anticipate reversal slippage consolidation investment employment response near term be weaker,0,0,0,0,1,0
285,economic agent have full credibility fiscal plan growth-enhancing effect example lower interest rate fiscal package be realize,0,1,0,0,0,0
286,upside scenario fiscal policy be assume gain credibility time,0,1,0,0,0,0
287,applicable start additional consolidation be assume relative plan g-20 policy framework measure be phase year policy gain full credibility third year consolidation plan onward private expectation model be align authority fiscal consolidation objective country,0,1,0,0,0,0
288,motivation above fiscal package be support growth medium term,0,1,0,0,0,0
289,near term growth decline relative refined baseline due negative multiplier effect lower government spending initial lack credibility,0,1,0,0,0,0
290,policy measure boost growth medium term reason,0,1,0,0,0,0
291,lower deficit increase save reduce real interest rate time,0,1,0,0,0,0
292,short medium-term prospects point slow sluggish recovery be subject downside risk,0,1,0,0,0,0
293,policy eliminate distortion domestic demand key emerge economy strengthen prospects external demand rebalancing support robust recovery emerge advance economy,0,1,0,0,0,0
294,fiscal adjustment need begin,1,0,0,0,0,0
295,fiscal consolidation remain essential strong sustained growth medium run,1,0,0,0,0,0
296,downside risk global growth materialize threaten slow growth expect,0,0,0,0,0,1
297,monetary policy be first line defense line have become thin,0,0,0,1,0,0
